link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_bike,person_vol_walk,MEU_vol_auto,MEU_vol_bike,MEU_vol_walk,mode_cap_auto,mode_cap_bike,mode_cap_walk,mode_VOC_auto,mode_VOC_bike,mode_VOC_walk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,14713.989,-1.000,0.000,0.000,0.000,0.000,,,,0.000,14713.989,6.094,0.001,0.000,0.000,0.568,0.568,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,14713.989,0.955,1.142,20.560,1.083,60.000,51.000,0.400,4.000,0.004,0.001,54868.824,129334736.000,54868.824,129334736.000,129333264.000,129333000.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",4655.774,2675.779,7382.437,14713.989,14713.989,14713.989,0.568,24.523,14.714,0.568,24.523,14.714,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14713.989,14713.989,0.000,0.001,0.001,0.000,0.568,0.568,0.000,20.560,20.560,0.000,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,20999.598,-1.000,0.000,0.000,0.000,0.000,,,,0.000,20999.598,4.389,0.000,0.000,0.000,0.897,0.897,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,20999.597,0.955,1.142,30.859,1.083,60.000,51.000,0.400,4.000,0.001,0.000,52205.340,510481152.000,52205.340,510481152.000,510479744.000,510479488.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",12862.938,1602.124,6534.535,20999.597,20999.597,20999.597,0.897,34.999,21.000,0.897,34.999,21.000,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,20999.597,20999.597,0.000,0.000,0.000,0.000,0.897,0.897,0.000,30.859,30.859,0.000,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,14527.200,-1.000,0.000,0.000,0.000,0.000,,,,0.000,14527.200,6.089,0.001,0.000,0.000,0.561,0.561,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,14527.200,0.955,1.142,20.263,1.083,60.000,51.000,0.400,4.000,0.004,0.001,54172.281,121332136.000,54172.281,121332136.000,121330680.000,121330424.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",5234.798,1962.896,7329.506,14527.200,14527.200,14527.200,0.561,24.212,14.527,0.561,24.212,14.527,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14527.200,14527.200,0.000,0.001,0.001,0.000,0.561,0.561,0.000,20.263,20.263,0.000,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,13523.468,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13523.468,46.507,0.001,0.001,0.000,2.728,2.728,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,13523.468,0.955,1.142,18.672,1.083,60.000,51.000,0.400,4.000,0.006,0.001,42024.449,70688200.000,42024.449,70688200.000,70687072.000,70686880.000,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",885.721,3640.864,8996.882,13523.468,13523.468,13523.468,2.728,22.539,13.523,2.728,22.539,13.523,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,13523.468,13523.468,0.000,0.001,0.001,0.000,2.728,2.728,0.000,18.672,18.672,0.000,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,18805.969,-1.000,0.000,0.000,0.000,0.000,,,,0.000,18805.969,4.250,0.000,0.000,0.000,0.804,0.804,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,18805.968,0.955,1.142,27.207,1.083,60.000,51.000,0.400,4.000,0.001,0.000,46751.941,294043552.000,46751.941,294043552.000,294042304.000,294042080.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",12283.914,1334.067,5187.987,18805.968,18805.968,18805.968,0.804,31.343,18.806,0.804,31.343,18.806,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,18805.968,18805.968,0.000,0.000,0.000,0.000,0.804,0.804,0.000,27.207,27.207,0.000,period-based
6,6,bpr,3,4,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,37148.738,-1.000,0.000,0.000,0.000,0.000,,,,0.000,37148.738,17.331,0.000,0.000,0.000,2.171,2.171,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,37148.739,0.955,1.142,59.182,1.083,60.000,51.000,0.400,4.000,0.000,0.000,92352.367,8843658240.000,92352.367,8843658240.000,8843655168.000,8843655168.000,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",34282.906,900.539,1965.295,37148.739,37148.739,37148.739,2.171,61.915,37.149,2.171,61.915,37.149,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,37148.740,37148.740,0.000,0.000,0.000,0.000,2.171,2.171,0.000,59.182,59.182,0.000,period-based
7,7,bpr,3,12,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,29656.242,-1.000,0.000,0.000,0.000,0.000,,,,0.000,29656.242,5.547,0.000,0.000,0.000,1.267,1.267,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,29656.243,0.955,1.142,45.762,1.083,60.000,51.000,0.400,4.000,0.000,0.000,73725.898,2867440384.000,73725.898,2867440384.000,2867438336.000,2867438080.000,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",24453.943,864.822,4337.478,29656.243,29656.243,29656.243,1.267,49.427,29.656,1.267,49.427,29.656,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,29656.243,29656.243,0.000,0.000,0.000,0.000,1.267,1.267,0.000,45.762,45.762,0.000,period-based
8,8,bpr,4,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,35068.496,-1.000,0.000,0.000,0.000,0.000,,,,0.000,35068.496,14.587,0.000,0.000,0.000,2.050,2.050,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,35068.497,0.955,1.142,55.414,1.083,60.000,51.000,0.400,4.000,0.000,0.000,87180.852,6629758464.000,87180.852,6629758464.000,6629755904.000,6629755392.000,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",33237.115,700.000,1131.382,35068.497,35068.497,35068.497,2.050,58.447,35.068,2.050,58.447,35.068,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,35068.495,35068.495,0.000,0.000,0.000,0.000,2.050,2.050,0.000,55.414,55.414,0.000,period-based
9,9,bpr,4,5,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,42929.855,-1.000,0.000,0.000,0.000,0.000,,,,0.000,42929.855,12.190,0.000,0.000,0.000,2.414,2.414,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,42929.855,0.955,1.142,69.806,1.083,60.000,51.000,0.400,4.000,0.000,0.000,53362.156,9113348096.000,53362.156,9113348096.000,9113347072.000,9113347072.000,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",39361.737,530.597,3037.521,42929.855,42929.855,42929.855,2.414,71.550,42.930,2.414,71.550,42.930,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,42929.856,42929.856,0.000,0.000,0.000,0.000,2.414,2.414,0.000,69.806,69.806,0.000,period-based
10,10,bpr,4,11,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,12962.829,-1.000,0.000,0.000,0.000,0.000,,,,0.000,12962.829,49.765,0.001,0.001,0.000,2.641,2.641,4908.827,4908.827,0.000,0.000,0.000,1.000,1.000,12962.829,0.955,1.142,17.791,1.083,60.000,51.000,0.400,4.000,0.007,0.001,48338.703,68644032.000,48338.703,68644032.000,68642736.000,68642504.000,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",744.972,3802.510,8415.346,12962.829,12962.829,12962.829,2.641,21.605,12.963,2.641,21.605,12.963,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,12962.830,12962.830,0.000,0.001,0.001,0.000,2.641,2.641,0.000,17.791,17.791,0.000,period-based
