od_seq_id,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,mode_type,demand_period,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,volume_s0,volume_s1,avg_tt_s0,avg_tt_s1,avg_distance_km_s0,avg_distance_km_s1,avg_cost_s0,avg_cost_s1,
1,1,2,0,1,1,2,auto,am,0,-96.770420,43.612828,-96.711251,43.605813,100.00,200.00,6.09,9.97,6.00,6.00,0.00,0.00,
1,1,2,0,1,1,2,bike,am,0,-96.770420,43.612828,-96.711251,43.605813,100.00,200.00,1479600.75,62601952.00,6.00,6.00,0.00,0.00,
1,1,2,0,1,1,2,walk,am,0,-96.770420,43.612828,-96.711251,43.605813,100.00,200.00,527395.00,22311400.00,6.00,6.00,0.00,0.00,
1,1,3,0,2,1,0,auto,am,0,-96.770420,43.612828,-96.774303,43.572962,100.00,200.00,4.39,14.45,4.00,4.00,0.00,0.00,
1,1,3,0,2,1,0,bike,am,0,-96.770420,43.612828,-96.774303,43.572962,100.00,200.00,4092317.50,109920096.00,4.00,4.00,0.00,0.00,
1,1,3,0,2,1,0,walk,am,0,-96.770420,43.612828,-96.774303,43.572962,100.00,200.00,1458545.50,39175564.00,4.00,4.00,0.00,0.00,
1,1,4,0,3,1,0,auto,am,0,-96.770420,43.612828,-96.747168,43.563654,500.00,1000.00,21.72,229.64,8.00,8.00,0.00,0.00,
1,1,4,0,3,1,0,bike,am,0,-96.770420,43.612828,-96.747168,43.563654,500.00,1000.00,44169768.00,0.00,8.00,0.00,0.00,0.00,
1,1,4,0,3,1,0,walk,am,0,-96.770420,43.612828,-96.747168,43.563654,500.00,1000.00,15742193.00,3092591.25,8.00,0.09,0.00,0.00,
1,1,5,0,4,1,0,auto,am,0,-96.770420,43.612828,-96.731569,43.564034,200.00,400.00,33.91,436.12,10.00,10.00,0.00,0.00,
1,1,5,0,4,1,0,bike,am,0,-96.770420,43.612828,-96.731569,43.564034,200.00,400.00,2081198.50,61720908.00,10.32,7.49,0.00,0.00,
1,1,5,0,4,1,0,walk,am,0,-96.770420,43.612828,-96.731569,43.564034,200.00,400.00,966172.75,35376444.00,13.43,12.05,0.00,0.00,
1,1,6,0,5,1,0,auto,am,0,-96.770420,43.612828,-96.711644,43.587586,300.00,600.00,57.78,1558.85,13.67,13.76,0.00,0.00,
1,1,6,0,5,1,0,bike,am,0,-96.770420,43.612828,-96.711644,43.587586,300.00,600.00,2359427.25,62482464.00,11.00,6.73,0.00,0.00,
1,1,6,0,5,1,0,walk,am,0,-96.770420,43.612828,-96.711644,43.587586,300.00,600.00,841019.56,31162178.00,11.00,9.42,0.00,0.00,
1,1,7,0,6,1,0,auto,am,0,-96.770420,43.612828,-96.693423,43.563844,500.00,1000.00,876.76,15372.14,30.77,30.96,0.00,0.00,
1,1,7,0,6,1,0,bike,am,0,-96.770420,43.612828,-96.693423,43.563844,500.00,1000.00,2571535.25,288681632.00,4.13,11.45,0.00,0.00,
1,1,7,0,6,1,0,walk,am,0,-96.770420,43.612828,-96.693423,43.563844,500.00,1000.00,2627267.00,127395256.00,11.83,14.17,0.00,0.00,
1,1,8,0,7,1,0,auto,am,0,-96.770420,43.612828,-96.711382,43.562324,800.00,1600.00,616.59,11340.62,24.25,25.04,0.00,0.00,
1,1,8,0,7,1,0,bike,am,0,-96.770420,43.612828,-96.711382,43.562324,800.00,1600.00,2618698.25,213892768.00,6.42,10.22,0.00,0.00,
1,1,8,0,7,1,0,walk,am,0,-96.770420,43.612828,-96.711382,43.562324,800.00,1600.00,1556079.38,88361008.00,10.71,11.84,0.00,0.00,
1,1,9,0,8,1,0,auto,am,0,-96.770420,43.612828,-96.731241,43.548596,500.00,1000.00,272.73,4492.51,15.07,15.07,0.00,0.00,
1,1,9,0,8,1,0,bike,am,0,-96.770420,43.612828,-96.731241,43.548596,500.00,1000.00,3636518.75,285325408.00,7.49,14.45,0.00,0.00,
1,1,9,0,8,1,0,walk,am,0,-96.770420,43.612828,-96.731241,43.548596,500.00,1000.00,2862073.25,134193768.00,16.53,19.07,0.00,0.00,
1,1,10,0,9,1,0,auto,am,0,-96.770420,43.612828,-96.731438,43.545271,1300.00,2600.00,348.05,5459.69,18.02,18.02,0.00,0.00,
1,1,10,0,9,1,0,bike,am,0,-96.770420,43.612828,-96.731438,43.545271,1300.00,2600.00,5896814.50,347253728.00,6.82,10.10,0.00,0.00,
1,1,10,0,9,1,0,walk,am,0,-96.770420,43.612828,-96.731438,43.545271,1300.00,2600.00,4810159.00,207217392.00,15.61,16.91,0.00,0.00,
1,1,11,0,10,1,0,auto,am,0,-96.770420,43.612828,-96.746841,43.544131,500.00,1000.00,179.14,4019.66,15.71,15.71,0.00,0.00,
1,1,11,0,10,1,0,bike,am,0,-96.770420,43.612828,-96.746841,43.544131,500.00,1000.00,8927701.00,390230976.00,2.77,6.86,0.00,0.00,
1,1,11,0,10,1,0,walk,am,0,-96.770420,43.612828,-96.746841,43.544131,500.00,1000.00,9925828.00,212579248.00,8.65,10.69,0.00,0.00,
1,1,12,0,11,1,0,auto,am,0,-96.770420,43.612828,-96.780137,43.543941,200.00,400.00,9.94,57.15,8.00,8.00,0.00,0.00,
1,1,12,0,11,1,0,bike,am,0,-96.770420,43.612828,-96.780137,43.543941,200.00,400.00,12184057.00,379855264.00,4.79,5.88,0.00,0.00,
1,1,12,0,11,1,0,walk,am,0,-96.770420,43.612828,-96.780137,43.543941,200.00,400.00,6222872.00,165726000.00,6.86,7.19,0.00,0.00,
1,1,13,0,12,1,0,auto,am,0,-96.770420,43.612828,-96.793377,43.490707,500.00,1000.00,13.66,77.40,11.00,11.00,0.00,0.00,
1,1,13,0,12,1,0,bike,am,0,-96.770420,43.612828,-96.793377,43.490707,500.00,1000.00,11500847.00,468248096.00,3.98,6.52,0.00,0.00,
