first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_agent_type_sequence,information_type,agent_type,demand_period,volume,OD_relative_gap,travel_time,path_gap,preload_volume,volume_before_odme,volume_after_odme,volume_diff_odme,rt_new_path_flag,volume_before_sa,volume_after_sa,volume_diff_sa,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,#_of_sensor_links,#_of_SA_links,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, ODME_TT_0,ODME_TT_1,ODME_TT_2,ODME_Vol_0,ODME_Vol_1,ODME_Vol_2,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence,
,1,1,4,0,3,1->4,0,1,,,0,d,am,500.0000,0.0000,0.0085,0.0000,0.0000,500.0000,500.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0085,0.0085,0.0080,0.0050,1;3;4;,2;6;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",,,0.004;0.004;,0.004;0.004;,
,2,1,5,0,4,1->5,0,1,,,0,d,am,200.0000,0.0000,0.0110,0.0000,0.0000,200.0000,200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0110,0.0110,0.0100,0.0062,1;3;4;5;,2;6;9;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",,,0.004;0.004;0.002;,0.004;0.004;0.002;,
,3,1,6,0,5,1->6,0,1,,,0,d,am,300.0000,0.0000,0.0132,0.0000,0.0000,300.0000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0132,0.0132,0.0110,0.0068,1;2;6;,1;4;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",,,0.006;0.005;,0.006;0.005;,
,4,1,7,0,6,1->7,0,1,,,0,d,am,433.1895,0.0340,0.0378,0.0000,0.0000,433.1895,433.1895,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0378,0.0378,0.0160,0.0099,1;2;6;8;7;,1;4;16;20;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,,0.006;0.005;0.002;0.003;,0.006;0.005;0.002;0.003;,
,5,1,7,0,6,1->7,1,2,,,0,d,am,46.3160,0.0340,0.0479,0.0096,0.0000,46.3160,46.3160,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0479,0.0479,0.0280,0.0174,1;3;4;5;9;8;7;,2;6;9;13;24;20;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",,,0.004;0.004;0.002;0.005;0.010;0.003;,0.004;0.004;0.002;0.005;0.010;0.003;,
,6,1,7,0,6,1->7,2,3,,,0,d,am,20.4945,0.0340,0.0477,0.0102,0.0000,20.4945,20.4945,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0477,0.0477,0.0230,0.0143,1;2;6;8;16;18;7;,1;4;16;22;50;54;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",,,0.006;0.005;0.002;0.005;0.003;0.002;,0.006;0.005;0.002;0.005;0.003;0.002;,
,7,1,8,0,7,1->8,0,1,,,0,d,am,725.8944,0.0284,0.0305,0.0000,0.0000,725.8944,725.8944,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0305,0.0305,0.0130,0.0081,1;2;6;8;,1;4;16;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",,,0.006;0.005;0.002;,0.006;0.005;0.002;,
,8,1,8,0,7,1->8,1,2,,,0,d,am,74.1056,0.0284,0.0405,0.0096,0.0000,74.1056,74.1056,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0405,0.0405,0.0250,0.0155,1;3;4;5;9;8;,2;6;9;13;24;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)",,,0.004;0.004;0.002;0.005;0.010;,0.004;0.004;0.002;0.005;0.010;,
,9,1,9,0,8,1->9,0,1,,,0,d,am,483.7563,0.0324,0.0226,0.0000,0.0000,483.7563,483.7563,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0226,0.0226,0.0150,0.0093,1;3;4;5;9;,2;6;9;13;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",,,0.004;0.004;0.002;0.005;,0.004;0.004;0.002;0.005;,
,10,1,9,0,8,1->9,1,2,,,0,d,am,16.2437,0.0324,0.0414,0.0198,0.0000,16.2437,16.2437,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0414,0.0414,0.0220,0.0137,1;3;12;11;10;9;,2;7;36;32;26;,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)",,,0.004;0.004;0.006;0.005;0.003;,0.004;0.004;0.006;0.005;0.003;,
