link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,person_vol_bike,person_vol_walk,MEU_vol_auto,MEU_vol_bike,MEU_vol_walk,mode_cap_auto,mode_cap_bike,mode_cap_walk,mode_VOC_auto,mode_VOC_bike,mode_VOC_walk,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5851.453,-1.000,0.000,0.000,0.000,0.000,,,,0.000,5851.453,6.002,0.027,0.017,0.000,0.226,0.226,25900.201,0.000,0.000,0.000,1.000,1.000,5851.453,0.955,1.142,7.176,0.000,60.000,51.000,0.400,4.000,0.159,0.048,21820.209,1293547.625,21820.209,1293547.625,1292962.500,1292859.250,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",5851.453,0.000,0.000,5851.453,5851.453,5851.453,0.226,9.752,5.851,0.226,9.752,5.851,60.000,60.000,60.000,60.000,58.130,58.640,59.150,59.660,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5851.453,5851.453,0.000,0.027,0.027,0.000,0.226,0.226,0.000,7.176,7.176,period-based
2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,9348.016,-1.000,0.000,0.000,0.000,0.000,,,,0.000,9348.016,4.015,0.004,0.003,0.000,0.399,0.399,23403.473,0.000,0.000,0.000,1.000,1.000,9348.015,0.955,1.142,12.250,0.000,60.000,51.000,0.400,4.000,0.024,0.006,23239.318,8930713.000,23239.318,8930713.000,8930089.000,8929980.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",9348.015,0.000,0.000,9348.015,9348.015,9348.015,0.399,15.580,9.348,0.399,15.580,9.348,60.000,60.000,60.000,60.000,55.600,56.800,58.000,59.200,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,9348.016,9348.016,0.000,0.004,0.004,0.000,0.399,0.399,0.000,12.250,12.250,period-based
3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5786.050,-1.000,0.000,0.000,0.000,0.000,,,,0.000,5786.050,6.002,0.028,0.018,0.000,0.223,0.223,25900.201,0.000,0.000,0.000,1.000,1.000,5786.050,0.955,1.142,7.084,0.000,60.000,51.000,0.400,4.000,0.166,0.051,21576.322,1223173.125,21576.322,1223173.125,1222594.500,1222492.375,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",5786.050,0.000,0.000,5786.050,5786.050,5786.050,0.223,9.643,5.786,0.223,9.643,5.786,60.000,60.000,60.000,60.000,58.149,58.654,59.159,59.664,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5786.050,5786.050,0.000,0.028,0.028,0.000,0.223,0.223,0.000,7.084,7.084,period-based
4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6158.644,-1.000,0.000,0.000,0.000,0.000,,,,0.000,6158.644,6.785,0.022,0.014,0.000,1.242,1.242,4958.181,0.000,0.000,0.000,1.000,1.000,6158.644,0.955,1.142,7.607,0.000,60.000,51.000,0.400,4.000,0.130,0.038,19138.111,1390764.125,19138.111,1390764.125,1390250.875,1390160.375,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",6158.644,0.000,0.000,6158.644,6158.644,6158.644,1.242,10.264,6.159,1.242,10.264,6.159,60.000,60.000,60.000,60.000,58.034,58.570,59.106,59.643,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,6158.644,6158.644,0.000,0.022,0.022,0.000,1.242,1.242,0.000,7.607,7.607,period-based
5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,9413.418,-1.000,0.000,0.000,0.000,0.000,,,,0.000,9413.418,4.016,0.004,0.003,0.000,0.402,0.402,23403.473,0.000,0.000,0.000,1.000,1.000,9413.418,0.955,1.142,12.348,0.000,60.000,51.000,0.400,4.000,0.024,0.005,23401.910,9247306.000,23401.910,9247306.000,9246679.000,9246568.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",9413.418,0.000,0.000,9413.418,9413.418,9413.418,0.402,15.689,9.413,0.402,15.689,9.413,60.000,60.000,60.000,60.000,55.482,56.714,57.947,59.179,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,9413.418,9413.418,0.000,0.004,0.004,0.000,0.402,0.402,0.000,12.348,12.348,period-based
6,bpr,3,4,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16275.042,-1.000,0.000,0.000,0.000,0.000,,,,0.000,16275.042,4.491,0.000,0.000,0.000,0.951,0.951,17110.524,0.000,0.000,0.000,1.000,1.000,16275.042,0.955,1.142,23.069,1.083,60.000,51.000,0.400,4.000,0.003,0.000,40460.016,142745312.000,40460.016,142745312.000,142744240.000,142744048.000,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",16275.042,0.000,0.000,16275.042,16275.042,16275.042,0.951,27.125,16.275,0.951,27.125,16.275,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,16275.042,16275.042,0.000,0.000,0.000,0.000,0.951,0.951,0.000,23.069,23.069,period-based
7,bpr,3,12,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,13088.061,-1.000,0.000,0.000,0.000,0.000,,,,0.000,13088.061,4.059,0.001,0.001,0.000,0.559,0.559,23403.473,0.000,0.000,0.000,1.000,1.000,13088.061,0.955,1.142,17.988,1.083,60.000,51.000,0.400,4.000,0.006,0.001,32537.131,48015916.000,32537.131,48015916.000,48015040.000,48014888.000,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",13088.061,0.000,0.000,13088.061,13088.061,13088.061,0.559,21.813,13.088,0.559,21.813,13.088,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,13088.061,13088.061,0.000,0.001,0.001,0.000,0.559,0.559,0.000,17.988,17.988,period-based
8,bpr,4,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16296.778,-1.000,0.000,0.000,0.000,0.000,,,,0.000,16296.778,4.494,0.000,0.000,0.000,0.952,0.952,17110.524,0.000,0.000,0.000,1.000,1.000,16296.778,0.955,1.142,23.104,1.083,60.000,51.000,0.400,4.000,0.003,0.000,40514.055,143701008.000,40514.055,143701008.000,143699920.000,143699728.000,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",16296.778,0.000,0.000,16296.778,16296.778,16296.778,0.952,27.161,16.297,0.952,27.161,16.297,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,16296.778,16296.778,0.000,0.000,0.000,0.000,0.952,0.952,0.000,23.104,23.104,period-based
9,bpr,4,5,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,18981.732,-1.000,0.000,0.000,0.000,0.000,,,,0.000,18981.732,2.389,0.000,0.000,0.000,1.067,1.067,17782.794,0.000,0.000,0.000,1.000,1.000,18981.733,0.955,1.142,27.498,1.083,60.000,51.000,0.400,4.000,0.001,0.000,23594.447,154021600.000,23594.447,154021600.000,154020960.000,154020848.000,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",18981.733,0.000,0.000,18981.733,18981.733,18981.733,1.067,31.636,18.982,1.067,31.636,18.982,60.000,60.000,60.000,60.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,18981.732,18981.732,0.000,0.000,0.000,0.000,1.067,1.067,0.000,27.498,27.498,period-based
10,bpr,4,11,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6250.738,-1.000,0.000,0.000,0.000,0.000,,,,0.000,6250.738,8.366,0.021,0.013,0.000,1.273,1.273,4908.827,0.000,0.000,0.000,1.000,1.000,6250.738,0.955,1.142,7.737,0.000,60.000,51.000,0.400,4.000,0.122,0.036,23309.152,1797008.500,23309.152,1797008.500,1796383.375,1796273.125,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6250.738,0.000,0.000,6250.738,6250.738,6250.738,1.273,10.418,6.251,1.273,10.418,6.251,60.000,60.000,60.000,60.000,58.003,58.548,59.092,59.637,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,6250.738,6250.738,0.000,0.021,0.021,0.000,1.273,1.273,0.000,7.737,7.737,period-based
