first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,agent_type,PCE_unit,demand_period,volume,toll,travel_time,distance_km,node_sequence,time_sequence
,0,1,2,0,,p,1,AM,1,0.0,1.0042,0.0060,1;2;,421.000000;421.000000;
,1,1,2,0,,p,1,AM,1,0.0,479.9500,0.0060,1;2;,419.995819;419.995819;
,2,1,2,0,,p,1,AM,1,0.0,479.9000,0.0060,1;2;,419.995819;419.995819;
,3,1,2,0,,p,1,AM,1,0.0,479.8500,0.0060,1;2;,419.995819;419.995819;
,4,1,2,0,,p,1,AM,1,0.0,479.8000,0.0060,1;2;,419.995819;419.995819;
,5,1,2,0,,p,1,AM,1,0.0,479.7500,0.0060,1;2;,419.995819;419.995819;
,6,1,2,0,,p,1,AM,1,0.0,479.7000,0.0060,1;2;,419.995819;419.995819;
,7,1,2,0,,p,1,AM,1,0.0,479.6500,0.0060,1;2;,419.995819;419.995819;
,8,1,2,0,,p,1,AM,1,0.0,479.6000,0.0060,1;2;,419.995819;419.995819;
,9,1,2,0,,p,1,AM,1,0.0,474.5500,0.0060,1;2;,419.995819;419.995819;
,10,1,2,0,,p,1,AM,1,0.0,474.5000,0.0060,1;2;,419.995819;419.995819;
,11,1,2,0,,p,1,AM,1,0.0,474.4500,0.0060,1;2;,419.995819;419.995819;
,12,1,2,0,,p,1,AM,1,0.0,474.4000,0.0060,1;2;,419.995819;419.995819;
,13,1,2,0,,p,1,AM,1,0.0,474.3500,0.0060,1;2;,419.995819;419.995819;
,14,1,2,0,,p,1,AM,1,0.0,474.3000,0.0060,1;2;,419.995819;419.995819;
,15,1,2,0,,p,1,AM,1,0.0,474.2500,0.0060,1;2;,419.995819;419.995819;
,16,1,2,0,,p,1,AM,1,0.0,474.2000,0.0060,1;2;,419.995819;419.995819;
,17,1,2,0,,p,1,AM,1,0.0,469.1500,0.0060,1;2;,419.995819;419.995819;
,18,1,2,0,,p,1,AM,1,0.0,469.1000,0.0060,1;2;,419.995819;419.995819;
,19,1,2,0,,p,1,AM,1,0.0,469.0500,0.0060,1;2;,419.995819;419.995819;
,20,1,2,0,,p,1,AM,1,0.0,469.0000,0.0060,1;2;,419.995819;419.995819;
,21,1,2,0,,p,1,AM,1,0.0,468.9500,0.0060,1;2;,419.995819;419.995819;
