iteration,mode_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,auto,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
1,auto,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
0,auto,1,2,-1,1,1,6.000170,6.000000,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
1,auto,1,2,-1,1,1,6.000170,6.000000,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
0,auto,1,3,-1,1,1,4.000170,4.000000,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
1,auto,1,3,-1,1,1,4.000170,4.000000,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
0,auto,1,4,-1,1,3,8.000170,4.000000,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
1,auto,1,4,-1,1,3,8.000170,4.000000,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
0,auto,1,5,-1,1,4,10.000170,2.000000,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
1,auto,1,5,-1,1,4,10.000170,2.000000,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
0,auto,1,6,-1,1,2,11.000170,5.000000,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
1,auto,1,6,-1,1,2,11.000170,5.000000,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
0,auto,1,7,-1,1,8,16.000170,3.000000,-96.693423,43.563844,"LINESTRING (-96.693423 43.563844,-96.711382 43.562324)"
1,auto,1,7,-1,1,8,16.000170,3.000000,-96.693423,43.563844,"LINESTRING (-96.693423 43.563844,-96.711382 43.562324)"
0,auto,1,8,-1,1,6,13.000170,2.000000,-96.711382,43.562324,"LINESTRING (-96.711382 43.562324,-96.711644 43.587586)"
