first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,0,25nb,am,auto,347800,4.35067e+06,2.70396e+06,1.39525e+08,12.5091,7.77447,401.163,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,am,bike,136102,919368,571391,1.79201e+12,6.75499,4.19825,1.31667e+07,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,am,walk,238997,2.1347e+06,1.32672e+06,1.57077e+12,8.9319,5.55121,6.57233e+06,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,md,auto,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,md,bike,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,md,walk,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,pm,auto,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,pm,bike,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,0,25nb,pm,walk,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
,1,25nb,am,auto,8800,179483,111550,4.01142e+06,20.3958,12.6761,455.843,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,am,bike,3298.24,46886.6,29140.2,6.21359e+10,14.2156,8.83507,1.88391e+07,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,am,walk,6392.32,104328,64840.4,5.35806e+10,16.3209,10.1435,8.38203e+06,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,md,auto,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,md,bike,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,md,walk,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,pm,auto,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,pm,bike,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
,1,25nb,pm,walk,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
,2,25nb,am,auto,4000,99483.4,61829.4,1.71126e+06,24.8709,15.4573,427.816,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,am,bike,1397.9,12114.9,7529.46,7.42498e+09,8.66648,5.38625,5.31151e+06,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,am,walk,2736.99,33559,20857,1.31906e+10,12.2613,7.62042,4.81938e+06,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,md,auto,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,md,bike,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,md,walk,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,pm,auto,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,pm,bike,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
,2,25nb,pm,walk,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
