iteration,mode_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,auto,1,1,-1,1,-1,0.000170,0.000170,0.000000,-0.100000,"LINESTRING (0.000000 -0.100000,0.000000 -0.100000)"
1,auto,1,1,-1,1,-1,0.000170,0.000170,0.000000,-0.100000,"LINESTRING (0.000000 -0.100000,0.000000 -0.100000)"
0,auto,1,2,-1,1,4,1.999170,1.000000,40.300000,0.100000,"LINESTRING (40.300000 0.100000,19.700000 -9.700000)"
1,auto,1,2,-1,1,4,1.999170,1.000000,40.300000,0.100000,"LINESTRING (40.300000 0.100000,19.700000 -9.700000)"
0,auto,1,3,-1,1,1,1.000170,1.000000,19.800000,14.800000,"LINESTRING (19.800000 14.800000,0.000000 -0.100000)"
1,auto,1,3,-1,1,1,1.000170,1.000000,19.800000,14.800000,"LINESTRING (19.800000 14.800000,0.000000 -0.100000)"
0,auto,1,4,-1,1,1,0.999170,0.999000,19.700000,-9.700000,"LINESTRING (19.700000 -9.700000,0.000000 -0.100000)"
1,auto,1,4,-1,1,1,0.999170,0.999000,19.700000,-9.700000,"LINESTRING (19.700000 -9.700000,0.000000 -0.100000)"
0,auto,1,-1,1,1,-1,0.000000,0.000000,0.000000,-0.100000,"LINESTRING (0.000000 -0.100000,0.000000 -0.100000)"
1,auto,1,-1,1,1,-1,0.000000,0.000000,0.000000,-0.100000,"LINESTRING (0.000000 -0.100000,0.000000 -0.100000)"
0,auto,1,-2,2,1,2,1.999339,0.000170,40.300000,0.100000,"LINESTRING (40.300000 0.100000,40.300000 0.100000)"
1,auto,1,-2,2,1,2,1.999339,0.000170,40.300000,0.100000,"LINESTRING (40.300000 0.100000,40.300000 0.100000)"
