link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,ref_volume,allowed_uses,VDF_alpha,VDF_beta,VDF_plf,VDF_cp,VDF_cd,VDF_n,VDF_s,geometry
1,,1,547,Highway,1,1,0.86267,1,60,49500,4989.13,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)"
2,,2,548,Highway,1,1,0.86267,1,60,49500,6719.41,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)"
3,,3,549,Highway,1,1,0.86267,1,60,49500,10095.53,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)"
4,,4,550,Highway,1,1,0.86267,1,60,49500,9444.62,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)"
5,,5,551,Highway,1,1,0.86267,1,60,49500,17223.82,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)"
6,,6,552,Highway,1,1,0.86267,1,60,49500,6446.03,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)"
7,,7,553,Highway,1,1,0.86267,1,60,49500,9884.28,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)"
8,,8,554,Highway,1,1,0.86267,1,60,49500,9252.3,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)"
9,,9,555,Highway,1,1,0.86267,1,60,49500,6699.45,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)"
10,,10,556,Highway,1,1,0.86267,1,60,49500,13823.65,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)"
11,,11,557,Highway,1,1,0.86267,1,60,49500,10551.06,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.761306 41.896383, -87.749405 41.905386)"
12,,12,558,Highway,1,1,0.86267,1,60,49500,6985.78,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.725585 41.901785, -87.713681 41.910789)"
13,,13,559,Highway,1,1,0.86267,1,60,49500,9401.48,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.719627 41.872072, -87.707727 41.881076)"
14,,14,560,Highway,1,1,0.86267,1,60,49500,14763.69,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.713676 41.929697, -87.701773 41.938700)"
15,,15,561,Highway,1,1,0.86267,1,60,49500,8934.72,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.680335 41.903585, -87.668431 41.912589)"
16,,16,562,Highway,1,1,0.86267,1,60,49500,10301.01,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.668426 41.875673, -87.656523 41.884678)"
17,,17,563,Highway,1,1,0.86267,1,60,49500,9098.55,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.637466 41.901785, -87.625562 41.910789)"
18,,18,564,Highway,1,1,0.86267,1,60,49500,9300.74,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.630325 41.880175, -87.618417 41.889180)"
19,,19,565,Highway,1,1,0.86267,1,60,49500,2624.61,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.625556 41.858568, -87.613654 41.867571)"
20,,20,566,Highway,1,1,0.86267,1,60,49500,7707.95,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.717246 41.840559, -87.705345 41.849564)"
21,,21,567,Highway,1,1,0.86267,1,60,49500,4696.17,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.670806 41.854067, -87.658904 41.863069)"
22,,22,568,Highway,1,1,0.86267,1,60,49500,3370.82,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.621986 41.836058, -87.610081 41.845062)"
23,,23,569,Highway,1,1,0.86267,1,60,49500,12667.83,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.662475 41.823454, -87.650569 41.832457)"
24,,24,570,Highway,1,1,0.86267,1,60,49500,6010.92,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.713676 41.818953, -87.701773 41.827955)"
25,,25,571,Highway,1,1,0.86267,1,60,49500,5993.21,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.769645 41.789240, -87.757741 41.798243)"
26,,26,572,Highway,1,1,0.86267,1,60,49500,12936.83,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.710105 41.782038, -87.698201 41.791040)"
27,,27,573,Highway,1,1,0.86267,1,60,49500,7749.49,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.658897 41.778433, -87.646996 41.787438)"
28,,28,574,Highway,1,1,0.86267,1,60,49500,8700.36,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.613647 41.806345, -87.601746 41.815350)"
29,,29,575,Highway,1,1,0.86267,1,60,49500,14581.24,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.601745 41.764029, -87.589838 41.773032)"
30,,30,576,Highway,1,1,0.86267,1,60,49500,5416.97,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.711295 41.746920, -87.699391 41.755925)"
31,,31,577,Highway,1,1,0.86267,1,60,49500,7838.86,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.654136 41.735216, -87.642233 41.744221)"
32,,32,578,Highway,1,1,0.86267,1,60,49500,7900.65,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.677955 41.702803, -87.666049 41.711808)"
33,,33,579,Highway,1,1,0.86267,1,60,49500,4727.45,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.620795 41.673990, -87.608891 41.682996)"
34,,34,580,Highway,1,1,0.86267,1,60,49500,6460.14,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.619605 41.711805, -87.607700 41.720811)"
35,,35,581,Highway,1,1,0.86267,1,60,49500,5145.61,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.560065 41.741518, -87.548160 41.750523)"
36,,36,582,Highway,1,1,0.86267,1,60,49500,6100.87,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.556495 41.687498, -87.544587 41.696501)"
37,,37,583,Highway,1,1,0.86267,1,60,49500,1148.81,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.907775 41.981916, -87.895873 41.990921)"
38,,38,584,Highway,1,1,0.86267,1,60,49500,2228.48,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.175704 42.114267, -88.163803 42.123275)"
39,,39,585,Highway,1,1,0.86267,1,60,49500,6737.86,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.033996 42.134081, -88.022098 42.143083)"
40,,40,586,Highway,1,1,0.86267,1,60,49500,1866.66,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.093536 42.134081, -88.081638 42.143083)"
41,,41,587,Highway,1,1,0.86267,1,60,49500,8069.74,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.033996 42.090860, -88.022098 42.099866)"
42,,42,588,Highway,1,1,0.86267,1,60,49500,2120.7,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-88.092345 42.090860, -88.080447 42.099866)"
43,,43,589,Highway,1,1,0.86267,1,60,49500,5257.64,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.918494 42.133177, -87.906591 42.142183)"
44,,44,590,Highway,1,1,0.86267,1,60,49500,7128.54,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.976844 42.134081, -87.964940 42.143083)"
45,,45,591,Highway,1,1,0.86267,1,60,49500,6238.19,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.918494 42.090860, -87.906591 42.099866)"
46,,46,592,Highway,1,1,0.86267,1,60,49500,6568.32,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.978034 42.089060, -87.966131 42.098065)"
47,,47,593,Highway,1,1,0.86267,1,60,49500,2892.16,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.804176 42.134081, -87.792274 42.143083)"
48,,48,594,Highway,1,1,0.86267,1,60,49500,4978.07,,0.15,4,1,0.24,1,1.24,4,"LINESTRING (-87.861335 42.134081, -87.849432 42.143083)"
