from_node_id,to_node_id,link_type_name,service_type,length,lanes,free_speed,capacity,link_type,BPR_alpha_term,BPR_beta_term
1,2,,0,1,1,60,1900,1,4,0.15
2,9,,-1,1,1,60,1900,1,4,0.15
9,3,,1,1,1,60,1900,1,4,0.15
2,3,,0,1,1,60,1900,1,4,0.15
3,10,,-1,1,1,60,1900,1,4,0.15
10,4,,1,1,1,60,1900,1,4,0.15
3,4,,0,1,1,60,1900,1,4,0.15
4,5,,0,1,1,60,1900,1,4,0.15
5,11,,-1,1,1,60,1900,1,4,0.15
11,6,,1,1,1,60,1900,1,4,0.15
5,6,,0,1,1,60,1900,1,4,0.15
6,7,,0,1,1,60,1900,1,4,0.15
7,12,,-1,1,1,60,1900,1,4,0.15
12,8,,1,1,1,60,1900,1,4,0.15
7,8,,0,1,1,60,1900,1,4,0.15
13,9,,0,1,1,60,1900,1,4,0.15
14,10,,0,1,1,60,1900,1,4,0.15
11,15,,0,1,1,60,1900,1,4,0.15
12,16,,0,1,1,60,1900,1,4,0.15
8,17,,0,1,1,60,1900,1,4,0.15
