name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Al Msalli,10,93638776,,residential,,,,"POLYGON ((55.1421259 25.1137138, 55.1421374 25.1136179, 55.1421084 25.113615, 55.142121 25.1135108, 55.1422232 25.1134339, 55.1422825 25.1134985, 55.1423792 25.1135228, 55.1423947 25.1135116, 55.1424331 25.1134841, 55.1425754 25.1133822, 55.142585 25.113307, 55.142505 25.1132188, 55.1426167 25.1131357, 55.1427501 25.1131395, 55.1427485 25.1131842, 55.1427976 25.1131855, 55.1427908 25.1133819, 55.142758 25.113381, 55.142752 25.1135572, 55.1426987 25.1135971, 55.1427166 25.1136167, 55.1426063 25.1136993, 55.1425895 25.1136809, 55.1425372 25.1137201, 55.1423488 25.1137016, 55.1423447 25.1137354, 55.1423061 25.1137316, 55.1421259 25.1137138))",POINT (55.1425033 25.1134895),2379.9,25616.6
Al Hamri,11,93638777,,residential,,,,"POLYGON ((55.1492057 25.1069782, 55.1491427 25.106907, 55.1491479 25.1068353, 55.14934 25.1066927, 55.1494193 25.1066999, 55.1494878 25.1067685, 55.1495905 25.1066968, 55.149596 25.1065517, 55.1495558 25.1065444, 55.1495614 25.1064878, 55.1493746 25.1064789, 55.1493729 25.1065053, 55.1491974 25.1065115, 55.1491475 25.1065497, 55.1491276 25.1065242, 55.1490071 25.1066115, 55.1490289 25.1066376, 55.1489732 25.1066771, 55.148952 25.1068233, 55.1489168 25.1068202, 55.1489077 25.1070099, 55.1489866 25.1070132, 55.1489866 25.1070545, 55.1491175 25.1070594, 55.1492057 25.1069782))",POINT (55.1492133 25.1067246),2265,24380.4
Al Sultana,12,93638778,,residential,,,,"POLYGON ((55.1490519 25.1084719, 55.1490634 25.108376, 55.1490345 25.1083731, 55.1490469 25.1082701, 55.1491481 25.108194, 55.1492069 25.1082582, 55.1493044 25.1082827, 55.1493393 25.1082925, 55.1493806 25.1082629, 55.1495013 25.1081415, 55.149511 25.1080657, 55.1494315 25.1079778, 55.1495329 25.1079029, 55.1496674 25.1079045, 55.1496667 25.1079486, 55.149717 25.1079493, 55.1497125 25.1081378, 55.1496802 25.1081372, 55.149676 25.1083157, 55.1496223 25.1083559, 55.1496401 25.1083754, 55.1495315 25.1084567, 55.1495148 25.1084384, 55.1494618 25.1084781, 55.149273 25.1084595, 55.1492689 25.1084933, 55.1492402 25.1084905, 55.1490519 25.1084719))",POINT (55.1494266 25.1082518),2281.8,24561.1
Al Dabas,13,93638779,,residential,,,,"POLYGON ((55.1499183 25.1078129, 55.1499289 25.1077175, 55.1498997 25.1077148, 55.1499112 25.1076126, 55.1500147 25.1075343, 55.1500737 25.1075987, 55.1501709 25.1076231, 55.1502069 25.107643, 55.1502456 25.1076152, 55.1503676 25.1074821, 55.1503773 25.1074065, 55.1502977 25.1073184, 55.1504012 25.1072417, 55.1505352 25.1072442, 55.1505341 25.1072886, 55.1505839 25.1072896, 55.1505803 25.1074449, 55.1505795 25.1074788, 55.1505471 25.1074782, 55.1505429 25.1076566, 55.1504894 25.1076967, 55.1505072 25.1077162, 55.150398 25.1077979, 55.1503813 25.1077796, 55.1503285 25.1078191, 55.1501399 25.1078005, 55.1501358 25.1078343, 55.1499183 25.1078129))",POINT (55.1502934 25.1075921),2280.8,24550.7
Al Hallawi,14,93638780,,residential,,,,"POLYGON ((55.1433536 25.111406, 55.1432907 25.1113349, 55.143296 25.1112629, 55.1434884 25.1111202, 55.1435679 25.1111274, 55.1436364 25.1111959, 55.1437386 25.1111245, 55.143744 25.1109798, 55.1437038 25.1109726, 55.1437094 25.110916, 55.1435235 25.1109071, 55.1435218 25.1109335, 55.143346 25.1109398, 55.1432959 25.1109781, 55.143276 25.1109526, 55.1431562 25.1110394, 55.143178 25.1110655, 55.143122 25.1111052, 55.1431008 25.1112516, 55.1430657 25.1112485, 55.1430566 25.1114374, 55.1431355 25.1114407, 55.1431355 25.111482, 55.1432659 25.1114869, 55.1433536 25.111406))",POINT (55.1433618 25.1111524),2254.4,24266.4
Al Das,15,93638781,,residential,,,,"POLYGON ((55.1412983 25.1143291, 55.1413103 25.1142329, 55.1412816 25.1142299, 55.1412946 25.1141261, 55.1413949 25.1140506, 55.1414539 25.1141149, 55.1415511 25.1141393, 55.1415878 25.1141455, 55.1416239 25.1141197, 55.1417478 25.1139984, 55.1417574 25.1139228, 55.1416778 25.1138348, 55.1417814 25.1137579, 55.1419154 25.1137604, 55.1419144 25.1138049, 55.1419643 25.1138058, 55.1419606 25.1139611, 55.1419598 25.1139952, 55.1419274 25.1139946, 55.1419232 25.1141729, 55.1418697 25.114213, 55.1418875 25.1142325, 55.1417783 25.1143144, 55.1417615 25.114296, 55.1417088 25.1143355, 55.1415201 25.1143169, 55.1415161 25.1143506, 55.1412983 25.1143291))",POINT (55.1416739 25.1141083),2297,24724.3
التمر,16,93638782,,residential,,,,"POLYGON ((55.1457308 25.1095998, 55.1456679 25.1095286, 55.1456732 25.1094568, 55.1458654 25.1093141, 55.1459448 25.1093213, 55.1460133 25.1093898, 55.1461157 25.1093183, 55.1461212 25.1091735, 55.146081 25.1091662, 55.1460866 25.1091096, 55.1459003 25.1091007, 55.1458986 25.1091272, 55.145723 25.1091334, 55.1456729 25.1091717, 55.145653 25.1091461, 55.1455329 25.1092331, 55.1455547 25.1092592, 55.1454989 25.1092989, 55.1454776 25.1094452, 55.1454425 25.1094421, 55.1454334 25.1096313, 55.1455123 25.1096346, 55.1455123 25.1096759, 55.1456429 25.1096808, 55.1457308 25.1095998))",POINT (55.1457388 25.1093462),2258.8,24313
Jash Hamad,17,93638783,,residential,,,,"POLYGON ((55.1483318 25.1076409, 55.1482689 25.1075698, 55.1482742 25.1074978, 55.1484666 25.107355, 55.1485461 25.1073622, 55.1486145 25.1074307, 55.1487168 25.1073593, 55.1487222 25.1072147, 55.148682 25.1072074, 55.1486875 25.1071509, 55.1485017 25.107142, 55.1485 25.1071684, 55.1483242 25.1071746, 55.1482741 25.107213, 55.1482542 25.1071875, 55.1481344 25.1072742, 55.1481562 25.1073003, 55.1481003 25.1073401, 55.148079 25.1074864, 55.1480439 25.1074833, 55.1480348 25.1076722, 55.1481137 25.1076755, 55.1481137 25.1077168, 55.148244 25.1077217, 55.1483318 25.1076409))",POINT (55.14834 25.1073872),2253.9,24260.9
Al Basari,18,93638784,,residential,,,,"POLYGON ((55.1507586 25.1072033, 55.1507701 25.1071072, 55.1507412 25.1071044, 55.1507537 25.1070007, 55.1508555 25.1069241, 55.1509146 25.1069886, 55.1510116 25.107013, 55.1510338 25.1070137, 55.1510696 25.1069881, 55.1512081 25.1068721, 55.1512177 25.1067967, 55.151138 25.1067086, 55.1512423 25.1066312, 55.1513764 25.106634, 55.1513753 25.1066785, 55.1514249 25.1066795, 55.1514204 25.1068691, 55.1513881 25.1068685, 55.1513839 25.1070468, 55.1513304 25.1070869, 55.1513482 25.1071064, 55.1512387 25.1071885, 55.151222 25.1071702, 55.1511694 25.1072096, 55.1509808 25.107191, 55.1509768 25.1072248, 55.1509454 25.1072217, 55.1507586 25.1072033))",POINT (55.1511338 25.106982),2325.3,25029.1
Abu Keibal,19,93638787,,residential,,,,"POLYGON ((55.1474666 25.1082817, 55.1474036 25.1082106, 55.1474089 25.1081386, 55.1476013 25.1079959, 55.1476808 25.1080031, 55.1477493 25.1080716, 55.1478515 25.1080002, 55.1478569 25.1078555, 55.1478168 25.1078482, 55.1478223 25.1077917, 55.1476364 25.1077828, 55.1476347 25.1078092, 55.1474589 25.1078154, 55.1474088 25.1078538, 55.1473889 25.1078282, 55.1472691 25.1079151, 55.1472909 25.1079412, 55.1472349 25.1079809, 55.1472137 25.1081272, 55.1471786 25.1081241, 55.1471695 25.1083131, 55.1472484 25.1083164, 55.1472484 25.1083577, 55.1473788 25.1083626, 55.1474666 25.1082817))",POINT (55.1474747 25.1080281),2254.9,24271.3
Al Haseer,20,93638788,,residential,,,,"POLYGON ((55.1438231 25.1124188, 55.1438346 25.1123228, 55.1438057 25.11232, 55.1438182 25.1122162, 55.14392 25.1121396, 55.1439792 25.1122041, 55.1440761 25.1122284, 55.1441055 25.1122463, 55.144143 25.1122193, 55.1442726 25.1120876, 55.1442822 25.1120122, 55.1442025 25.111924, 55.1443051 25.1118481, 55.1444401 25.1118501, 55.1444393 25.1118943, 55.1444895 25.111895, 55.144485 25.1120847, 55.1444527 25.1120841, 55.1444485 25.1122624, 55.1443951 25.1123024, 55.1444129 25.1123219, 55.1443032 25.1124041, 55.1442864 25.1123858, 55.144234 25.1124251, 55.1440454 25.1124066, 55.1440414 25.1124404, 55.143996 25.1124359, 55.1438231 25.1124188))",POINT (55.1441987 25.1121979),2295.3,24706.3
Al Khushkar,21,93638789,,residential,,,,"POLYGON ((55.1500649 25.1063207, 55.1500018 25.1062494, 55.1500071 25.1061779, 55.1501991 25.1060354, 55.1502782 25.1060426, 55.1503468 25.1061113, 55.1504497 25.1060394, 55.1504551 25.1058941, 55.150415 25.1058868, 55.1504205 25.1058302, 55.1502335 25.1058212, 55.1502318 25.1058477, 55.1500563 25.1058539, 55.1500065 25.105892, 55.1499866 25.1058665, 55.1498659 25.105954, 55.1498877 25.1059801, 55.149832 25.1060196, 55.1498108 25.1061657, 55.1497757 25.1061626, 55.1497665 25.1063526, 55.1498454 25.1063559, 55.1498454 25.1063972, 55.1499766 25.1064021, 55.1500649 25.1063207))",POINT (55.1500723 25.1060671),2269.5,24429.1
Al Sarrood,22,93638793,,residential,,,,"POLYGON ((55.1424788 25.112054, 55.1424162 25.1119834, 55.1424216 25.1119105, 55.1426147 25.1117672, 55.1426952 25.1117745, 55.1427632 25.1118426, 55.1428642 25.1117721, 55.1428695 25.1116288, 55.1428293 25.1116215, 55.1428348 25.1115651, 55.1426513 25.1115563, 55.1426496 25.1115826, 55.1424731 25.1115889, 55.1424224 25.1116277, 55.1424025 25.1116022, 55.1422844 25.1116877, 55.1423062 25.1117138, 55.1422498 25.1117539, 55.1422285 25.1119008, 55.1421935 25.1118977, 55.1421845 25.1120845, 55.1422633 25.1120878, 55.1422633 25.1121291, 55.1423921 25.112134, 55.1424788 25.112054))",POINT (55.1424884 25.1118003),2225,23950.1
Atlantic,23,93645022,,yes,,,,"POLYGON ((55.1369818 25.1117578, 55.1366025 25.1113998, 55.1367809 25.1112448, 55.1371603 25.1116028, 55.1369818 25.1117578))",POINT (55.1368814 25.1115013),1369.6,14742.3
,24,93645024,,,,swimming_pool,,"POLYGON ((55.1367871 25.1103454, 55.1365132 25.1103477, 55.1364891 25.1103185, 55.1364488 25.110304, 55.136414 25.1102991, 55.1363791 25.1102797, 55.1363577 25.1102457, 55.136355 25.1102117, 55.136363 25.1101728, 55.1363818 25.1101509, 55.1364032 25.1101315, 55.1364274 25.1101218, 55.136473 25.1101145, 55.1364676 25.1100927, 55.136886 25.1100514, 55.1368914 25.1100878, 55.1369075 25.1101072, 55.1369343 25.1101169, 55.1369665 25.1101169, 55.1369692 25.1101509, 55.136937 25.1101509, 55.1368914 25.1101582, 55.1368431 25.1101777, 55.1367975 25.1102165, 55.1367841 25.1102602, 55.1367871 25.1103454))",POINT (55.1366322 25.1101985),1327.4,14287.8
Aegean,25,93645043,,yes,,,,"POLYGON ((55.1374959 25.1116822, 55.1375013 25.1111805, 55.1377427 25.1111826, 55.1377373 25.1116844, 55.1374959 25.1116822))",POINT (55.1376193 25.1114324),1352.3,14556
Tanzanite,26,93645049,,yes,,,,"POLYGON ((55.142799 25.1159846, 55.1422633 25.1159119, 55.1423014 25.1156817, 55.1428371 25.1157544, 55.142799 25.1159846))",POINT (55.1425502 25.1158332),1407.6,15150.8
Diamond,27,93645051,,residential,,,,"POLYGON ((55.142077 25.1177132, 55.1417517 25.1173034, 55.1419604 25.1171676, 55.1422857 25.1175774, 55.142077 25.1177132))",POINT (55.1420187 25.1174404),1447.9,15584.7
,28,93652327,,,,swimming_pool,,"POLYGON ((55.1158642 25.1289527, 55.1158547 25.1289355, 55.1158524 25.1289177, 55.11586 25.1288934, 55.1158723 25.1288793, 55.11589 25.1288694, 55.1159125 25.1288652, 55.1159191 25.1288655, 55.1159409 25.1288721, 55.1159701 25.1288871, 55.1160023 25.1288871, 55.116021 25.1288701, 55.1160318 25.1288459, 55.1160273 25.1288256, 55.1160178 25.1288084, 55.1160155 25.1287907, 55.1160231 25.1287665, 55.1160354 25.1287525, 55.116053 25.1287426, 55.1160755 25.1287383, 55.116082 25.1287387, 55.1161037 25.1287452, 55.11612 25.1287569, 55.1161309 25.128773, 55.1161348 25.1287901, 55.1161337 25.1288337, 55.1161337 25.1288629, 55.1161578 25.1288799, 55.1161873 25.1288774, 55.1162316 25.1288581, 55.1162598 25.1288527, 55.1162714 25.1288534, 55.1162987 25.1288616, 55.1163203 25.1288771, 55.1163348 25.1288984, 55.1163401 25.128922, 55.1163323 25.128956, 55.1163169 25.1289758, 55.1162943 25.12899, 55.1162676 25.1289964, 55.1162222 25.1290061, 55.1162034 25.1290328, 55.1162084 25.1290749, 55.1162326 25.1291105, 55.1162419 25.129152, 55.1162296 25.1292052, 55.1162027 25.1292399, 55.1161648 25.1292637, 55.1161203 25.1292744, 55.1160744 25.1292706, 55.1160328 25.1292529, 55.1160025 25.1292261, 55.115982 25.129189, 55.1159766 25.1291471, 55.115992 25.1290981, 55.1160208 25.129065, 55.1160318 25.1290353, 55.1160264 25.1290037, 55.1160076 25.128977, 55.1159701 25.1289649, 55.1159375 25.1289693, 55.1159173 25.1289742, 55.1158965 25.1289724, 55.1158773 25.1289643, 55.1158642 25.1289527))",POINT (55.1161076 25.1290104),1410.3,15180.2
,29,93657715,,hotel,,,,"POLYGON ((55.116041 25.1296613, 55.1160675 25.1297345, 55.1161208 25.1299515, 55.1159269 25.1301904, 55.1158518 25.1301394, 55.1157204 25.1302924, 55.1155219 25.1301759, 55.1154575 25.1301977, 55.11531 25.1301006, 55.1153127 25.1300447, 55.1151249 25.1299282, 55.1149371 25.1296853, 55.1150632 25.1295931, 55.1148996 25.1293672, 55.1148084 25.1293575, 55.1148379 25.1292628, 55.1147467 25.1291414, 55.1150766 25.128935, 55.1150847 25.1288913, 55.1152966 25.1289204, 55.1152858 25.1289908, 55.1153488 25.1290009, 55.1153609 25.129003, 55.1153529 25.129088, 55.1155702 25.1293381, 55.116041 25.1296613))",POINT (55.1154354 25.1296222),10974,118123.3
Atlantis West Parking,30,93657717,,,parking,,,"POLYGON ((55.1154564 25.1277933, 55.1153216 25.1276797, 55.1155328 25.1275487, 55.1151272 25.1269327, 55.1138558 25.1276297, 55.1140634 25.1279749, 55.1137459 25.1282188, 55.1140362 25.12858, 55.1140747 25.1285588, 55.1141301 25.1285284, 55.1144059 25.1283772, 55.1147359 25.1282133, 55.1153914 25.127869, 55.1154564 25.1277933))",POINT (55.1146396 25.1277508),16859.3,181472.2
,31,93662145,,yes,,,,"POLYGON ((55.1374977 25.1192681, 55.1373668 25.1192143, 55.1374476 25.1190528, 55.1375786 25.1191065, 55.1374977 25.1192681))",POINT (55.1374727 25.1191604),284.7,3064.1
,32,93662146,,yes,,,,"POLYGON ((55.1362763 25.1187538, 55.1361528 25.1186984, 55.1362348 25.1185485, 55.1363583 25.118604, 55.1362763 25.1187538))",POINT (55.1362555 25.1186512),257.3,2770
,33,93662147,,yes,,,,"POLYGON ((55.1361158 25.1186759, 55.1359906 25.1186198, 55.1360734 25.1184684, 55.1361986 25.1185246, 55.1361158 25.1186759))",POINT (55.1360946 25.1185722),263.4,2835.5
,34,93662149,,yes,,,,"POLYGON ((55.138797 25.1196985, 55.138853 25.119517, 55.1390173 25.1195586, 55.1389613 25.1197401, 55.138797 25.1196985))",POINT (55.1389072 25.1196286),358.9,3863
,35,93662150,,yes,,,,"POLYGON ((55.1369408 25.1190469, 55.1368111 25.1189936, 55.1369104 25.1188046, 55.1370355 25.1188577, 55.1369408 25.1190469))",POINT (55.1369241 25.1189261),326.5,3514.8
,36,93662152,,yes,,,,"POLYGON ((55.1366145 25.1188936, 55.1364897 25.1188377, 55.1365998 25.1186366, 55.1367246 25.1186926, 55.1366145 25.1188936))",POINT (55.1366071 25.1187651),348.9,3755.1
,37,93662153,,yes,,,,"POLYGON ((55.136444 25.1188152, 55.1363202 25.1187597, 55.1364023 25.1186097, 55.1365261 25.1186652, 55.136444 25.1188152))",POINT (55.1364231 25.1187124),258.2,2778.8
,38,93662154,,yes,,,,"POLYGON ((55.1367733 25.1189732, 55.136643 25.1189197, 55.1367326 25.1187409, 55.1368629 25.1187944, 55.1367733 25.1189732))",POINT (55.136753 25.118857),313.6,3375.4
,39,93662155,,yes,,,,"POLYGON ((55.1389755 25.1197501, 55.1390315 25.1195686, 55.1391958 25.1196102, 55.1391397 25.1197917, 55.1389755 25.1197501))",POINT (55.1390856 25.1196801),358.8,3862.2
,40,93662156,,yes,,,,"POLYGON ((55.135418 25.1183375, 55.1352971 25.118272, 55.1354292 25.1180718, 55.1355501 25.1181373, 55.135418 25.1183375))",POINT (55.1354236 25.1182047),366.8,3948
,41,93662157,,yes,,,,"POLYGON ((55.1376803 25.1193083, 55.1375483 25.1192541, 55.1376297 25.1190916, 55.1377617 25.1191458, 55.1376803 25.1193083))",POINT (55.137655 25.1192),288.7,3107.5
,42,93662159,,yes,,,,"POLYGON ((55.1352786 25.1182586, 55.1351365 25.1181817, 55.1352659 25.1179858, 55.1354078 25.1180628, 55.1352786 25.1182586))",POINT (55.1352722 25.1181222),421.5,4537.2
,43,93662160,,yes,,,,"POLYGON ((55.137854 25.1193772, 55.1377197 25.119322, 55.1378021 25.1191574, 55.1379364 25.1192126, 55.137854 25.1193772))",POINT (55.137828 25.1192673),297.5,3202.7
,44,93662161,,yes,,,,"POLYGON ((55.1351136 25.1181465, 55.1349898 25.1180794, 55.1351106 25.1178966, 55.1352344 25.1179637, 55.1351136 25.1181465))",POINT (55.1351121 25.1180216),343.1,3693.2
,45,93662163,,yes,,,,"POLYGON ((55.1355753 25.1184163, 55.1354536 25.1183504, 55.1355579 25.1181926, 55.1356796 25.1182585, 55.1355753 25.1184163))",POINT (55.1355666 25.1183044),291.1,3133.4
,46,93662164,,yes,,,,"POLYGON ((55.1380311 25.1194351, 55.1378965 25.1193798, 55.137979 25.1192149, 55.1381137 25.1192702, 55.1380311 25.1194351))",POINT (55.1380051 25.119325),298.8,3216.5
,47,94240551,,yes,,,,"POLYGON ((55.1281857 25.1198496, 55.1283265 25.1199101, 55.1283487 25.1198676, 55.1283336 25.1198611, 55.1283797 25.119773, 55.1283948 25.1197795, 55.1284284 25.1197155, 55.1282876 25.1196551, 55.1281857 25.1198496))",POINT (55.1283041 25.1197806),356.2,3834.5
,48,94240552,,yes,,,,"POLYGON ((55.1280119 25.119781, 55.1281696 25.1198494, 55.1282014 25.1197893, 55.128174 25.1197774, 55.128213 25.1197036, 55.1282327 25.1197122, 55.1282703 25.1196412, 55.1281202 25.1195761, 55.1280119 25.119781))",POINT (55.1281387 25.1197111),408.3,4394.4
أكوافنتشر,49,94404600,,,,water_park,,"POLYGON ((55.1242554 25.1375341, 55.1222383 25.1363054, 55.1211655 25.1355673, 55.1195829 25.1344163, 55.1185498 25.1336117, 55.1190991 25.1326338, 55.1186587 25.1321201, 55.1191326 25.1317842, 55.119164 25.1316009, 55.1193484 25.1315027, 55.119586 25.131656, 55.1202642 25.1322843, 55.1210474 25.1329399, 55.1212996 25.1334741, 55.1215195 25.1336538, 55.1219095 25.1337199, 55.1220745 25.1335497, 55.1225948 25.1335401, 55.1230412 25.1337481, 55.1235832 25.1341052, 55.1240273 25.1343412, 55.1244523 25.1346054, 55.1249312 25.1348365, 55.1252117 25.1352448, 55.1254921 25.135719, 55.1253172 25.1359652, 55.1249024 25.1357614, 55.1244163 25.1366162, 55.1244968 25.137165, 55.1242554 25.1375341))",POINT (55.1219482 25.1346096),180223.5,1939907.8
