link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,density,geometry,notes
1,1,2,,,0700_0800,5083.214,6.001,59.987,1.000,0.2,25900.201,0,0,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",period-based
2,1,3,,,0700_0800,8782.613,4.012,59.822,0.997,0.4,23403.473,0,0,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",period-based
3,2,1,,,0700_0800,5182.613,6.001,59.986,1.000,0.2,25900.201,0,0,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",period-based
4,2,6,,,0700_0800,5483.214,6.122,49.005,0.817,1.1,4958.181,0,0,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",period-based
5,3,1,,,0700_0800,8683.214,4.011,59.830,0.997,0.4,23403.473,0,0,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",period-based
6,3,4,,,0700_0800,14796.576,4.336,55.356,0.923,0.9,17110.524,0,0,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",period-based
7,3,12,,,0700_0800,10373.787,4.023,59.655,0.994,0.4,23403.473,0,0,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",period-based
8,4,3,,,0700_0800,14791.174,4.335,55.363,0.923,0.9,17110.524,0,0,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",period-based
9,4,5,,,0700_0800,18945.745,2.387,50.282,0.838,1.1,17782.794,0,0,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",period-based
10,4,11,,,0700_0800,5240.830,7.169,50.214,0.837,1.1,4908.827,0,0,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",period-based
11,5,4,,,0700_0800,18832.004,2.377,50.477,0.841,1.1,17782.794,0,0,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",period-based
12,5,6,,,0700_0800,8554.286,9.360,25.641,0.427,1.7,4947.995,0,0,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",period-based
13,5,9,,,0700_0800,15714.924,9.574,31.334,0.522,1.6,10000.000,0,0,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",period-based
14,6,2,,,0700_0800,5582.613,6.205,48.345,0.806,1.1,4958.181,0,0,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",period-based
15,6,5,,,0700_0800,8519.161,9.273,25.883,0.431,1.7,4947.995,0,0,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",period-based
16,6,8,,,0700_0800,12837.500,16.150,7.430,0.124,2.6,4898.588,0,0,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",period-based
17,7,8,,,0700_0800,12616.311,6.015,29.926,0.499,1.6,7841.811,0,0,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",period-based
18,7,18,,,0700_0800,15620.555,2.060,58.266,0.971,0.7,23403.473,0,0,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",period-based
19,8,6,,,0700_0800,12901.774,16.436,7.301,0.122,2.6,4898.588,0,0,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",period-based
20,8,7,,,0700_0800,12528.571,5.932,30.344,0.506,1.6,7841.811,0,0,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",period-based
21,8,9,,,0700_0800,7211.183,16.236,36.956,0.616,1.4,5050.193,0,0,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",period-based
22,8,16,,,0700_0800,8565.569,11.228,26.719,0.445,1.7,5045.823,0,0,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",period-based
23,9,5,,,0700_0800,15636.308,9.483,31.635,0.527,1.6,10000.000,0,0,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",period-based
24,9,8,,,0700_0800,7156.641,16.049,37.385,0.623,1.4,5050.193,0,0,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",period-based
25,9,10,,,0700_0800,21936.918,5.779,31.147,0.519,1.6,13915.788,0,0,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)",period-based
26,10,9,,,0700_0800,21903.759,5.762,31.238,0.521,1.6,13915.788,0,0,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)",period-based
27,10,11,,,0700_0800,17616.918,12.224,24.542,0.409,1.8,10000.000,0,0,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)",period-based
