link_id,from_node_id,to_node_id,link_type_name,link_type_code,time_period,volume,travel_time,speed,speed_ratio,VOC,capacity,queue,avg_waiting_time_in_min,congestion_duration_in_h,geometry,TT_0,TT_1,TT_2,TT_3,TT_4,TT_5,TT_6,TT_7,TT_8,TT_9,TT_10,TT_11,TT_12,TT_13,TT_14,TT_15,TT_16,TT_17,TT_18,TT_19,notes
1,1,2,,,0700_0800,3800.000,3.600,0.062,0.001,0.1,25900.201,0.000,0.000,0.086,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
2,1,3,,,0700_0800,6000.000,2.400,0.062,0.001,0.3,23403.473,0.000,0.000,0.175,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
3,2,1,,,0700_0800,3800.000,3.600,0.062,0.001,0.1,25900.201,0.000,0.000,0.086,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
4,2,6,,,0700_0800,6600.000,3.000,0.062,0.001,1.3,4958.181,0.000,0.000,1.442,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
5,3,1,,,0700_0800,6000.000,2.400,0.062,0.001,0.3,23403.473,0.000,0.000,0.175,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
6,3,4,,,0700_0800,10100.000,2.400,0.062,0.001,0.6,17110.524,0.000,0.000,0.509,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
7,3,12,,,0700_0800,6900.000,2.400,0.062,0.001,0.3,23403.473,0.000,0.000,0.209,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
8,4,3,,,0700_0800,10199.999,2.400,0.062,0.001,0.6,17110.524,0.000,0.000,0.516,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
9,4,5,,,0700_0800,13599.999,1.200,0.062,0.001,0.8,17782.794,0.000,0.000,0.709,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
10,4,11,,,0700_0800,6600.000,3.600,0.062,0.001,1.3,4908.827,0.000,0.000,1.461,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,period-based
11,5,4,,,0700_0800,13699.999,1.200,0.062,0.001,0.8,17782.794,0.000,0.000,0.716,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
12,5,6,,,0700_0800,10099.999,2.400,0.062,0.001,2.0,4947.995,0.000,0.000,2.493,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
13,5,9,,,0700_0800,7000.000,3.000,0.062,0.001,0.7,10000.000,0.000,0.000,0.633,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
14,6,2,,,0700_0800,6600.000,3.000,0.062,0.001,1.3,4958.181,0.000,0.000,1.442,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
15,6,5,,,0700_0800,10199.999,2.400,0.062,0.001,2.1,4947.995,0.000,0.000,2.524,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,period-based
16,6,8,,,0700_0800,16799.999,1.200,0.062,0.001,3.4,4898.588,0.000,0.000,4.843,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
17,7,8,,,0700_0800,8100.000,1.800,0.062,0.001,1.0,7841.811,0.000,0.000,1.042,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
18,7,18,,,0700_0800,13099.999,1.200,0.062,0.001,0.6,23403.473,0.000,0.000,0.476,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
19,8,6,,,0700_0800,16899.999,1.200,0.062,0.001,3.4,4898.588,0.000,0.000,4.880,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)",1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,period-based
20,8,7,,,0700_0800,8000.000,1.800,0.062,0.001,1.0,7841.811,0.000,0.000,1.026,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)",1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,period-based
21,8,9,,,0700_0800,800.000,6.000,0.062,0.001,0.2,5050.193,0.000,0.000,0.095,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)",6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,period-based
22,8,16,,,0700_0800,15499.999,3.000,0.062,0.001,3.1,5045.823,0.000,0.000,4.206,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
23,9,5,,,0700_0800,7000.000,3.000,0.062,0.001,0.7,10000.000,0.000,0.000,0.633,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,period-based
24,9,8,,,0700_0800,800.000,6.000,0.062,0.001,0.2,5050.193,0.000,0.000,0.095,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)",6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,period-based
