name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_PHF1,VDF_mu1
,1,4637378,7,9,,238.4955477,1,60,1000,motorway,1,"LINESTRING (-122.3223299 47.6562897, -122.3222072 47.6567558, -122.3220941 47.6573678, -122.3219713 47.6584193)",auto,0,1,100
,2,4637399,9,558,,684.776625,1,60,1000,motorway,1,"LINESTRING (-122.3219713 47.6584193, -122.3219814 47.6587537, -122.3217984 47.6611043, -122.3217811 47.6612852, -122.321765 47.6613972, -122.3217463 47.6614878, -122.3217225 47.6615849, -122.321691 47.661681, -122.3216519 47.6617758, -122.3216053 47.6618691, -122.3215513 47.6619605, -122.3210439 47.6627489, -122.3210067 47.6628202, -122.3209766 47.662893, -122.3209537 47.662967, -122.3209381 47.6630419, -122.32093 47.6631173, -122.3208519 47.6637671, -122.3207727 47.6642942, -122.3207157 47.6644637)",auto,0,1,100
,3,4637401,10,11,,65.70512725,2,60,1000,motorway,1,"LINESTRING (-122.3216691 47.6598573, -122.3216138 47.659932, -122.3215754 47.6599803, -122.3215225 47.6600302, -122.321467 47.6600791, -122.3211533 47.6603323)",auto,0,1,100
,4,4637402,9,10,,162.0189834,2,60,1000,motorway,1,"LINESTRING (-122.3219713 47.6584193, -122.3218927 47.6587447, -122.3217865 47.6595444, -122.3217735 47.6596253, -122.3217493 47.6597052, -122.3217161 47.6597794, -122.3216691 47.6598573)",auto,0,1,100
Ship Canal Bridge,5,4644156,642,6,,1146.286716,4,60,1000,motorway,1,"LINESTRING (-122.3226393 47.6570102, -122.3226013 47.6561808, -122.322585 47.6556797, -122.3226684 47.6511594, -122.3226994 47.64922, -122.3227094 47.6486798, -122.3227515 47.6480645, -122.322774 47.6477576, -122.3228931 47.6467065)",auto,0,1,100
,6,4644164,23,17,,48.53521437,2,60,1000,motorway,1,"LINESTRING (-122.3214226 47.6573538, -122.3213589 47.6573961, -122.3212872 47.6574238, -122.321164 47.6574636, -122.3210383 47.6574874, -122.3209629 47.6574978, -122.3208338 47.6575155)",auto,1,1,100
,7,4644164,17,23,,48.53521437,1,60,1000,motorway,1,"LINESTRING (-122.3208338 47.6575155, -122.3209629 47.6574978, -122.3210383 47.6574874, -122.321164 47.6574636, -122.3212872 47.6574238, -122.3213589 47.6573961, -122.3214226 47.6573538)",auto,1,1,100
Ship Canal Bridge,8,4644167,5,662,,119.7423739,4,60,1000,motorway,1,"LINESTRING (-122.3224229 47.6466995, -122.3224048 47.6477763)",auto,0,1,100
Ship Canal Bridge,9,4644167,662,7,,946.7207294,4,60,1000,motorway,1,"LINESTRING (-122.3224048 47.6477763, -122.3224352 47.6492751, -122.3223482 47.6560075, -122.3223299 47.6562897)",auto,0,1,100
,10,4644170,24,575,,159.6587389,1,60,1000,motorway,1,"LINESTRING (-122.3224548 47.6556961, -122.3223491 47.6560351, -122.3222443 47.6563216, -122.3221283 47.6565476, -122.3220115 47.6566937, -122.3217318 47.6570344)",auto,1,1,100
