first_column,zone_id,x_coord,y_coord,super_zone_id,analysis_district_id,demand,subarea_significance_flag,inside_flag
,1,-87.675591,42.011650,0,4,5262.310000,1,3
,2,-87.699402,42.003548,1,4,7125.930000,1,3
,3,-87.664871,41.977436,2,1,11046.630000,1,3
,4,-87.689873,41.963932,3,1,10114.650000,1,3
,5,-87.652962,41.932419,4,1,19566.910000,1,3
,6,-87.743462,41.990040,5,4,6817.170000,1,3
,7,-87.725601,41.960327,6,1,10547.900000,1,3
,8,-87.799431,41.987339,7,4,9830.170000,1,3
,9,-87.822052,41.948624,8,1,7130.280000,1,3
,10,-87.763702,41.938721,9,1,15344.100000,1,3
,11,-87.761322,41.896404,10,1,11415.100000,1,3
,12,-87.725601,41.901806,11,1,7305.360000,1,3
,13,-87.719643,41.872093,12,1,10085.360000,1,3
,14,-87.713692,41.929718,13,1,16089.000000,1,3
,15,-87.680351,41.903606,14,1,9436.430000,1,3
,16,-87.668442,41.875694,15,1,11515.140000,1,3
,17,-87.637482,41.901806,16,1,10441.810000,1,3
,18,-87.630341,41.880196,17,1,10260.480000,1,3
,19,-87.625572,41.858589,18,1,2706.610000,1,3
,20,-87.717262,41.840580,19,1,8180.970000,1,3
,21,-87.670822,41.854088,20,1,4842.720000,1,3
,22,-87.622002,41.836079,21,2,3496.910000,1,3
,23,-87.662491,41.823475,22,1,14143.520000,1,3
,24,-87.713692,41.818974,23,1,6318.490000,1,3
,25,-87.769661,41.789261,24,6,6389.220000,1,3
,26,-87.710121,41.782059,25,6,14799.240000,1,3
,27,-87.658913,41.778454,26,2,8204.690000,1,3
,28,-87.613663,41.806366,27,2,9589.230000,1,3
,29,-87.601761,41.764050,28,2,17091.270000,1,3
,30,-87.711311,41.746941,29,6,5682.300000,1,3
,31,-87.654152,41.735237,30,2,8237.550000,1,3
,32,-87.677971,41.702824,31,7,8388.890000,1,3
,33,-87.620811,41.674011,32,7,4956.770000,1,3
,34,-87.619621,41.711826,33,2,6870.760000,1,3
,35,-87.560081,41.741539,34,2,5523.010000,1,3
,36,-87.556511,41.687519,35,2,6658.940000,1,3
,37,-87.907791,41.981937,36,3,1458.380000,1,3
,38,-88.175720,42.114288,37,13,2304.600000,1,3
,39,-88.034012,42.134102,38,3,7279.000000,1,3
,40,-88.093552,42.134102,39,3,1914.740000,1,3
,41,-88.034012,42.090881,40,3,9209.830000,1,3
,42,-88.092361,42.090881,41,3,2177.520000,1,3
,43,-87.918510,42.133198,42,3,5702.080000,1,3
,44,-87.976860,42.134102,43,3,7944.670000,1,3
,45,-87.918510,42.090881,44,3,6623.930000,1,3
,46,-87.978050,42.089081,45,3,7107.770000,1,3
,47,-87.804192,42.134102,46,4,3154.840000,1,3
,48,-87.861351,42.134102,47,3,5475.240000,1,3
,49,-87.805382,42.090881,48,4,3671.040000,1,3
,50,-87.861351,42.090881,49,3,5051.910000,1,3
,51,-87.755371,42.131397,50,4,1621.880000,1,3
,52,-87.698212,42.080074,51,4,2188.110000,1,3
,53,-87.747032,42.089081,52,4,4993.560000,1,3
,54,-88.172150,42.050365,53,3,1277.870000,1,3
,55,-88.231689,42.048565,54,10,1847.230000,1,3
,56,-88.172150,42.011650,55,3,4548.460000,1,3
,57,-88.231689,42.011650,56,12,1723.460000,1,3
,58,-88.060211,42.053066,57,3,6598.900000,1,3
,59,-88.116180,42.051266,58,3,5719.360000,1,3
,60,-88.060211,42.016151,59,3,5523.850000,1,3
,61,-88.116180,42.014351,60,3,5742.190000,1,3
,62,-87.950661,42.053967,61,3,5700.950000,1,3
,63,-88.005440,42.053066,62,3,3922.760000,1,3
,64,-87.950661,42.017052,63,3,10354.760000,1,3
,65,-88.004242,42.016151,64,3,3618.820000,1,3
,66,-87.838722,42.054867,65,4,6551.330000,1,3
,67,-87.894691,42.054867,66,3,4040.070000,1,3
,68,-87.838722,42.020653,67,4,6947.780000,1,3
,69,-87.893501,42.019753,68,3,6781.790000,1,3
,70,-87.720840,42.053967,69,4,4746.690000,1,3
,71,-87.781570,42.055767,70,4,4194.520000,1,3
,72,-87.723221,42.026054,71,4,8075.780000,1,3
,73,-87.780373,42.026054,72,4,8500.240000,1,3
,74,-87.683922,42.054867,73,4,2856.690000,1,3
,75,-87.683922,42.034161,74,4,2757.050000,1,3
,76,-87.870880,41.976536,75,3,6241.290000,1,3
,77,-87.894691,41.932419,76,3,8828.230000,1,3
,78,-87.837532,41.927917,77,1,7478.600000,1,3
,79,-87.819672,41.964832,78,1,3991.120000,1,3
,80,-87.833961,41.888302,79,1,11408.140000,1,3
