zone_id,activity_nodes,x_coord,y_coord,geometry,production,attraction,bin_index
1,1,,,,5262.31,5262.31,2
2,2,,,,7125.93,7125.93,3
3,3,,,,11046.63,11046.63,5
4,4,,,,10114.65,10114.65,5
5,5,,,,19566.91,19566.91,9
6,6,,,,6817.17,6817.17,3
7,7,,,,10547.9,10547.9,5
8,8,,,,9830.17,9830.17,4
9,9,,,,7130.28,7130.28,3
10,10,,,,15344.1,15344.1,7
11,11,,,,11415.1,11415.1,5
12,12,,,,7305.36,7305.36,3
13,13,,,,10085.36,10085.36,5
14,14,,,,16089,16089,8
15,15,,,,9436.43,9436.43,4
16,16,,,,11515.14,11515.14,5
17,17,,,,10441.81,10441.81,5
18,18,,,,10260.48,10260.48,5
19,19,,,,2706.61,2706.61,1
20,20,,,,8180.97,8180.97,4
21,21,,,,4842.72,4842.72,2
22,22,,,,3496.91,3496.91,1
23,23,,,,14143.52,14143.52,7
24,24,,,,6318.49,6318.49,3
25,25,,,,6389.22,6389.22,3
26,26,,,,14799.24,14799.24,7
27,27,,,,8204.69,8204.69,4
28,28,,,,9589.23,9589.23,4
29,29,,,,17091.27,17091.27,8
30,30,,,,5682.3,5682.3,2
31,31,,,,8237.55,8237.55,4
32,32,,,,8388.89,8388.89,4
33,33,,,,4956.77,4956.77,2
34,34,,,,6870.76,6870.76,3
35,35,,,,5523.01,5523.01,2
36,36,,,,6658.94,6658.94,3
37,37,,,,1458.38,1458.38,0
38,38,,,,2304.6,2304.6,1
39,39,,,,7279,7279,3
40,40,,,,1914.74,1914.74,0
41,41,,,,9209.83,9209.83,4
42,42,,,,2177.52,2177.52,1
43,43,,,,5702.08,5702.08,2
44,44,,,,7944.67,7944.67,3
45,45,,,,6623.93,6623.93,3
46,46,,,,7107.77,7107.77,3
47,47,,,,3154.84,3154.84,1
48,48,,,,5475.24,5475.24,2
49,49,,,,3671.04,3671.04,1
50,50,,,,5051.91,5051.91,2
51,51,,,,1621.88,1621.88,0
52,52,,,,2188.11,2188.11,1
53,53,,,,4993.56,4993.56,2
54,54,,,,1277.87,1277.87,0
55,55,,,,1847.23,1847.23,0
56,56,,,,4548.46,4548.46,2
57,57,,,,1723.46,1723.46,0
58,58,,,,6598.9,6598.9,3
59,59,,,,5719.36,5719.36,2
60,60,,,,5523.85,5523.85,2
61,61,,,,5742.19,5742.19,2
62,62,,,,5700.95,5700.95,2
63,63,,,,3922.76,3922.76,1
64,64,,,,10354.76,10354.76,5
65,65,,,,3618.82,3618.82,1
66,66,,,,6551.33,6551.33,3
67,67,,,,4040.07,4040.07,2
68,68,,,,6947.78,6947.78,3
69,69,,,,6781.79,6781.79,3
70,70,,,,4746.69,4746.69,2
71,71,,,,4194.52,4194.52,2
72,72,,,,8075.78,8075.78,4
73,73,,,,8500.24,8500.24,4
74,74,,,,2856.69,2856.69,1
75,75,,,,2757.05,2757.05,1
76,76,,,,6241.29,6241.29,3
77,77,,,,8828.23,8828.23,4
78,78,,,,7478.6,7478.6,3
79,79,,,,3991.12,3991.12,1
80,80,,,,11408.14,11408.14,5
81,81,,,,9066.86,9066.86,4
