name,link_id,from_node_id,to_node_id,length,lanes,free_speed,capacity,link_type,BPR_alpha_term,BPR_beta_term
,1,1,2,6,1,60,25.9002,1,0.9,4
,2,1,3,4,1,60,23.4035,1,0.6,4
,3,2,1,6,1,60,25.9002,1,0.9,4
,4,2,6,5,1,60,4.9582,1,0.75,4
,5,3,1,4,1,60,23.4035,1,0.6,4
,6,3,4,4,1,60,17.1105,1,0.6,4
,7,3,12,4,1,60,23.4035,1,0.6,4
,8,4,3,4,1,60,17.1105,1,0.6,4
,9,4,5,2,1,60,17.7828,1,0.3,4
,10,4,11,6,1,60,4.9088,1,0.9,4
,11,5,4,2,1,60,17.7828,1,0.3,4
,12,5,6,4,1,60,4.948,1,0.6,4
,13,5,9,5,1,60,10,1,0.75,4
,14,6,2,5,1,60,4.9582,1,0.75,4
,15,6,5,4,1,60,4.948,1,0.6,4
,16,6,8,2,1,60,4.8986,1,0.3,4
,17,7,8,3,1,60,7.8418,1,0.45,4
,18,7,18,2,1,60,23.4035,1,0.3,4
,19,8,6,2,1,60,4.8986,1,0.3,4
,20,8,7,3,1,60,7.8418,1,0.45,4
,21,8,9,10,1,60,5.0502,1,1.5,4
,22,8,16,5,1,60,5.0458,1,0.75,4
,23,9,5,5,1,60,10,1,0.75,4
,24,9,8,10,1,60,5.0502,1,1.5,4
,25,9,10,3,1,60,13.9158,1,0.45,4
,26,10,9,3,1,60,13.9158,1,0.45,4
,27,10,11,5,1,60,10,1,0.75,4
,28,10,15,6,1,60,13.512,1,0.9,4
,29,10,16,5,1,60,5.1335,1,0.75,4
,30,10,17,8,1,60,4.9935,1,1.2,4
,31,11,4,6,1,60,4.9088,1,0.9,4
,32,11,10,5,1,60,10,1,0.75,4
,33,11,12,6,1,60,4.9088,1,0.9,4
,34,11,14,4,1,60,4.8765,1,0.6,4
,35,12,3,4,1,60,23.4035,1,0.6,4
,36,12,11,6,1,60,4.9088,1,0.9,4
,37,12,13,3,1,60,25.9002,1,0.45,4
,38,13,12,3,1,60,25.9002,1,0.45,4
,39,13,24,4,1,60,5.0913,1,0.6,4
,40,14,11,4,1,60,4.8765,1,0.6,4
,41,14,15,5,1,60,5.1275,1,0.75,4
,42,14,23,4,1,60,4.9248,1,0.6,4
,43,15,10,6,1,60,13.512,1,0.9,4
,44,15,14,5,1,60,5.1275,1,0.75,4
,45,15,19,4,1,60,15.6508,1,0.6,4
,46,15,22,4,1,60,10.315,1,0.6,4
,47,16,8,5,1,60,5.0458,1,0.75,4
,48,16,10,5,1,60,5.1335,1,0.75,4
,49,16,17,2,1,60,5.2299,1,0.3,4
,50,16,18,3,1,60,19.6799,1,0.45,4
,51,17,10,8,1,60,4.9935,1,1.2,4
,52,17,16,2,1,60,5.2299,1,0.3,4
,53,17,19,2,1,60,4.824,1,0.3,4
,54,18,7,2,1,60,23.4035,1,0.3,4
,55,18,16,3,1,60,19.6799,1,0.45,4
,56,18,20,4,1,60,23.4035,1,0.6,4
,57,19,15,4,1,60,15.6508,1,0.6,4
,58,19,17,2,1,60,4.824,1,0.3,4
,59,19,20,4,1,60,5.0026,1,0.6,4
,60,20,18,4,1,60,23.4035,1,0.6,4
,61,20,19,4,1,60,5.0026,1,0.6,4
,62,20,21,6,1,60,5.0599,1,0.9,4
,63,20,22,5,1,60,5.0757,1,0.75,4
,64,21,20,6,1,60,5.0599,1,0.9,4
,65,21,22,2,1,60,5.2299,1,0.3,4
,66,21,24,3,1,60,4.8854,1,0.45,4
,67,22,15,4,1,60,10.315,1,0.6,4
,68,22,20,5,1,60,5.0757,1,0.75,4
,69,22,21,2,1,60,5.2299,1,0.3,4
,70,22,23,4,1,60,5,1,0.6,4
,71,23,14,4,1,60,4.9248,1,0.6,4
,72,23,22,4,1,60,5,1,0.6,4
,73,23,24,2,1,60,5.0785,1,0.3,4
,74,24,13,4,1,60,5.0913,1,0.6,4
,75,24,21,3,1,60,4.8854,1,0.45,4
,76,24,23,2,1,60,5.0785,1,0.3,4
