agent_id,agent_type,o_node_id,d_node_id,o_zone_id,d_zone_id,departure_time_in_min,PCE
1,v,1,2,1,2,420,1
2,v,1,2,1,2,420,1
3,v,1,2,1,2,420,1
4,v,1,2,1,2,420,1
5,v,1,2,1,2,420,1
6,v,1,2,1,2,420,1
7,v,1,2,1,2,420,1
8,v,1,2,1,2,420,1
9,v,1,2,1,2,420,1
10,v,1,2,1,2,420,1
11,v,1,2,1,2,420,1
12,v,1,2,1,2,420,1
13,v,1,2,1,2,420,1
14,v,1,2,1,2,420,1
15,v,1,2,1,2,420,1
16,v,1,2,1,2,420,1
17,v,1,2,1,2,420,1
18,v,1,2,1,2,420,1
19,v,1,2,1,2,420,1
20,v,1,2,1,2,420,1
21,v,1,2,1,2,420,1
22,v,1,2,1,2,420,1
23,v,1,2,1,2,420,1
24,v,1,2,1,2,420,1
25,v,1,2,1,2,420,1
26,v,1,2,1,2,420,1
27,v,1,2,1,2,420,1
28,v,1,2,1,2,420,1
29,v,1,2,1,2,420,1
30,v,1,2,1,2,420,1
31,v,1,2,1,2,420,1
32,v,1,2,1,2,420,1
33,v,1,2,1,2,420,1
34,v,1,2,1,2,420,1
35,v,1,2,1,2,420,1
36,v,1,2,1,2,420,1
37,v,1,2,1,2,420,1
38,v,1,2,1,2,420,1
39,v,1,2,1,2,420,1
40,v,1,2,1,2,420,1
41,v,1,2,1,2,420,1
42,v,1,2,1,2,420,1
43,v,1,2,1,2,420,1
44,v,1,2,1,2,420,1
45,v,1,2,1,2,420,1
46,v,1,2,1,2,420,1
47,v,1,2,1,2,420,1
48,v,1,2,1,2,420,1
49,v,1,2,1,2,420,1
50,v,1,2,1,2,420,1
51,v,1,2,1,2,420,1
52,v,1,2,1,2,420,1
53,v,1,2,1,2,420,1
54,v,1,2,1,2,420,1
55,v,1,2,1,2,420,1
56,v,1,2,1,2,420,1
57,v,1,2,1,2,420,1
58,v,1,2,1,2,420,1
59,v,1,2,1,2,420,1
60,v,1,2,1,2,420,1
61,v,1,2,1,2,420,1
62,v,1,2,1,2,420,1
63,v,1,2,1,2,420,1
64,v,1,2,1,2,420,1
65,v,1,2,1,2,420,1
66,v,1,2,1,2,420,1
67,v,1,2,1,2,420,1
68,v,1,2,1,2,420,1
69,v,1,2,1,2,420,1
70,v,1,2,1,2,420,1
71,v,1,2,1,2,420,1
72,v,1,2,1,2,420,1
73,v,1,2,1,2,420,1
74,v,1,2,1,2,420,1
75,v,1,2,1,2,420,1
76,v,1,2,1,2,420,1
77,v,1,2,1,2,420,1
78,v,1,2,1,2,420,1
79,v,1,2,1,2,420,1
80,v,1,2,1,2,420,1
81,v,1,2,1,2,420,1
82,v,1,2,1,2,420,1
