name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
,1,1,2,freeway,1,6,1,25900.20064,60,1,0,6,25900.20064,0.15,4,1,1,100
,2,1,3,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,1,1,100
,3,2,1,freeway,1,6,1,25900.20064,60,1,0,6,25900.20064,0.15,4,1,1,100
,4,2,6,freeway,1,5,1,4958.180928,60,1,0,5,4958.180928,0.15,4,1,1,100
,5,3,1,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,1,1,100
,6,3,4,freeway,1,4,1,17110.52372,60,1,0,4,17110.52372,0.15,4,1,1,100
,7,3,12,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,1,1,100
,8,4,3,freeway,1,4,1,17110.52372,60,1,0,4,17110.52372,0.15,4,1,1,100
,9,4,5,freeway,1,2,1,17782.7941,60,1,0,2,17782.7941,0.15,4,1,1,100
,10,4,11,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,1,1,100
,11,5,4,freeway,1,2,1,17782.7941,60,1,0,2,17782.7941,0.15,4,1,1,100
,12,5,6,freeway,1,4,1,4947.995469,60,1,0,4,4947.995469,0.15,4,1,1,100
,13,5,9,freeway,1,5,1,10000,60,1,0,5,10000,0.15,4,1,1,100
,14,6,2,freeway,1,5,1,4958.180928,60,1,0,5,4958.180928,0.15,4,1,1,100
,15,6,5,freeway,1,4,1,4947.995469,60,1,0,4,4947.995469,0.15,4,1,1,100
,16,6,8,freeway,1,2,1,4898.587646,60,1,0,2,4898.587646,0.15,4,1,1,100
,17,7,8,freeway,1,3,1,7841.81131,60,1,0,3,7841.81131,0.15,4,1,1,100
,18,7,18,freeway,1,2,1,23403.47319,60,1,0,2,23403.47319,0.15,4,1,1,100
,19,8,6,freeway,1,2,1,4898.587646,60,1,0,2,4898.587646,0.15,4,1,1,100
,20,8,7,freeway,1,3,1,7841.81131,60,1,0,3,7841.81131,0.15,4,1,1,100
,21,8,9,freeway,1,10,1,5050.193156,60,1,0,10,5050.193156,0.15,4,1,1,100
,22,8,16,freeway,1,5,1,5045.822583,60,1,0,5,5045.822583,0.15,4,1,1,100
,23,9,5,freeway,1,5,1,10000,60,1,0,5,10000,0.15,4,1,1,100
,24,9,8,freeway,1,10,1,5050.193156,60,1,0,10,5050.193156,0.15,4,1,1,100
,25,9,10,freeway,1,3,1,13915.78842,60,1,0,3,13915.78842,0.15,4,1,1,100
,26,10,9,freeway,1,3,1,13915.78842,60,1,0,3,13915.78842,0.15,4,1,1,100
,27,10,11,freeway,1,5,1,10000,60,1,0,5,10000,0.15,4,1,1,100
,28,10,15,freeway,1,6,1,13512.00155,60,1,0,6,13512.00155,0.15,4,1,1,100
,29,10,16,freeway,1,4,1,4854.917717,60,1,0,4,4854.917717,0.15,4,1,1,100
,30,10,17,freeway,1,8,1,4993.510694,60,1,0,8,4993.510694,0.15,4,1,1,100
,31,11,4,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,1,1,100
,32,11,10,freeway,1,5,1,10000,60,1,0,5,10000,0.15,4,1,1,100
,33,11,12,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,1,1,100
,34,11,14,freeway,1,4,1,4876.508287,60,1,0,4,4876.508287,0.15,4,1,1,100
,35,12,3,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,1,1,100
,36,12,11,freeway,1,6,1,4908.82673,60,1,0,6,4908.82673,0.15,4,1,1,100
,37,12,13,freeway,1,3,1,25900.20064,60,1,0,3,25900.20064,0.15,4,1,1,100
,38,13,12,freeway,1,3,1,25900.20064,60,1,0,3,25900.20064,0.15,4,1,1,100
,39,13,24,freeway,1,4,1,5091.256152,60,1,0,4,5091.256152,0.15,4,1,1,100
,40,14,11,freeway,1,4,1,4876.508287,60,1,0,4,4876.508287,0.15,4,1,1,100
,41,14,15,freeway,1,5,1,5127.526119,60,1,0,5,5127.526119,0.15,4,1,1,100
,42,14,23,freeway,1,4,1,4924.790605,60,1,0,4,4924.790605,0.15,4,1,1,100
,43,15,10,freeway,1,6,1,13512.00155,60,1,0,6,13512.00155,0.15,4,1,1,100
,44,15,14,freeway,1,5,1,5127.526119,60,1,0,5,5127.526119,0.15,4,1,1,100
,45,15,19,freeway,1,3,1,14564.75315,60,1,0,3,14564.75315,0.15,4,1,1,100
,46,15,22,freeway,1,3,1,9599.180565,60,1,0,3,9599.180565,0.15,4,1,1,100
,47,16,8,freeway,1,5,1,5045.822583,60,1,0,5,5045.822583,0.15,4,1,1,100
,48,16,10,freeway,1,4,1,4854.917717,60,1,0,4,4854.917717,0.15,4,1,1,100
,49,16,17,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,1,1,100
,50,16,18,freeway,1,3,1,19679.89671,60,1,0,3,19679.89671,0.15,4,1,1,100
,51,17,10,freeway,1,8,1,4993.510694,60,1,0,8,4993.510694,0.15,4,1,1,100
,52,17,16,freeway,1,2,1,5229.910063,60,1,0,2,5229.910063,0.15,4,1,1,100
,53,17,19,freeway,1,2,1,4823.950831,60,1,0,2,4823.950831,0.15,4,1,1,100
,54,18,7,freeway,1,2,1,23403.47319,60,1,0,2,23403.47319,0.15,4,1,1,100
,55,18,16,freeway,1,3,1,19679.89671,60,1,0,3,19679.89671,0.15,4,1,1,100
,56,18,20,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,1,1,100
,57,19,15,freeway,1,3,1,14564.75315,60,1,0,3,14564.75315,0.15,4,1,1,100
,58,19,17,freeway,1,2,1,4823.950831,60,1,0,2,4823.950831,0.15,4,1,1,100
,59,19,20,freeway,1,4,1,5002.607563,60,1,0,4,5002.607563,0.15,4,1,1,100
,60,20,18,freeway,1,4,1,23403.47319,60,1,0,4,23403.47319,0.15,4,1,1,100
,61,20,19,freeway,1,4,1,5002.607563,60,1,0,4,5002.607563,0.15,4,1,1,100
