link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,notes
1,1,2,0700_0800,5083.21387,6.00134,59.98665,0.19626,0,0,"",period-based
2,1,3,0700_0800,8782.61426,4.01190,59.82204,0.37527,0,0,"",period-based
3,2,1,0700_0800,5182.61279,6.00144,59.98557,0.20010,0,0,"",period-based
4,2,6,0700_0800,5483.21436,6.12179,49.00525,1.10589,0,0,"",period-based
5,3,1,0700_0800,8683.21484,4.01137,59.82994,0.37102,0,0,"",period-based
6,3,4,0700_0800,14796.57715,4.33554,55.35643,0.86476,0,0,"",period-based
7,3,12,0700_0800,10373.78809,4.02316,59.65456,0.44326,0,0,"",period-based
8,4,3,0700_0800,14791.17676,4.33505,55.36269,0.86445,0,0,"",period-based
9,4,5,0700_0800,18945.74414,2.38652,50.28250,1.06540,0,0,"",period-based
10,4,11,0700_0800,5240.83057,7.16932,50.21399,1.06763,0,0,"",period-based
11,5,4,0700_0800,18832.00586,2.37732,50.47705,1.05900,0,0,"",period-based
12,5,6,0700_0800,8554.28516,9.36005,25.64089,1.72884,0,0,"",period-based
13,5,9,0700_0800,15714.92578,9.57415,31.33437,1.57149,0,0,"",period-based
14,6,2,0700_0800,5582.61279,6.20537,48.34520,1.12594,0,0,"",period-based
15,6,5,0700_0800,8519.16211,9.27256,25.88282,1.72174,0,0,"",period-based
16,6,8,0700_0800,12837.49902,16.15010,7.43030,2.62065,0,0,"",period-based
17,7,8,0700_0800,12616.31152,6.01493,29.92556,1.60885,0,0,"",period-based
18,7,18,0700_0800,15620.55469,2.05954,58.26553,0.66745,0,0,"",period-based
19,8,6,0700_0800,12901.77539,16.43563,7.30121,2.63377,0,0,"",period-based
20,8,7,0700_0800,12528.57031,5.93193,30.34427,1.59766,0,0,"",period-based
21,8,9,0700_0800,7211.18359,16.23570,36.95559,1.42790,0,0,"",period-based
22,8,16,0700_0800,8565.56934,11.22814,26.71859,1.69756,0,0,"",period-based
23,9,5,0700_0800,15636.31055,9.48331,31.63453,1.56363,0,0,"",period-based
24,9,8,0700_0800,7156.64111,16.04918,37.38509,1.41710,0,0,"",period-based
