agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,geometry
1,1,2,0,p,AM,100.00,0.0,6.0013,6.0000,1;2;,,0730;0736;,450.00;456.00;,6.00;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813)"
2,1,3,0,p,AM,100.00,0.0,4.0119,4.0000,1;3;,,0730;0734;,450.00;454.01;,4.01;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962)"
3,1,4,0,p,AM,500.00,0.0,8.3474,8.0000,1;3;4;,,0730;0734;0738;,450.00;454.01;458.35;,4.01;4.34;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)"
4,1,5,0,p,AM,200.00,0.0,10.7340,10.0000,1;3;4;5;,,0730;0734;0738;0740;,450.00;454.01;458.35;460.73;,4.01;4.34;2.39;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)"
5,1,6,0,p,AM,300.00,0.0,12.1231,11.0000,1;2;6;,,0730;0736;0742;,450.00;456.00;462.12;,6.00;6.12;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)"
6,1,6,1,p,AM,0.00,0.0,20.0940,14.0000,1;3;4;5;6;,,0742;0746;0750;0752;0802;,462.12;466.14;470.47;472.86;482.22;,4.01;4.34;2.39;9.36;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)"
7,1,7,0,p,AM,500.00,0.0,34.2052,16.0000,1;2;6;8;7;,,0730;0736;0742;0758;0804;,450.00;456.00;462.12;478.27;484.21;,6.00;6.12;16.15;5.93;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)"
8,1,7,1,p,AM,0.00,0.0,42.2892,28.0000,1;3;4;5;9;8;7;,,0804;0808;0812;0814;0824;0840;0846;,484.21;488.22;492.55;494.94;504.51;520.56;526.49;,4.01;4.34;2.39;9.57;16.05;5.93;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)"
9,1,7,2,p,AM,0.00,0.0,44.7956,23.0000,1;2;6;8;16;18;7;,,0846;0852;0858;0914;0925;0929;0931;,526.49;532.50;538.62;554.77;566.00;569.23;571.29;,6.00;6.12;16.15;11.23;3.23;2.06;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)"
10,1,8,0,p,AM,800.00,0.0,28.2732,13.0000,1;2;6;8;,,0730;0736;0742;0758;,450.00;456.00;462.12;478.27;,6.00;6.12;16.15;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)"
11,1,8,1,p,AM,0.00,0.0,36.3573,25.0000,1;3;4;5;9;8;,,0758;0802;0806;0809;0818;0834;,478.27;482.29;486.62;489.01;498.58;514.63;,4.01;4.34;2.39;9.57;16.05;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)"
12,1,9,0,p,AM,500.00,0.0,20.3081,15.0000,1;3;4;5;9;,,0730;0734;0738;0740;0750;,450.00;454.01;458.35;460.73;470.31;,4.01;4.34;2.39;9.57;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)"
13,1,9,1,p,AM,0.00,0.0,39.7168,22.0000,1;3;12;11;10;9;,,0750;0754;0758;0812;0824;0830;,470.31;474.32;478.34;492.28;504.26;510.02;,4.01;4.02;13.94;11.98;5.76;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)"
14,1,10,2,p,AM,0.00,0.0,27.4948,19.0000,1;3;4;11;10;,,0730;0734;0738;0745;0757;,450.00;454.01;458.35;465.52;477.49;,4.01;4.34;7.17;11.98;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.731438 43.545271)"
15,1,10,0,p,AM,1300.00,0.0,26.0871,18.0000,1;3;4;5;9;10;,,0757;0801;0805;0808;0817;0823;,477.49;481.51;485.84;488.23;497.80;503.58;,4.01;4.34;2.39;9.57;5.78;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)"
16,1,10,1,p,AM,0.00,0.0,33.9546,19.0000,1;3;12;11;10;,,0823;0827;0831;0845;0857;,503.58;507.59;511.62;525.56;537.54;,4.01;4.02;13.94;11.98;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)"
17,1,11,0,p,AM,500.00,0.0,15.5168,14.0000,1;3;4;11;,,0730;0734;0738;0745;,450.00;454.01;458.35;465.52;,4.01;4.34;7.17;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)"
18,1,11,1,p,AM,0.00,0.0,21.9765,14.0000,1;3;12;11;,,0745;0749;0753;0807;,465.52;469.53;473.55;487.49;,4.01;4.02;13.94;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)"
19,1,12,0,p,AM,200.00,0.0,8.0351,8.0000,1;3;12;,,0730;0734;0738;,450.00;454.01;458.04;,4.01;4.02;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941)"
20,1,13,0,p,AM,500.00,0.0,11.0657,11.0000,1;3;12;13;,,0730;0734;0738;0741;,450.00;454.01;458.04;461.07;,4.01;4.02;3.03;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)"
21,1,14,0,p,AM,300.00,0.0,28.4817,18.0000,1;3;4;11;14;,,0730;0734;0738;0745;0758;,450.00;454.01;458.35;465.52;478.48;,4.01;4.34;7.17;12.96;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)"
