name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,1,,,1,,,,-112.216413,33.653927,,,
,2,,,2,,,,-112.029867,33.655286,,,
,3,,,0,,,,-112.203112,33.667556,,,
,4,,,4,,,,-112.182704,33.667637,,,
,5,,,0,,,,-112.163116,33.667772,,,
,6,,,0,,,,-112.140701,33.667926,,,
,7,,,0,,,,-112.120306,33.668067,,,
,8,,,0,,,,-112.098093,33.66822,,,
,9,,,0,,,,-112.079717,33.668347,,,
,10,,,0,,,,-112.062351,33.668466,,,
,11,,,0,,,,-112.046196,33.668578,,,
,12,,,0,,,,-112.038642,33.6623,,,
,14,,,0,,,,-112.211333,33.648451,,,
,15,,,0,,,,-112.207035,33.644013,,,
,16,,,0,,,,-112.202329,33.639298,,,
,17,,,0,,,,-112.190818,33.639378,,,
,18,,,0,,,,-112.179914,33.639453,,,
,19,,,0,,,,-112.168202,33.639534,,,
,20,,,0,,,,-112.155278,33.639623,,,
,21,,,0,,,,-112.143162,33.639706,,,
,22,,,0,,,,-112.128824,33.639805,,,
,23,,,0,,,,-112.11734,33.63987,,,
,24,,,0,,,,-112.102573,33.639986,,,
,25,,,0,,,,-112.08763,33.640089,,,
,26,,,0,,,,-112.072485,33.640193,,,
,27,,,0,,,,-112.059965,33.640279,,,
,28,,,0,,,,-112.046435,33.640372,,,
,29,,,0,,,,-112.038842,33.646568,,,
,30,,,0,,,,-112.188587,33.654193,,,
,31,,,0,,,,-112.161528,33.654379,,,
,32,,,0,,,,-112.136488,33.654552,,,
,33,,,0,,,,-112.115041,33.654688,,,
,34,,,0,,,,-112.063388,33.655056,,,
,35,,,0,,,,-112.08863,33.654882,,,
,36,,,0,,,,-112.16888,33.660658,,,
,37,,,0,,,,-112.168717,33.648093,,,
,38,,,0,,,,-112.117523,33.662469,,,
,39,,,0,,,,-112.115354,33.646833,,,
,40,,,0,,,,-112.094357,33.660427,,,
,41,,,0,,,,-112.099647,33.647918,,,
,42,,,42,,,,-112.119622,33.671412,,,
,43,,,43,,,,-112.116949,33.634858,,,
,44,,,0,,,,-112.005727,33.668752,,,
,45,,,0,,,,-111.96373,33.667623,,,
,46,,,0,,,,-111.932894,33.66277,,,
,47,,,0,,,,-112.00247,33.654895,,,
,48,,,0,,,,-111.964208,33.653639,,,
,49,,,0,,,,-111.929702,33.653978,,,
,50,,,0,,,,-112.001827,33.639197,,,
