[PROCESS INFO] Step 0: reading section scenarios
[STATUS INFO] scenario_index=0,scenario_name=,2025
[STATUS INFO] scenario_index=1,scenario_name=,2040
[PROCESS INFO] Step 1.1: Reading section demand_period ...
,demand_period= 3, pm,time_period=1500_1700, 900-> 1020
[PROCESS INFO] Step 1.2: Reading section mode_type...
mode_type =, auto, real time info flag = 0
link_type =, 1, link_type_name = motorway
,mode_type= auto,cap= 2000,free_speed=60
link_type =, 2, link_type_name = motorway
,mode_type= auto,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 2
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv 
,# of nodes = ,6
,# of links =,4
,# of zones =,2
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,6
,# of links =,4
,# of zones =,2
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,motorway,2,96.54,155.366,32.18,8000,4000,16090,
,,2,motorway,2,96.54,155.366,48.27,6000,3000,24135,
,,-1,,,,1,motorway,,,2,motorway,[PROCESS INFO] Step 2.1: read demand, defined in demand_files section.
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 0
,summary by multi-modal and demand types,demand_period,mode_type,total demmand volume in scenario 0, # of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,pm,auto,33604.2,4,96.54,155.366,80.45,14000,3500,20112.5,
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,24003
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,1,2,3,3,auto,pm,24000
,,2,2,1,3,3,auto,pm,3
[PROCESS INFO]Step 4: Column Generation for Traffic Assignment
,Total number of column generation iterations =, 100
,Total number of column generation iterations =, 100
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0,24003,0,0
1,0,24003,359.955,1700
2,0,24003,279.489,831.747
3,0,24003,303.44,52.4649
4,0,24003,279.489,46.7819
5,0,24003,359.955,80.8609
6,0,24003,279.489,0
7,0,24003,350.365,76.0421
8,0,24003,336.922,0
9,0,24003,329.531,10.3827
10,0,24003,359.955,17.9442
11,0,24003,317.933,0
12,0,24003,359.955,27.2311
13,0,24003,310.609,0
14,0,24003,350.365,30.5808
15,0,24003,359.955,4.89066
16,0,24003,338.239,0
17,0,24003,359.955,12.0138
18,0,24003,329.531,0
19,0,24003,359.955,17.9442
20,0,24003,322.999,0
21,0,24003,350.365,19.6754
22,0,24003,359.955,4.89066
23,0,24003,341.817,0
24,0,24003,359.955,9.78793
25,0,24003,335.033,0
26,0,24003,358.369,13.6052
27,0,24003,359.955,0.769605
28,0,24003,350.365,0
29,0,24003,359.955,4.89066
30,0,24003,343.765,0
31,0,24003,359.955,8.62187
32,0,24003,338.239,0
33,0,24003,356.636,10.9808
34,0,24003,359.955,1.62776
35,0,24003,350.365,0
36,0,24003,359.955,4.89066
37,0,24003,344.99,0
38,0,24003,359.955,7.90425
39,0,24003,340.337,0
40,0,24003,355.519,9.3307
41,0,24003,359.955,2.19012
42,0,24003,350.365,0
43,0,24003,359.955,4.89066
44,0,24003,345.831,0
45,0,24003,359.652,7.32785
46,0,24003,359.955,0.145681
47,0,24003,354.74,0
48,0,24003,359.955,2.58714
49,0,24003,350.365,0
50,0,24003,359.955,4.89066
51,0,24003,346.445,0
52,0,24003,358.369,6.59534
53,0,24003,359.955,0.769605
54,0,24003,354.166,0
55,0,24003,359.955,2.88238
56,0,24003,350.365,0
57,0,24003,359.955,4.89067
58,0.001,24003,346.912,0
59,0,24003,357.397,6.04267
60,0,24003,359.955,1.24853
61,0,24003,353.725,0
62,0,24003,359.955,3.11056
63,0,24003,350.365,0
64,0,24003,359.955,4.89066
65,0,24003,347.28,0
66,0,24003,356.636,5.61089
67,0,24003,359.955,1.62776
68,0,24003,353.375,0
69,0,24003,359.955,3.29218
70,0,24003,350.365,0
71,0,24003,359.181,4.6652
72,0.001,24003,359.955,0.373632
73,0,24003,356.023,0
74,0,24003,359.955,1.93544
75,0,24003,353.092,0
76,0,24003,359.955,3.44017
77,0,24003,350.365,0
78,0,24003,358.369,4.42851
79,0,24003,359.955,0.769601
80,0,24003,355.519,0
81,0,24003,359.955,2.19012
82,0,24003,352.857,0
83,0,24003,359.955,3.56307
84,0,24003,350.365,0
85,0,24003,357.694,4.23172
86,0,24003,359.955,1.10177
87,0,24003,355.098,0
88,0,24003,359.955,2.40438
89,0,24003,352.659,0
90,0,24003,359.652,3.57963
91,0,24003,359.955,0.145681
92,0,24003,357.123,0
93,0,24003,359.955,1.38438
94,0,24003,354.74,0
95,0,24003,359.955,2.58714
96,0,24003,352.491,0
97,0,24003,358.963,3.46954
98,0,24003,359.955,0.479606
99,0,24003,356.636,0
[PROCESS INFO] Step 5: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,40
column updating
[DATA INFO] column updating: iteration = 0, avg travel time = 360(min), optimization obj = 0, Relative_gap = 0 %
[PROCESS INFO] Step 7: perform sensitivity analysis if section dynamic_traffic_management is provided for dtm_type = lane_closure or dms. 
Sensitivity analysis stage
,Iteration,Avg Travel Time(min)
0,359.955,
column updating
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.yml. 
[PROCESS INFO] Step 9: Collecting statistics, Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,580800,VKT=,934507
,VHT=,144000
,network vehicle speed (MPH) =,4.03333,,network vehicle speed (KPH) =,6.48963
,PMT=,638880,PKT=,1.02796e+06
,PHT=,158400
,network person speed (MPH) =,4.03333,,network person speed (KPH) =,6.48963
,simple avg link volume=,12000
,simple avg link speed=,6.70417
,simple avg link speed ratio=,0.0694444
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0,9601.2,0,0
1,0,9601.2,87.9608,339.859
2,0,9601.2,38.1955,27.3342
3,0,9601.2,34.341,34.9281
4,0,9601.2,38.8271,14.3326
5,0,9601.2,34.2509,8.34711
6,0,9601.2,34.341,14.3665
7,0,9601.2,36.3213,6.95384
8,0,9601.2,33.9007,3.50415
9,0,9601.2,34.341,9.59336
10,0,9601.2,35.5648,4.72621
11,0,9601.2,33.8972,1.64958
12,0,9601.2,34.341,7.33926
13,0,9601.2,35.215,3.69628
14,0,9601.2,33.9374,0.691839
