name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length_ml,length,lanes,original_capacity,free_speed_mph,free_speed,capacity,link_type,cost,VDF_fftt,VDF_alpha,VDF_beta,VDF_plf
,1,1,2,freeway,1,6,10854,10,25900.20064,60,96.54,2500,1,0,6,0.15,4,0.965243488
,2,1,3,freeway,1,4,7236,9,23403.47319,60,96.54,2500,1,0,4,0.15,4,0.961395765
,3,2,1,freeway,1,6,10854,10,25900.20064,60,96.54,2500,1,0,6,0.15,4,0.965243488
,4,2,6,freeway,1,5,9045,1,4958.180928,60,96.54,2500,1,0,5,0.15,4,0.504217179
,5,3,1,freeway,1,4,7236,9,23403.47319,60,96.54,2500,1,0,4,0.15,4,0.961395765
,6,3,4,freeway,1,4,7236,6,17110.52372,60,96.54,2500,1,0,4,0.15,4,0.87665347
,7,3,12,freeway,1,4,7236,9,23403.47319,60,96.54,2500,1,0,4,0.15,4,0.961395765
,8,4,3,freeway,1,4,7236,6,17110.52372,60,96.54,2500,1,0,4,0.15,4,0.87665347
,9,4,5,freeway,1,2,3618,7,17782.7941,60,96.54,2500,1,0,2,0.15,4,0.984097319
,10,4,11,freeway,1,6,10854,1,4908.82673,60,96.54,2500,1,0,6,0.15,4,0.509286666
,11,5,4,freeway,1,2,3618,7,17782.7941,60,96.54,2500,1,0,2,0.15,4,0.984097319
,12,5,6,freeway,1,4,7236,1,4947.995469,60,96.54,2500,1,0,4,0.15,4,0.505255111
,13,5,9,freeway,1,5,9045,4,10000,60,96.54,2500,1,0,5,0.15,4,1
,14,6,2,freeway,1,5,9045,1,4958.180928,60,96.54,2500,1,0,5,0.15,4,0.504217179
,15,6,5,freeway,1,4,7236,1,4947.995469,60,96.54,2500,1,0,4,0.15,4,0.505255111
,16,6,8,freeway,1,2,3618,1,4898.587646,60,96.54,2500,1,0,2,0.15,4,0.510351183
,17,7,8,freeway,1,3,5427,3,7841.81131,60,96.54,2500,1,0,3,0.15,4,0.956411689
,18,7,18,freeway,1,2,3618,9,23403.47319,60,96.54,2500,1,0,2,0.15,4,0.961395765
,19,8,6,freeway,1,2,3618,1,4898.587646,60,96.54,2500,1,0,2,0.15,4,0.510351183
,20,8,7,freeway,1,3,5427,3,7841.81131,60,96.54,2500,1,0,3,0.15,4,0.956411689
,21,8,9,freeway,1,10,18090,2,5050.193156,60,96.54,2500,1,0,10,0.15,4,0.990061141
,22,8,16,freeway,1,5,9045,2,5045.822583,60,96.54,2500,1,0,5,0.15,4,0.990918709
,23,9,5,freeway,1,5,9045,4,10000,60,96.54,2500,1,0,5,0.15,4,1
,24,9,8,freeway,1,10,18090,2,5050.193156,60,96.54,2500,1,0,10,0.15,4,0.990061141
,25,9,10,freeway,1,3,5427,5,13915.78842,60,96.54,2500,1,0,3,0.15,4,0.89826028
,26,10,9,freeway,1,3,5427,5,13915.78842,60,96.54,2500,1,0,3,0.15,4,0.89826028
,27,10,11,freeway,1,5,9045,4,10000,60,96.54,2500,1,0,5,0.15,4,1
,28,10,15,freeway,1,6,10854,5,13512.00155,60,96.54,2500,1,0,6,0.15,4,0.925103505
,29,10,16,freeway,1,4,7236,1,4854.917717,60,96.54,2500,1,0,4,0.15,4,0.514941786
,30,10,17,freeway,1,8,14472,1,4993.510694,60,96.54,2500,1,0,8,0.15,4,0.500649774
,31,11,4,freeway,1,6,10854,1,4908.82673,60,96.54,2500,1,0,6,0.15,4,0.509286666
,32,11,10,freeway,1,5,9045,4,10000,60,96.54,2500,1,0,5,0.15,4,1
,33,11,12,freeway,1,6,10854,1,4908.82673,60,96.54,2500,1,0,6,0.15,4,0.509286666
,34,11,14,freeway,1,4,7236,1,4876.508287,60,96.54,2500,1,0,4,0.15,4,0.512661899
,35,12,3,freeway,1,4,7236,9,23403.47319,60,96.54,2500,1,0,4,0.15,4,0.961395765
,36,12,11,freeway,1,6,10854,1,4908.82673,60,96.54,2500,1,0,6,0.15,4,0.509286666
,37,12,13,freeway,1,3,5427,10,25900.20064,60,96.54,2500,1,0,3,0.15,4,0.965243488
