zone_id,activity_nodes,x_coord,y_coord,geometry,production,attraction,bin_index
1,1,,,,8800,8800,1
2,2,,,,4000,4000,0
3,3,,,,2800,2800,0
4,4,,,,11600,11600,2
5,5,,,,6100,6100,1
6,6,,,,7600,7600,1
7,7,,,,12100,12100,2
8,8,,,,16700,16700,3
9,9,,,,16200,16200,3
10,10,,,,45200,45200,9
11,11,,,,22300,22300,4
12,12,,,,13900,13900,2
13,13,,,,14600,14600,2
14,14,,,,14100,14100,2
15,15,,,,21400,21400,4
16,16,,,,26100,26100,5
17,17,,,,23400,23400,4
18,18,,,,4800,4800,0
19,19,,,,12800,12800,2
20,20,,,,18500,18500,3
21,21,,,,11000,11000,2
22,22,,,,24400,24400,4
23,23,,,,14500,14500,2
,,,,,7700,7700,1
