[PROCESS INFO] Step 0: reading scenario_index_list.csv
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[PROCESS INFO] Step 1.1: Reading demand_period.csv...
,demand_period= 1, am,time_period=0700_0800
[PROCESS INFO] Step 1.2: Reading file mode_type.csv...
mode_type =, auto, real time info flag = 0
link_type =, 1, link_type_name = motorway
,mode_type= auto,cap= 2000,free_speed=120
link_type =, 2, link_type_name = trunk
,mode_type= auto,cap= 1800,free_speed=100
link_type =, 3, link_type_name = primary
,mode_type= auto,cap= 1500,free_speed=80
link_type =, 4, link_type_name = residential
,mode_type= auto,cap= 1000,free_speed=30
link_type =, 5, link_type_name = secondary
,mode_type= auto,cap= 1400,free_speed=60
link_type =, 6, link_type_name = tertiary
,mode_type= auto,cap= 1300,free_speed=50
link_type =, 7, link_type_name = unclassified
,mode_type= auto,cap= 1200,free_speed=40
link_type =, 9, link_type_name = collector
,mode_type= auto,cap= 1200,free_speed=50
link_type =, 10, link_type_name = connector
,mode_type= auto,cap= 15000,free_speed=60
link_type =, 100, link_type_name = shared_use
,mode_type= auto,cap= 200,free_speed=20
link_type =, 200, link_type_name = bikeonly
,mode_type= auto,cap= 200,free_speed=5
link_type =, 300, link_type_name = walkonly
,mode_type= auto,cap= 300,free_speed=25
, number of activity nodes defined in node.csv=, 41
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,190
,# of links =,378
,# of zones =,41
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,190
,# of links =,378
,# of zones =,41
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,motorway,264,51.1907,82.3832,159.822,317242,731.523,605.385,
,,2,trunk,0,0,0,0,0,0,0,
,,3,primary,0,0,0,0,0,0,0,
,,4,residential,0,0,0,0,0,0,0,
,,5,secondary,0,0,0,0,0,0,0,
,,6,tertiary,0,0,0,0,0,0,0,
,,7,unclassified,0,0,0,0,0,0,0,
,,9,collector,0,0,0,0,0,0,0,
,,10,connector,0,0,0,0,0,0,0,
,,99,,114,33.6123,54.0936,348.081,7.98e+06,10000,3053.34,
,,100,shared_use,0,0,0,0,0,0,0,
,,200,bikeonly,0,0,0,0,0,0,0,
,,300,walkonly,0,0,0,0,0,0,0,
,,-1,,,,1,motorway,,,2,trunk,,,3,primary,,,4,residential,,,5,secondary,,,6,tertiary,,,7,unclassified,,,9,collector,,,10,connector,,,99,,,,100,shared_use,,,200,bikeonly,,,300,walkonly,pre-read demand_file_list.csv.
,first stage scanning
,# of inside zones = 6, total_related_demand = 16444.7
,# inside_zone_count = 6, total_related_demand_from_internal zones = 2891
,# related_external_zone_count = 35, external related demand = 13553.7
,# related_external_zone_count_with_significant_volume = 32
 During the second stage of cut off, the cut off zone includes all inside zones along with significant external related zones.
,# cut off zone size = 41, total_related_demand_from_external_cutoff  = 0
,cut off volume threshold to determine significance = 0.External origin zones with a volume larger than this threshold will be retained.
, remaining external related demand percentage after the cut off  = 0 %
[PROCESS INFO] Step 2.1: read demand, defined in demand_file_list.csv.
[STATUS INFO] reading demand file for scenario index = 0
,summary by multi-modal and demand types,demand_period,mode_type,total demmand volume in scenario 0, # of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,24022.5,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,1.48009,0.398673
1,0,0,0,0
2,708.354,0,18269.7,3075.76
3,0,0,2366.83,310.255
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,3,11,2,2,auto,am,271.181
,,2,3,41,2,2,auto,am,268.533
,,3,3,24,2,3,auto,am,204.031
,,4,3,9,2,2,auto,am,203.196
,,5,1,11,2,2,auto,am,179.586
,,6,1,41,2,2,auto,am,177.832
,,7,3,14,2,2,auto,am,168.779
,,8,3,21,2,2,auto,am,155.715
,,9,3,13,2,2,auto,am,137.576
,,10,3,34,2,3,auto,am,137.349
,,11,17,11,2,2,auto,am,136.33
,,12,1,24,2,3,auto,am,135.117
,,13,17,41,2,2,auto,am,134.999
,,14,1,9,2,2,auto,am,134.564
,,15,2,11,2,2,auto,am,134.481
,,16,2,41,2,2,auto,am,133.168
,,17,6,11,2,2,auto,am,124.314
,,18,6,41,2,2,auto,am,123.101
,,19,1,14,2,2,auto,am,111.771
,,20,1,21,2,2,auto,am,103.12
,,21,17,24,2,3,auto,am,102.572
,,22,34,11,3,2,auto,am,102.409
,,23,17,9,2,2,auto,am,102.152
,,24,34,41,3,2,auto,am,101.409
,,25,2,24,2,3,auto,am,101.181
,,26,2,9,2,2,auto,am,100.767
,,27,31,11,2,2,auto,am,95.477
,,28,31,41,2,2,auto,am,94.5449
,,29,6,24,2,3,auto,am,93.5317
,,30,5,11,2,2,auto,am,93.2588
,,31,6,9,2,2,auto,am,93.149
,,32,5,41,2,2,auto,am,92.3483
,,33,37,11,2,2,auto,am,91.9648
,,34,1,13,2,2,auto,am,91.1077
,,35,37,41,2,2,auto,am,91.0669
,,36,1,34,2,3,auto,am,90.9574
,,37,41,11,2,2,auto,am,87.5283
,,38,11,41,2,2,auto,am,87.406
,,39,7,11,2,2,auto,am,87.251
,,40,7,41,2,2,auto,am,86.3992
,,41,17,14,2,2,auto,am,84.8496
,,42,2,14,2,2,auto,am,83.6991
,,43,3,31,2,2,auto,am,83.5875
,,44,27,11,2,2,auto,am,83.5539
,,45,27,41,2,2,auto,am,82.7382
,,46,32,11,2,2,auto,am,80.7811
,,47,32,41,2,2,auto,am,79.9925
,,48,3,16,2,2,auto,am,78.9525
,,49,17,21,2,2,auto,am,78.2822
,,50,3,19,2,2,auto,am,78.0618
,,51,6,14,2,2,auto,am,77.3713
,,52,2,21,2,2,auto,am,77.2207
,,53,34,24,3,3,auto,am,77.0507
,,54,34,9,3,2,auto,am,76.7354
,,55,18,11,2,2,auto,am,72.093
,,56,31,24,2,3,auto,am,71.8351
,,57,31,9,2,2,auto,am,71.5412
,,58,18,41,2,2,auto,am,71.3892
,,59,6,21,2,2,auto,am,71.3827
,,60,5,24,2,3,auto,am,70.1662
,,61,5,9,2,2,auto,am,69.879
,,62,37,24,2,3,auto,am,69.1926
,,63,17,13,2,2,auto,am,69.1631
,,64,17,34,2,3,auto,am,69.049
,,65,37,9,2,2,auto,am,68.9095
,,66,2,13,2,2,auto,am,68.2253
,,67,2,34,2,3,auto,am,68.1127
,,68,11,24,2,3,auto,am,66.411
,,69,9,11,2,2,auto,am,66.1777
,,70,11,9,2,2,auto,am,66.1392
,,71,41,24,2,3,auto,am,65.8547
,,72,7,24,2,3,auto,am,65.646
,,73,41,9,2,2,auto,am,65.5852
,,74,9,41,2,2,auto,am,65.5316
,,75,7,9,2,2,auto,am,65.3774
,,76,34,14,3,2,auto,am,63.7378
,,77,3,37,2,2,auto,am,63.6783
,,78,3,15,2,2,auto,am,63.2566
,,79,6,13,2,2,auto,am,63.0674
,,80,6,34,2,3,auto,am,62.9633
,,81,27,24,2,3,auto,am,62.8644
,,82,27,9,2,2,auto,am,62.6072
,,83,3,28,2,2,auto,am,62.537
,,84,3,17,2,2,auto,am,61.5763
,,85,1,3,2,2,auto,am,61.2394
,,86,3,1,2,2,auto,am,61.1764
,,87,32,24,2,3,auto,am,60.7782
,,88,32,9,2,2,auto,am,60.5295
,,89,3,18,2,2,auto,am,59.9519
,,90,31,14,2,2,auto,am,59.4235
,,91,34,21,3,2,auto,am,58.8045
,,92,12,11,3,2,auto,am,58.5062
,,93,3,20,2,2,auto,am,58.144
