first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,1,info,am7,auto,1500,45000,27967.7,157711,30,18.6451,105.141,1;,"POLYGON ((0 -0.1,))"
,1,info,am7,info,1500,84024.2,52221.4,98991.6,56.0162,34.8143,65.9944,1;,"POLYGON ((0 -0.1,))"
,1,info,am8,auto,1500,45000,27967.7,45421.9,30,18.6451,30.2812,1;,"POLYGON ((0 -0.1,))"
,1,info,am8,info,1500,45000,27967.7,45421.9,30,18.6451,30.2812,1;,"POLYGON ((0 -0.1,))"
,1,info,am9,auto,1500,45000,27967.7,45421.9,30,18.6451,30.2812,1;,"POLYGON ((0 -0.1,))"
,1,info,am9,info,1500,45000,27967.7,45421.9,30,18.6451,30.2812,1;,"POLYGON ((0 -0.1,))"
,1,info,am10,auto,1500,45000,27967.7,45421.9,30,18.6451,30.2812,1;,"POLYGON ((0 -0.1,))"
,1,info,am10,info,1500,45000,27967.7,45421.9,30,18.6451,30.2812,1;,"POLYGON ((0 -0.1,))"
,2,info,am7,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am7,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am8,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am8,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am9,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am9,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am10,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,info,am10,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
