link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,lanes_p1_s0_auto,lanes_p2_s0_auto,lanes_p3_s0_auto,VOL_p1_s0_auto,VOL_p2_s0_auto,VOL_p3_s0_auto,MEU_p1_s0_auto,MEU_p2_s0_auto,MEU_p3_s0_auto,CAP_p1_s0_auto,CAP_p2_s0_auto,CAP_p3_s0_auto,PEN_p1_s0_auto,PEN_p2_s0_auto,PEN_p3_s0_auto,DOC_p1_s0_auto,DOC_p2_s0_auto,DOC_p3_s0_auto,TT_p1_s0_auto,TT_p2_s0_auto,TT_p3_s0_auto,CO2_p1_s0_auto,CO2_p2_s0_auto,CO2_p3_s0_auto,NOX_p1_s0_auto,NOX_p2_s0_auto,NOX_p3_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_md_25nb_auto,MEU_md_25nb_auto,CAP_md_25nb_auto,PEN_md_25nb_auto,DOC_md_25nb_auto,TT_md_25nb_auto,CO2_md_25nb_auto,NOX_md_25nb_auto,VOL_pm_25nb_auto,MEU_pm_25nb_auto,CAP_pm_25nb_auto,PEN_pm_25nb_auto,DOC_pm_25nb_auto,TT_pm_25nb_auto,CO2_pm_25nb_auto,NOX_pm_25nb_auto,
1,1,motorway,1,2,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6.000000,3.729024,6.000000,60.000000,-60.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,4683.8,3063.0,11392.4,4683.8,3063.0,11392.4,25900.2,25900.2,25900.2,0.0,0.0,0.0,0.2,0.1,0.4,6.0,6.0,6.0,584123.7,382001.6,1419271.2,155.5,101.7,376.9,4683.8,4683.8,25900.201,0.000,0.181,6.001,584123.709,155.535,3063.0,3063.0,25900.201,0.000,0.118,6.000,382001.630,101.723,11392.4,11392.4,25900.201,0.000,0.440,6.034,1419271.164,376.886,
2,2,motorway,1,3,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",4.000000,2.486016,4.000000,60.000000,-60.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8304.3,5577.0,16820.5,8304.3,5577.0,16820.5,23403.5,23403.5,23403.5,0.0,0.0,0.0,0.4,0.2,0.7,4.0,4.0,4.2,690128.7,463650.1,1389690.3,183.6,123.4,362.9,8304.3,8304.3,23403.473,0.000,0.355,4.010,690128.685,183.558,5577.0,5577.0,23403.473,0.000,0.238,4.002,463650.118,123.437,16820.5,16820.5,23403.473,0.000,0.719,4.160,1389690.265,362.900,
3,3,motorway,2,1,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6.000000,3.729024,6.000000,60.000000,-60.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,4704.3,3057.7,11420.5,4704.3,3057.7,11420.5,25900.2,25900.2,25900.2,0.0,0.0,0.0,0.2,0.1,0.4,6.0,6.0,6.0,586681.3,381339.9,1422753.0,156.2,101.5,377.8,4704.3,4704.3,25900.201,0.000,0.182,6.001,586681.314,156.216,3057.7,3057.7,25900.201,0.000,0.118,6.000,381339.918,101.547,11420.5,11420.5,25900.201,0.000,0.441,6.034,1422753.032,377.800,
4,4,motorway,2,6,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5.000000,3.107520,5.000000,60.000000,-60.000000,4958.180928,2958.180928,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,5954.0,4503.0,9892.4,5954.0,4503.0,9892.4,4958.2,4958.2,4958.2,0.0,0.0,0.0,1.2,0.9,2.0,6.6,5.5,16.9,620299.1,462960.2,1613316.6,144.4,117.5,238.3,5954.0,5954.0,4958.181,0.000,1.201,6.560,620299.117,144.443,4503.0,4503.0,4958.181,0.000,0.908,5.510,462960.202,117.480,9892.4,9892.4,4958.181,0.000,1.995,16.884,1613316.644,238.286,
5,5,motorway,3,1,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",4.000000,2.486016,4.000000,60.000000,-60.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,8283.8,5582.3,16792.4,8283.8,5582.3,16792.4,23403.5,23403.5,23403.5,0.0,0.0,0.0,0.4,0.2,0.7,4.0,4.0,4.2,688427.4,464091.0,1387416.0,183.1,123.6,362.4,8283.8,8283.8,23403.473,0.000,0.354,4.009,688427.350,183.108,5582.3,5582.3,23403.473,0.000,0.239,4.002,464091.040,123.554,16792.4,16792.4,23403.473,0.000,0.718,4.159,1387415.998,362.353,
6,6,motorway,3,4,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",4.000000,2.486016,4.000000,60.000000,-60.000000,17110.523720,15110.523720,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,14419.7,10171.9,26170.3,14419.7,10171.9,26170.3,17110.5,17110.5,17110.5,0.0,0.0,0.0,0.8,0.6,1.5,4.3,4.1,7.3,1187470.3,842898.2,2408389.0,305.0,222.4,476.8,14419.7,14419.7,17110.524,0.000,0.843,4.303,1187470.291,304.960,10171.9,10171.9,17110.524,0.000,0.594,4.075,842898.210,222.388,26170.3,26170.3,17110.524,0.000,1.529,7.283,2408388.994,476.822,
7,7,motorway,3,12,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4.000000,2.486016,4.000000,60.000000,-60.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,10442.1,6717.3,21381.9,10442.1,6717.3,21381.9,23403.5,23403.5,23403.5,0.0,0.0,0.0,0.4,0.3,0.9,4.0,4.0,4.4,867200.1,558386.2,1758522.7,230.2,148.6,445.7,10442.1,10442.1,23403.473,0.000,0.446,4.024,867200.082,230.246,6717.3,6717.3,23403.473,0.000,0.287,4.004,558386.186,148.619,21381.9,21381.9,23403.473,0.000,0.914,4.418,1758522.679,445.748,
8,8,motorway,4,3,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",4.000000,2.486016,4.000000,60.000000,-60.000000,17110.523720,15110.523720,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,14467.5,10219.6,26161.4,14467.5,10219.6,26161.4,17110.5,17110.5,17110.5,0.0,0.0,0.0,0.8,0.6,1.5,4.3,4.1,7.3,1191331.8,846797.5,2406959.1,305.8,223.4,476.7,14467.5,14467.5,17110.524,0.000,0.846,4.307,1191331.846,305.810,10219.6,10219.6,17110.524,0.000,0.597,4.076,846797.472,223.378,26161.4,26161.4,17110.524,0.000,1.529,7.279,2406959.138,476.683,
9,9,motorway,4,5,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",2.000000,1.243008,2.000000,60.000000,-60.000000,17782.794100,15782.794100,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,18413.1,13362.2,28163.9,18413.1,13362.2,28163.9,17782.8,17782.8,17782.8,0.0,0.0,0.0,1.0,0.8,1.6,2.3,2.1,3.9,757682.7,551498.4,1333211.5,186.5,143.5,255.6,18413.1,18413.1,17782.794,0.000,1.035,2.345,757682.698,186.488,13362.2,13362.2,17782.794,0.000,0.751,2.096,551498.410,143.484,28163.9,28163.9,17782.794,0.000,1.584,3.888,1333211.479,255.584,
10,10,motorway,4,11,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6.000000,3.729024,6.000000,60.000000,-60.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,1,1.0,motorway,1.0,1.0,1.0,5173.2,4153.0,9217.6,5173.2,4153.0,9217.6,4908.8,4908.8,4908.8,0.0,0.0,0.0,1.1,0.8,1.9,7.1,6.5,17.2,638998.2,512968.4,1618614.0,156.5,131.7,257.6,5173.2,5173.2,4908.827,0.000,1.054,7.110,638998.175,156.451,4153.0,4153.0,4908.827,0.000,0.846,6.461,512968.441,131.666,9217.6,9217.6,4908.827,0.000,1.878,17.189,1618614.037,257.555,
