link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,MEU_vol_auto,mode_cap_auto,mode_VOC_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,4683.782,5083.214,-399.432,,6:3321;,0.000,0.000,0.000,,,,0.000,4683.782,6.001,59.990,37.284,1.000,0.181,0.181,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4683.782,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.968,51.000,17465.936,468.453,17465.936,468.453,0.075,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",4683.782,4683.782,0.181,0.181,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.941,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4683.782,4683.782,0.000,59.990,0.000,-59.990,0.181,0.000,-0.181,0.001,0.000,-0.001,period-based
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,1200_1300,3062.991,-1.000,0.000,,6:2182;,0.000,0.000,0.000,,,,0.000,3062.991,6.000,59.998,37.289,1.000,0.118,0.118,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,3062.991,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.994,51.000,11421.967,306.308,11421.967,306.308,0.009,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",3062.991,3062.991,0.118,0.118,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.941,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3062.991,3062.991,0.000,59.998,0.000,-59.998,0.118,0.000,-0.118,0.000,0.000,-0.000,period-based
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,1600_1700,11392.388,-1.000,0.000,,6:7642;,0.000,0.000,0.000,,,,0.000,11392.388,6.034,59.665,37.082,0.994,0.440,0.440,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,11392.388,0.955,1.142,0.036,0.000,60.000,51.000,0.400,4.000,58.903,51.000,42482.488,1145.635,42482.488,1145.635,6.397,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",11392.388,11392.388,0.440,0.440,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.941,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,11392.388,11392.388,0.000,59.665,0.000,-59.665,0.440,0.000,-0.440,0.036,0.000,-0.036,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,8304.292,8782.614,-478.322,,4:5267;12:2660;,0.000,0.000,0.000,,,,0.000,8304.292,4.010,59.858,37.202,0.998,0.355,0.355,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,8304.292,0.955,1.142,0.015,0.000,60.000,51.000,0.400,4.000,59.531,51.000,20644.604,554.936,20644.604,554.936,1.316,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",8304.292,8304.292,0.355,0.355,60.000,60.000,60.000,60.000,59.946,59.961,59.976,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.993,59.995,59.997,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.618,59.722,59.826,59.931,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8304.292,8304.292,0.000,59.858,0.000,-59.858,0.355,0.000,-0.355,0.015,0.000,-0.015,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,1200_1300,5577.009,-1.000,0.000,,4:3817;12:1600;,0.000,0.000,0.000,,,,0.000,5577.009,4.002,59.971,37.272,1.000,0.238,0.238,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,5577.009,0.955,1.142,0.003,0.000,60.000,51.000,0.400,4.000,59.904,51.000,13864.535,371.980,13864.535,371.980,0.180,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",5577.009,5577.009,0.238,0.238,60.000,60.000,60.000,60.000,59.946,59.961,59.976,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.993,59.995,59.997,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.618,59.722,59.826,59.931,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5577.009,5577.009,0.000,59.971,0.000,-59.971,0.238,0.000,-0.238,0.003,0.000,-0.003,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,1,1,,,1600_1700,16820.455,-1.000,0.000,,4:9450;12:6366;,0.000,0.000,0.000,,,,0.000,16820.455,4.160,57.691,35.855,0.962,0.719,0.719,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,16820.455,0.955,1.142,0.255,0.000,60.000,51.000,0.400,4.000,52.969,50.914,41815.922,1166.245,41815.922,1166.245,44.882,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",16820.455,16820.455,0.719,0.719,60.000,60.000,60.000,60.000,59.946,59.961,59.976,59.990,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.993,59.995,59.997,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.618,59.722,59.826,59.931,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,16820.455,16820.455,0.000,57.691,0.000,-57.691,0.719,0.000,-0.719,0.255,0.000,-0.255,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,4704.292,5182.613,-478.321,,3:2104;,0.000,0.000,0.000,,,,0.000,4704.292,6.001,59.990,37.284,1.000,0.182,0.182,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,4704.292,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.968,51.000,17542.420,470.506,17542.420,470.506,0.077,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",4704.292,4704.292,0.182,0.182,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4704.292,4704.292,0.000,59.990,0.000,-59.990,0.182,0.000,-0.182,0.001,0.000,-0.001,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,1200_1300,3057.685,-1.000,0.000,,3:800;,0.000,0.000,0.000,,,,0.000,3057.685,6.000,59.998,37.289,1.000,0.118,0.118,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,3057.685,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.994,51.000,11402.181,305.777,11402.181,305.777,0.009,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",3057.685,3057.685,0.118,0.118,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,3057.685,3057.685,0.000,59.998,0.000,-59.998,0.118,0.000,-0.118,0.000,0.000,-0.000,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,1,1,,,1600_1700,11420.455,-1.000,0.000,,3:7520;,0.000,0.000,0.000,,,,0.000,11420.455,6.034,59.662,37.080,0.994,0.441,0.441,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,11420.455,0.955,1.142,0.036,0.000,60.000,51.000,0.400,4.000,58.892,51.000,42587.152,1148.521,42587.152,1148.521,6.476,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",11420.455,11420.455,0.441,0.441,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.940,59.957,59.973,59.989,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,11420.455,11420.455,0.000,59.662,0.000,-59.662,0.441,0.000,-0.441,0.036,0.000,-0.036,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,5954.046,5483.214,470.832,,5:732;8:4308;,0.000,0.000,0.000,,,,0.000,5954.046,6.560,45.734,28.424,0.762,1.201,1.201,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,5954.047,0.955,1.142,1.177,0.000,60.000,51.000,0.400,4.000,32.537,28.855,18502.320,650.939,18502.320,650.939,154.768,67.209,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5954.047,5954.047,1.201,1.201,60.000,60.000,60.000,60.000,58.887,59.190,59.494,59.798,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.349,59.527,59.704,59.882,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,59.483,59.624,59.765,59.906,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5954.046,5954.046,0.000,45.734,0.000,-45.734,1.201,0.000,-1.201,1.177,0.000,-1.177,period-based
