name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry
,1,1,,,residential,0,-111.9176573,33.3340915,POINT (-111.9176573 33.3340915)
,2,2,,,residential,0,-111.9180435,33.3278453,POINT (-111.9180435 33.3278453)
,3,3,,turning_circle,residential,0,-111.9181293,33.3283975,POINT (-111.9181293 33.3283975)
,4,4,,,residential,0,-111.9370903,33.3247312,POINT (-111.9370903 33.3247312)
,5,5,,,residential,0,-111.9419776,33.406618,POINT (-111.9419776 33.406618)
,6,6,,,residential,0,-111.9396516,33.3346409,POINT (-111.9396516 33.3346409)
,7,7,,,residential,0,-111.9652898,33.4231118,POINT (-111.9652898 33.4231118)
,8,8,,,residential,0,-111.9393266,33.3362643,POINT (-111.9393266 33.3362643)
,9,9,,,residential,0,-111.9386313,33.3370316,POINT (-111.9386313 33.3370316)
,10,10,,,residential,0,-111.9383052,33.3379781,POINT (-111.9383052 33.3379781)
,11,11,,,residential,0,-111.9383138,33.3384442,POINT (-111.9383138 33.3384442)
,12,12,,,residential,0,-111.9405778,33.3832706,POINT (-111.9405778 33.3832706)
,13,,,,primary,0,-111.9530106,33.4219181,POINT (-111.9530106 33.4219181)
,14,,,,others,0,-111.9406278,33.3807355,POINT (-111.9406278 33.3807355)
,15,13,,,residential,0,-111.9412608,33.4219305,POINT (-111.9412608 33.4219305)
,16,,,,tertiary,0,-111.943057,33.4296693,POINT (-111.943057 33.4296693)
,17,14,,,residential,0,-111.9412375,33.4190521,POINT (-111.9412375 33.4190521)
,18,15,,,residential,0,-111.94123,33.4176195,POINT (-111.94123 33.4176195)
,19,16,,turning_circle,residential,0,-111.8958182,33.3866492,POINT (-111.8958182 33.3866492)
,20,17,,,residential,0,-111.941205,33.416204,POINT (-111.941205 33.416204)
,21,18,,,residential,0,-111.9411894,33.4147443,POINT (-111.9411894 33.4147443)
,22,,,,others,0,-111.8987373,33.4257009,POINT (-111.8987373 33.4257009)
,23,,,,others,0,-111.8970292,33.4256972,POINT (-111.8970292 33.4256972)
,24,,,,others,0,-111.8953229,33.4256944,POINT (-111.8953229 33.4256944)
,25,19,,,residential,0,-111.9387421,33.33164,POINT (-111.9387421 33.33164)
,26,,,,others,0,-111.8935719,33.4256916,POINT (-111.8935719 33.4256916)
,27,,,,others,0,-111.8919045,33.4256889,POINT (-111.8919045 33.4256889)
,28,20,,turning_circle,residential,0,-111.938391,33.3368595,POINT (-111.938391 33.3368595)
,29,21,,,residential,0,-111.890235,33.4257007,POINT (-111.890235 33.4257007)
,30,22,,,residential,0,-111.9390262,33.3637033,POINT (-111.9390262 33.3637033)
,31,23,,turning_circle,residential,0,-111.9373125,33.3992353,POINT (-111.9373125 33.3992353)
,32,24,,,residential,0,-111.9385127,33.3652275,POINT (-111.9385127 33.3652275)
,33,25,,,residential,0,-111.9296308,33.3973721,POINT (-111.9296308 33.3973721)
,34,26,,,residential,0,-111.9171232,33.4136285,POINT (-111.9171232 33.4136285)
,35,27,,,residential,0,-111.9287897,33.3963761,POINT (-111.9287897 33.3963761)
,36,28,,turning_circle,residential,0,-111.8960702,33.3812403,POINT (-111.8960702 33.3812403)
,37,29,,,residential,0,-111.9389855,33.3668305,POINT (-111.9389855 33.3668305)
,38,30,,,residential,0,-111.8962446,33.399874,POINT (-111.8962446 33.399874)
,39,31,,,residential,0,-111.9407739,33.4000976,POINT (-111.9407739 33.4000976)
,40,32,,,residential,0,-111.9107726,33.4135536,POINT (-111.9107726 33.4135536)
,41,33,,,residential,0,-111.9366724,33.4254992,POINT (-111.9366724 33.4254992)
,42,34,,,residential,0,-111.9405507,33.4010434,POINT (-111.9405507 33.4010434)
,43,35,,,residential,0,-111.8920134,33.3998648,POINT (-111.8920134 33.3998648)
,44,,,traffic_signals,tertiary,0,-111.9349278,33.4254396,POINT (-111.9349278 33.4254396)
,45,36,,,residential,0,-111.940585,33.4020179,POINT (-111.940585 33.4020179)
,46,37,,,residential,0,-111.8902111,33.3998402,POINT (-111.8902111 33.3998402)
,47,38,,,residential,0,-111.8888122,33.3998398,POINT (-111.8888122 33.3998398)
