link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,VOL_p1_s0_auto,MEU_p1_s0_auto,CAP_p1_s0_auto,PEN_p1_s0_auto,DOC_p1_s0_auto,TT_p1_s0_auto,CO2_p1_s0_auto,NOX_p1_s0_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,
1,1,motorway,1,2,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6.000000,3.729024,6.000000,60.000000,0.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,6751.4,6751.4,25900.2,0.0,0.2607,6.0,14027.0,3.7,6751.4,6751.4,25900.201,0.000,0.2607,6.014,14027.041,3.731,
2,2,motorway,1,3,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,10364.4,10364.4,23403.5,0.0,0.4429,4.1,14313.2,3.8,10364.4,10364.4,23403.473,0.000,0.4429,4.077,14313.162,3.776,
3,3,motorway,2,1,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6.000000,3.729024,6.000000,60.000000,0.000000,25900.200640,23900.200640,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,25900.2,1.0,6764.4,6764.4,25900.2,0.0,0.2612,6.0,14054.0,3.7,6764.4,6764.4,25900.201,0.000,0.2612,6.014,14054.012,3.738,
4,4,motorway,2,6,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5.000000,3.107520,5.000000,60.000000,0.000000,4958.180928,2958.180928,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4958.2,1.0,6198.1,6198.1,4958.2,0.0,1.2501,9.8,12272.7,2.3,6198.1,6198.1,4958.181,0.000,1.2501,9.802,12272.688,2.343,
5,5,motorway,3,1,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,10351.4,10351.4,23403.5,0.0,0.4423,4.1,14295.4,3.8,10351.4,10351.4,23403.473,0.000,0.4423,4.076,14295.419,3.771,
6,6,motorway,3,4,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",4.000000,2.486016,4.000000,60.000000,0.000000,17110.523720,15110.523720,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17110.5,1.0,16640.3,16640.3,17110.5,0.0,0.9725,5.8,23597.6,5.2,16640.3,16640.3,17110.524,0.000,0.9725,5.780,23597.631,5.239,
7,7,motorway,3,12,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4.000000,2.486016,4.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,12967.0,12967.0,23403.5,0.0,0.5541,4.2,17841.3,4.6,12967.0,12967.0,23403.473,0.000,0.5541,4.188,17841.337,4.644,
8,8,motorway,4,3,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",4.000000,2.486016,4.000000,60.000000,0.000000,17110.523720,15110.523720,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17110.5,1.0,16578.6,16578.6,17110.5,0.0,0.9689,5.8,23483.1,5.2,16578.6,16578.6,17110.524,0.000,0.9689,5.754,23483.064,5.225,
9,9,motorway,4,5,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",2.000000,1.243008,2.000000,60.000000,0.000000,17782.794100,15782.794100,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17782.8,1.0,18882.9,18882.9,17782.8,0.0,1.0619,3.2,13752.9,2.9,18882.9,18882.9,17782.794,0.000,1.0619,3.169,13752.873,2.917,
10,10,motorway,4,11,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6.000000,3.729024,6.000000,60.000000,0.000000,4908.826730,2908.826730,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4908.8,1.0,5602.8,5602.8,4908.8,0.0,1.1414,10.3,12605.0,2.6,5602.8,5602.8,4908.827,0.000,1.1414,10.328,12604.969,2.566,
11,11,motorway,5,4,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",2.000000,1.243008,2.000000,60.000000,0.000000,17782.794100,15782.794100,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,17782.8,1.0,18958.1,18958.1,17782.8,0.0,1.0661,3.2,13826.2,2.9,18958.1,18958.1,17782.794,0.000,1.0661,3.182,13826.206,2.926,
12,12,motorway,5,6,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)",4.000000,2.486016,4.000000,60.000000,0.000000,4947.995469,2947.995469,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4948.0,1.0,7339.4,7339.4,4948.0,0.0,1.4833,10.9,13899.4,2.3,7339.4,7339.4,4947.995,0.000,1.4833,10.922,13899.408,2.262,
13,13,motorway,5,9,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)",5.000000,3.107520,5.000000,60.000000,0.000000,10000.000000,8000.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,10000.0,1.0,16466.8,16466.8,10000.0,0.0,1.6467,17.7,46219.8,6.7,16466.8,16466.8,10000.000,0.000,1.6467,17.684,46219.775,6.689,
14,14,motorway,6,2,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)",5.000000,3.107520,5.000000,60.000000,0.000000,4958.180928,2958.180928,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4958.2,1.0,6211.1,6211.1,4958.2,0.0,1.2527,9.8,12317.4,2.3,6211.1,6211.1,4958.181,0.000,1.2527,9.835,12317.408,2.348,
15,15,motorway,6,5,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)",4.000000,2.486016,4.000000,60.000000,0.000000,4947.995469,2947.995469,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4948.0,1.0,7340.1,7340.1,4948.0,0.0,1.4834,10.9,13902.4,2.3,7340.1,7340.1,4947.995,0.000,1.4834,10.924,13902.450,2.262,
16,16,motorway,6,8,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)",2.000000,1.243008,2.000000,60.000000,0.000000,4898.587646,2898.587646,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,4898.6,1.0,12714.2,12714.2,4898.6,0.0,2.5955,31.5,50507.2,4.6,12714.2,12714.2,4898.588,0.000,2.5955,31.490,50507.171,4.629,
17,17,motorway,7,8,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)",3.000000,1.864512,3.000000,60.000000,0.000000,7841.811310,5841.811310,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,7841.8,1.0,12888.6,12888.6,7841.8,0.0,1.6436,10.6,21629.3,3.1,12888.6,12888.6,7841.811,0.000,1.6436,10.557,21629.329,3.137,
18,18,motorway,7,18,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)",2.000000,1.243008,2.000000,60.000000,0.000000,23403.473190,21403.473190,-1,,network_wide,-1,0,-1,-1,1.0,motorway,60.0,23403.5,1.0,16465.5,16465.5,23403.5,0.0,0.7035,2.2,11281.6,2.8,16465.5,16465.5,23403.473,0.000,0.7035,2.244,11281.586,2.838,
