first_column,route_seq_id,o_zone_id,d_zone_id,o_super_zone_index,d_super_zone_index,od_pair_key,information_type,mode_type,demand_period,volume,distance_km,distance_mile,travel_time,FFTT,co2,nox,OD_based_UE_relative_gap_compared_to_least_time_path_travel_time,path_based_UE_gap,path_based_relative_UE_gap,preload_volume_from_route_input_file,ODME_volume_before,ODME_volume_after,ODME_volume_diff,SIMU_volume,SIMU_travel_time,toll,number_of_nodes,node_sequence,link_id_sequence,geometry,link_special_flag_sequence,sequential_link_delay,sequential_link_FFTT,DTM_OD_impact,DTM_path_impact,DTM_#_of_lane_closure_links,lane_closure_link_vector,DTM_new_path_generated,DTM_volume_before,DTM_volume_after,DTM_volume_diff, DTM_TT_0,DTM_Vol_0,
0,1,1,2,0,1,1->2,0,auto,am,100.0000,6.0000,3.7290,6.0138,6.0000,2.077659,0.000553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,6.0138,0.0000,2,1;2;,1;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813)",,0.014;,6.000;,0,,,,,,,,,-1.000000,0.000000,
0,2,1,3,0,2,1->3,0,auto,am,100.0000,4.0000,2.4860,4.0765,4.0000,1.380996,0.000364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.0765,0.0000,2,1;3;,2;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962)",,0.077;,4.000;,0,,,,,,,,,-1.000000,0.000000,
0,3,1,4,0,3,1->4,0,auto,am,500.0000,8.0000,4.9720,9.8567,8.0000,2.799095,0.000679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,9.8567,0.0000,3,1;3;4;,2;6;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",,0.077;1.780;,4.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,4,1,5,0,4,1->5,0,auto,am,200.0000,10.0000,6.2150,13.0259,10.0000,3.527418,0.000834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,13.0259,0.0000,4,1;3;4;5;,2;6;9;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",,0.077;1.780;1.169;,4.000;4.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,5,1,6,0,5,1->6,0,auto,am,300.0000,11.0000,6.8365,15.8159,11.0000,4.057739,0.000931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,15.8159,0.0000,3,1;2;6;,1;4;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",,0.014;4.802;,6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,6,1,6,0,5,1->6,0,auto,am,0.0000,14.0000,8.7011,23.9481,14.0000,5.421227,0.001142,0.0000,8.1331,0.3396,0.0000,0.0000,0.0000,0.0000,0,23.9481,0.0000,5,1;3;4;5;6;,2;6;9;12;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586)",,0.077;1.780;1.169;6.922;,4.000;4.000;2.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,7,1,7,0,6,1->7,0,auto,am,500.0000,16.0000,9.9441,57.7643,16.0000,9.697371,0.001538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,57.7643,0.0000,5,1;2;6;8;7;,1;4;16;20;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,0.014;4.802;29.490;7.458;,6.000;5.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,8,1,7,0,6,1->7,0,auto,am,0.0000,19.0000,11.8086,65.8965,19.0000,11.060859,0.001749,0.0000,8.1331,0.1156,0.0000,0.0000,0.0000,0.0000,0,65.8965,0.0000,7,1;3;4;5;6;8;7;,2;6;9;12;16;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,0.077;1.780;1.169;6.922;29.490;7.458;,4.000;4.000;2.000;4.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,9,1,7,0,6,1->7,0,auto,am,0.0000,28.0000,17.4021,65.9058,28.0000,12.467158,0.002244,0.0000,8.1424,0.1157,0.0000,0.0000,0.0000,0.0000,0,65.9058,0.0000,7,1;3;4;5;9;8;7;,2;6;9;13;24;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",,0.077;1.780;1.169;12.684;14.738;7.458;,4.000;4.000;2.000;5.000;10.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,10,1,7,0,6,1->7,0,auto,am,0.0000,23.0000,14.2946,70.3702,23.0000,12.464523,0.002107,0.0000,12.5922,0.1790,0.0000,0.0000,0.0000,0.0000,0,70.3702,0.0000,7,1;2;6;8;16;18;7;,1;4;16;22;50;54;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",,0.014;4.802;29.490;11.710;1.108;0.247;,6.000;5.000;2.000;5.000;3.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
