link_seq_id,link_id,link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,Vam_25nb_auto,VAB_am_25nb_auto,VBA_am_25nb_auto,MEUVABam25nbauto,capABam25nbauto,PENABam25nbauto,DOCABam25nbauto,TTABam_25nb_auto,MEUVBAam25nbauto,capBAam25nbauto,PENBAam25nbauto,DOCBAam25nbauto,TTBAam_25nb_auto,
1,1,motorway,1,2,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6751.4,6751.4,,6751.4,25900.2,0.0,0.2607,6.014,,,,,
2,2,motorway,1,3,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,10364.4,10364.4,,10364.4,23403.5,0.0,0.4429,4.077,,,,,
3,3,motorway,2,1,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6764.4,6764.4,,6764.4,25900.2,0.0,0.2612,6.014,,,,,
4,4,motorway,2,6,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,6198.1,6198.1,,6198.1,4958.2,0.0,1.2501,9.802,,,,,
5,5,motorway,3,1,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,10351.4,10351.4,,10351.4,23403.5,0.0,0.4423,4.076,,,,,
6,6,motorway,3,4,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,16640.3,16640.3,,16640.3,17110.5,0.0,0.9725,5.780,,,,,
7,7,motorway,3,12,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,12967.0,12967.0,,12967.0,23403.5,0.0,0.5541,4.188,,,,,
8,8,motorway,4,3,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,16578.6,16578.6,,16578.6,17110.5,0.0,0.9689,5.754,,,,,
9,9,motorway,4,5,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,18882.9,18882.9,,18882.9,17782.8,0.0,1.0619,3.169,,,,,
10,10,motorway,4,11,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,-1,1.0,motorway,5602.8,5602.8,,5602.8,4908.8,0.0,1.1414,10.328,,,,,
