link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,vehicle_volume,person_volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,vehicle_vol_auto,MEU_vol_auto,mode_link_cap_auto,mode_DOC_auto,mode_TT_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6751.368,6751.368,5083.214,1668.154,,6:4476;,0.000,0.000,0.000,,,,0.000,6.014,59.862,37.205,0.998,0.261,0.261,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,6751.368,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.862,51.000,25176.014,676.688,25176.014,676.688,1.551,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6751.368,6751.368,25900.201,0.260669,6.014,60.000,60.000,60.000,60.000,59.977,59.908,56.931,59.954,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,6751.368,6751.368,0.000,59.862,0.000,-59.862,0.261,0.000,-0.261,0.004,0.000,-0.004,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,10364.373,10364.373,8782.614,1581.759,,4:6087;12:3673;,0.000,0.000,0.000,,,,0.000,4.077,58.873,36.590,0.981,0.443,0.443,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,10364.373,0.955,1.142,0.037,0.000,60.000,51.000,0.400,4.000,58.873,51.000,25765.998,704.180,25765.998,704.180,13.222,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",10364.373,10364.373,23403.473,0.442856,4.077,60.000,60.000,60.000,60.000,59.805,59.220,56.415,59.610,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,10364.373,10364.373,0.000,58.873,0.000,-58.873,0.443,0.000,-0.443,0.037,0.000,-0.037,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6764.373,6764.373,5182.613,1581.760,,3:4164;,0.000,0.000,0.000,,,,0.000,6.014,59.861,37.204,0.998,0.261,0.261,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,6764.373,0.955,1.142,0.004,0.000,60.000,51.000,0.400,4.000,59.861,51.000,25224.510,678.003,25224.510,678.003,1.566,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6764.373,6764.373,25900.201,0.261171,6.014,60.000,60.000,60.000,60.000,59.977,59.907,56.930,59.954,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,6764.373,6764.373,0.000,59.861,0.000,-59.861,0.261,0.000,-0.261,0.004,0.000,-0.004,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,6198.079,6198.079,5483.214,714.865,,5:0;8:4976;,0.000,0.000,0.000,,,,0.000,9.802,30.606,19.022,0.510,1.250,1.250,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,6198.079,0.955,1.142,1.232,0.417,60.000,51.000,0.400,4.000,30.606,26.536,19260.656,1012.569,19260.656,1012.569,496.062,404.914,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",6198.079,6198.079,4958.181,1.250071,9.802,60.000,60.000,60.000,60.000,40.358,28.834,27.334,35.352,55.352,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,6198.079,6198.079,0.000,30.606,0.000,-30.606,1.250,0.000,-1.250,1.232,0.000,-1.232,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,10351.367,10351.367,8683.215,1668.152,,2:4151;,0.000,0.000,0.000,,,,0.000,4.076,58.879,36.594,0.981,0.442,0.442,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,10351.368,0.955,1.142,0.037,0.000,60.000,51.000,0.400,4.000,58.879,51.000,25733.666,703.230,25733.666,703.230,13.139,0.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",10351.368,10351.368,23403.473,0.442300,4.076,60.000,60.000,60.000,60.000,59.806,59.224,56.418,59.612,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,10351.367,10351.367,0.000,58.879,0.000,-58.879,0.442,0.000,-0.442,0.037,0.000,-0.037,period-based
6,6,bpr,3,4,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16640.328,16640.328,14796.577,1843.751,,5:11527;11:2035;,0.000,0.000,0.000,,,,0.000,5.780,41.522,25.806,0.692,0.973,0.973,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,16640.328,0.955,1.142,0.854,0.000,60.000,51.000,0.400,4.000,41.522,42.043,41368.125,1603.052,41368.125,1603.052,493.697,297.928,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",16640.328,16640.328,17110.524,0.972520,5.780,60.000,60.000,60.000,60.000,58.755,46.521,43.652,55.638,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,16640.328,16640.328,0.000,41.522,0.000,-41.522,0.973,0.000,-0.973,0.854,0.000,-0.854,period-based
7,7,bpr,3,12,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,12966.990,12966.990,10373.788,2593.202,,11:0;13:7291;,0.000,0.000,0.000,,,,0.000,4.188,57.313,35.620,0.955,0.554,0.554,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,12966.990,0.955,1.142,0.090,0.000,60.000,51.000,0.400,4.000,57.313,50.999,32236.146,904.996,32236.146,904.996,40.530,0.000,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",12966.990,12966.990,23403.473,0.554063,4.188,60.000,60.000,60.000,60.000,59.508,58.031,55.523,59.016,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,12966.990,12966.990,0.000,57.313,0.000,-57.313,0.554,0.000,-0.554,0.090,0.000,-0.090,period-based
8,8,bpr,4,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,16578.643,16578.643,14791.177,1787.466,,1:6088;12:8793;,0.000,0.000,0.000,,,,0.000,5.754,41.711,25.924,0.695,0.969,0.969,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,16578.643,0.955,1.142,0.842,0.000,60.000,51.000,0.400,4.000,41.711,42.474,41214.773,1589.856,41214.773,1589.856,484.614,289.571,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",16578.643,16578.643,17110.524,0.968915,5.754,60.000,60.000,60.000,60.000,58.913,47.001,44.105,55.967,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,16578.643,16578.643,0.000,41.711,0.000,-41.711,0.969,0.000,-0.969,0.842,0.000,-0.842,period-based
9,9,bpr,4,5,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,18882.947,18882.947,18945.744,-62.797,,6:4585;9:12197;,0.000,0.000,0.000,,,,0.000,3.169,37.864,23.532,0.631,1.062,1.062,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,18882.947,0.955,1.142,1.023,0.000,60.000,51.000,0.400,4.000,37.864,35.475,23471.656,997.414,23471.656,997.414,367.983,256.907,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",18882.947,18882.947,17782.794,1.061866,3.169,60.000,60.000,60.000,60.000,48.036,38.176,36.438,44.613,56.986,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,18882.947,18882.947,0.000,37.864,0.000,-37.864,1.062,0.000,-1.062,1.023,0.000,-1.023,period-based
10,10,bpr,4,11,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5602.810,5602.810,5240.831,361.979,,10:822;14:1357;,0.000,0.000,0.000,,,,0.000,10.328,34.857,21.664,0.581,1.141,1.141,4908.827,4908.827,0.000,0.000,0.000,1.000,1.000,5602.809,0.955,1.142,1.111,0.000,60.000,51.000,0.400,4.000,34.857,31.705,20893.012,964.412,20893.012,964.412,404.131,305.258,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",5602.809,5602.809,4908.827,1.141374,10.328,60.000,60.000,60.000,60.000,45.479,34.312,32.622,41.100,56.638,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5602.810,5602.810,0.000,34.857,0.000,-34.857,1.141,0.000,-1.141,1.111,0.000,-1.111,period-based
11,11,bpr,5,4,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,18958.135,18958.135,18832.006,126.129,,3:11522;11:1202;,0.000,0.000,0.000,,,,0.000,3.182,37.708,23.436,0.628,1.066,1.066,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,18958.134,0.955,1.142,1.027,0.000,60.000,51.000,0.400,4.000,37.708,35.278,23565.115,1005.519,23565.115,1005.519,373.581,262.062,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)",18958.134,18958.134,17782.794,1.066094,3.182,60.000,60.000,60.000,60.000,47.928,37.978,36.240,44.446,56.979,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,18958.135,18958.135,0.000,37.708,0.000,-37.708,1.066,0.000,-1.066,1.027,0.000,-1.027,period-based
