link_seq_id,link_id,based_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,lanes_s1,link_type_s0,link_type_s1,lanes_p1_s0_auto,lanes_p1_s1_auto,lanes_p2_s0_auto,lanes_p2_s1_auto,lanes_p3_s0_auto,lanes_p3_s1_auto,VOL_p1_s0_auto,VOL_p1_s1_auto,VOL_p2_s0_auto,VOL_p2_s1_auto,VOL_p3_s0_auto,VOL_p3_s1_auto,MEU_p1_s0_auto,MEU_p1_s1_auto,MEU_p2_s0_auto,MEU_p2_s1_auto,MEU_p3_s0_auto,MEU_p3_s1_auto,CAP_p1_s0_auto,CAP_p1_s1_auto,CAP_p2_s0_auto,CAP_p2_s1_auto,CAP_p3_s0_auto,CAP_p3_s1_auto,PEN_p1_s0_auto,PEN_p1_s1_auto,PEN_p2_s0_auto,PEN_p2_s1_auto,PEN_p3_s0_auto,PEN_p3_s1_auto,DOC_p1_s0_auto,DOC_p1_s1_auto,DOC_p2_s0_auto,DOC_p2_s1_auto,DOC_p3_s0_auto,DOC_p3_s1_auto,TT_p1_s0_auto,TT_p1_s1_auto,TT_p2_s0_auto,TT_p2_s1_auto,TT_p3_s0_auto,TT_p3_s1_auto,CO2_p1_s0_auto,CO2_p1_s1_auto,CO2_p2_s0_auto,CO2_p2_s1_auto,CO2_p3_s0_auto,CO2_p3_s1_auto,NOX_p1_s0_auto,NOX_p1_s1_auto,NOX_p2_s0_auto,NOX_p2_s1_auto,NOX_p3_s0_auto,NOX_p3_s1_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_am_2040_auto,MEU_am_2040_auto,CAP_am_2040_auto,PEN_am_2040_auto,DOC_am_2040_auto,TT_am_2040_auto,CO2_am_2040_auto,NOX_am_2040_auto,VOL_md_25nb_auto,MEU_md_25nb_auto,CAP_md_25nb_auto,PEN_md_25nb_auto,DOC_md_25nb_auto,TT_md_25nb_auto,CO2_md_25nb_auto,NOX_md_25nb_auto,VOL_md_2040_auto,MEU_md_2040_auto,CAP_md_2040_auto,PEN_md_2040_auto,DOC_md_2040_auto,TT_md_2040_auto,CO2_md_2040_auto,NOX_md_2040_auto,VOL_pm_25nb_auto,MEU_pm_25nb_auto,CAP_pm_25nb_auto,PEN_pm_25nb_auto,DOC_pm_25nb_auto,TT_pm_25nb_auto,CO2_pm_25nb_auto,NOX_pm_25nb_auto,VOL_pm_2040_auto,MEU_pm_2040_auto,CAP_pm_2040_auto,PEN_pm_2040_auto,DOC_pm_2040_auto,TT_pm_2040_auto,CO2_pm_2040_auto,NOX_pm_2040_auto,
1,1,highway,1,2,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,4648.3,0.0,0.0,0.0,0.0,0.0,4648.3,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4648.3,4648.3,2000.000,0.000,0.179,6.001,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,6.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
2,2,highway,1,3,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,8278.2,0.0,0.0,0.0,0.0,0.0,8278.2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8278.2,8278.2,2000.000,0.000,0.354,4.009,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,4.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
3,3,highway,2,1,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,4678.2,0.0,0.0,0.0,0.0,0.0,4678.2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4678.2,4678.2,2000.000,0.000,0.181,6.001,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,6.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
4,4,highway,2,6,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5.000000,3.107520,5.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,5932.1,0.0,0.0,0.0,0.0,0.0,5932.1,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5932.1,5932.1,2000.000,0.000,1.196,6.537,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,5.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
5,5,highway,3,1,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,8248.3,0.0,0.0,0.0,0.0,0.0,8248.3,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8248.3,8248.3,2000.000,0.000,0.352,4.009,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,4.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
6,6,highway,3,4,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,14323.4,0.0,0.0,0.0,0.0,0.0,14323.4,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,4.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.4,14323.4,2000.000,0.000,0.837,4.295,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,4.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
7,7,highway,3,12,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,10325.5,0.0,0.0,0.0,0.0,0.0,10325.5,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10325.5,10325.5,2000.000,0.000,0.441,4.023,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,4.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
8,8,highway,4,3,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",4.000000,2.486016,4.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,14363.6,0.0,0.0,0.0,0.0,0.0,14363.6,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,4.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14363.6,14363.6,2000.000,0.000,0.839,4.298,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,4.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
9,9,highway,4,5,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",2.000000,1.243008,2.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,18333.3,0.0,0.0,0.0,0.0,0.0,18333.3,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18333.3,18333.3,2000.000,0.000,1.031,2.339,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,2.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
10,10,highway,4,11,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",6.000000,3.729024,6.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,highway,highway,1.0,1.0,1.0,1.0,1.0,1.0,5203.2,0.0,0.0,0.0,0.0,0.0,5203.2,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,7.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5203.2,5203.2,2000.000,0.000,1.060,7.136,0.000,0.000,0.0,0.0,2000.000,0.000,0.000,6.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,
