od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,
1,1,2,0,1,0,0,p,AM,100.00,1,-96.770420,43.612828,-96.711251,43.605813,6.0000,0.0060,0.0037,
2,1,3,0,2,0,0,p,AM,100.00,1,-96.770420,43.612828,-96.774303,43.572962,4.0000,0.0040,0.0025,
3,1,4,0,3,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.747168,43.563654,8.0000,0.0080,0.0050,
4,1,5,0,4,0,0,p,AM,200.00,1,-96.770420,43.612828,-96.731569,43.564034,10.0000,0.0100,0.0062,
5,1,6,0,5,0,0,p,AM,300.00,1,-96.770420,43.612828,-96.711644,43.587586,11.0000,0.0110,0.0068,
6,1,7,0,6,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.693423,43.563844,16.0000,0.0160,0.0099,
7,1,8,0,7,0,0,p,AM,800.00,1,-96.770420,43.612828,-96.711382,43.562324,13.0000,0.0130,0.0081,
8,1,9,0,8,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.731241,43.548596,15.0000,0.0150,0.0093,
9,1,10,0,9,0,0,p,AM,1300.00,1,-96.770420,43.612828,-96.731438,43.545271,18.0000,0.0180,0.0112,
10,1,11,0,10,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.746841,43.544131,14.0000,0.0140,0.0087,
11,1,12,0,11,0,0,p,AM,200.00,1,-96.770420,43.612828,-96.780137,43.543941,8.0000,0.0080,0.0050,
12,1,13,0,12,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.793377,43.490707,11.0000,0.0110,0.0068,
13,1,14,0,13,0,0,p,AM,300.00,1,-96.770420,43.612828,-96.751035,43.529306,18.0000,0.0180,0.0112,
14,1,15,0,14,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.731504,43.529401,23.0000,0.0230,0.0143,
15,1,16,0,15,0,0,p,AM,500.00,1,-96.770420,43.612828,-96.711382,43.546744,18.0000,0.0180,0.0112,
16,1,17,0,16,0,0,p,AM,400.00,1,-96.770420,43.612828,-96.711382,43.541280,20.0000,0.0200,0.0124,
17,1,18,0,17,0,0,p,AM,100.00,1,-96.770420,43.612828,-96.694078,43.546744,18.0000,0.0180,0.0112,
18,1,19,0,18,0,0,p,AM,300.00,1,-96.770420,43.612828,-96.711316,43.529591,22.0000,0.0220,0.0137,
19,1,20,0,19,0,0,p,AM,300.00,1,-96.770420,43.612828,-96.711185,43.515333,22.0000,0.0220,0.0137,
20,1,21,0,20,0,0,p,AM,100.00,1,-96.770420,43.612828,-96.730979,43.510485,18.0000,0.0180,0.0112,
21,1,22,0,21,0,0,p,AM,400.00,1,-96.770420,43.612828,-96.731241,43.514858,20.0000,0.0200,0.0124,
22,1,23,0,22,0,0,p,AM,300.00,1,-96.770420,43.612828,-96.750904,43.514858,17.0000,0.0170,0.0106,
23,1,24,0,23,0,0,p,AM,100.00,1,-96.770420,43.612828,-96.749200,43.503164,15.0000,0.0150,0.0093,
24,2,1,1,0,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.770420,43.612828,6.0000,0.0060,0.0037,
25,2,3,1,2,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.774303,43.572962,10.0000,0.0100,0.0062,
26,2,4,1,3,0,0,p,AM,200.00,1,-96.711251,43.605813,-96.747168,43.563654,11.0000,0.0110,0.0068,
27,2,5,1,4,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.731569,43.564034,9.0000,0.0090,0.0056,
28,2,6,1,5,0,0,p,AM,400.00,1,-96.711251,43.605813,-96.711644,43.587586,5.0000,0.0050,0.0031,
29,2,7,1,6,0,0,p,AM,200.00,1,-96.711251,43.605813,-96.693423,43.563844,10.0000,0.0100,0.0062,
30,2,8,1,7,0,0,p,AM,400.00,1,-96.711251,43.605813,-96.711382,43.562324,7.0000,0.0070,0.0044,
31,2,9,1,8,0,0,p,AM,200.00,1,-96.711251,43.605813,-96.731241,43.548596,14.0000,0.0140,0.0087,
32,2,10,1,9,0,0,p,AM,600.00,1,-96.711251,43.605813,-96.731438,43.545271,16.0000,0.0160,0.0099,
33,2,11,1,10,0,0,p,AM,200.00,1,-96.711251,43.605813,-96.746841,43.544131,17.0000,0.0170,0.0106,
34,2,12,1,11,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.780137,43.543941,14.0000,0.0140,0.0087,
35,2,13,1,12,0,0,p,AM,300.00,1,-96.711251,43.605813,-96.793377,43.490707,17.0000,0.0170,0.0106,
36,2,14,1,13,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.751035,43.529306,21.0000,0.0210,0.0131,
37,2,15,1,14,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.731504,43.529401,19.0000,0.0190,0.0118,
38,2,16,1,15,0,0,p,AM,400.00,1,-96.711251,43.605813,-96.711382,43.546744,12.0000,0.0120,0.0075,
39,2,17,1,16,0,0,p,AM,200.00,1,-96.711251,43.605813,-96.711382,43.541280,14.0000,0.0140,0.0087,
40,2,19,1,18,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.711316,43.529591,16.0000,0.0160,0.0099,
41,2,20,1,19,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.711185,43.515333,16.0000,0.0160,0.0099,
42,2,22,1,21,0,0,p,AM,100.00,1,-96.711251,43.605813,-96.731241,43.514858,21.0000,0.0210,0.0131,
43,3,1,2,0,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.770420,43.612828,4.0000,0.0040,0.0025,
44,3,2,2,1,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.711251,43.605813,10.0000,0.0100,0.0062,
45,3,4,2,3,0,0,p,AM,200.00,1,-96.774303,43.572962,-96.747168,43.563654,4.0000,0.0040,0.0025,
46,3,5,2,4,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.731569,43.564034,6.0000,0.0060,0.0037,
47,3,6,2,5,0,0,p,AM,300.00,1,-96.774303,43.572962,-96.711644,43.587586,10.0000,0.0100,0.0062,
48,3,7,2,6,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.693423,43.563844,15.0000,0.0150,0.0093,
49,3,8,2,7,0,0,p,AM,200.00,1,-96.774303,43.572962,-96.711382,43.562324,12.0000,0.0120,0.0075,
50,3,9,2,8,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.731241,43.548596,11.0000,0.0110,0.0068,
51,3,10,2,9,0,0,p,AM,300.00,1,-96.774303,43.572962,-96.731438,43.545271,14.0000,0.0140,0.0087,
52,3,11,2,10,0,0,p,AM,300.00,1,-96.774303,43.572962,-96.746841,43.544131,10.0000,0.0100,0.0062,
53,3,12,2,11,0,0,p,AM,200.00,1,-96.774303,43.572962,-96.780137,43.543941,4.0000,0.0040,0.0025,
54,3,13,2,12,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.793377,43.490707,7.0000,0.0070,0.0044,
55,3,14,2,13,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.751035,43.529306,14.0000,0.0140,0.0087,
56,3,15,2,14,0,0,p,AM,100.00,1,-96.774303,43.572962,-96.731504,43.529401,19.0000,0.0190,0.0118,
