link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_p,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
1,bpr,1,2,1.000000,0.006000,0.003729,0.006000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4958.585,-1.000,0.000,4958.585,4958.585,0.000,,,,0.000,4958.585,6.001,59.988,37.283,1.000,0.191,0.191,25900.201,0.000,0.000,0.000,1.000,1.000,4958.585,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.960,51.000,18.491,495.958,18.491,495.958,0.100,0.000,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",4958.585,60.000,60.000,60.000,60.000,59.993,59.973,56.980,59.987,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,4958.585,4958.585,0.000,59.988,59.988,0.000,0.191,0.191,0.000,0.001,0.001,period-based
2,bpr,1,3,1.000000,0.004000,0.002486,0.004000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8578.534,-1.000,0.000,8578.534,8578.534,0.000,,,,0.000,8578.534,4.011,59.838,37.190,0.997,0.367,0.367,23403.473,0.000,0.000,0.000,1.000,1.000,8578.534,0.955,1.142,0.017,0.000,60.000,51.000,0.400,4.000,59.466,51.000,21.326,573.451,21.326,573.451,1.549,0.000,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",8578.534,60.000,60.000,60.000,60.000,59.909,59.638,56.728,59.819,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,8578.534,8578.534,0.000,59.838,59.838,0.000,0.367,0.367,0.000,0.017,0.017,period-based
3,bpr,2,1,1.000000,0.006000,0.003729,0.006000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,4978.534,-1.000,0.000,4978.534,4978.534,0.000,,,,0.000,4978.534,6.001,59.988,37.283,1.000,0.192,0.192,25900.201,0.000,0.000,0.000,1.000,1.000,4978.534,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.959,51.000,18.565,497.955,18.565,497.955,0.102,0.000,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",4978.534,60.000,60.000,60.000,60.000,59.993,59.973,56.980,59.986,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,4978.534,4978.534,0.000,59.988,59.988,0.000,0.192,0.192,0.000,0.001,0.001,period-based
4,bpr,2,6,1.000000,0.005000,0.003108,0.005000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5893.002,-1.000,0.000,5893.002,5893.002,0.000,,,,0.000,5893.002,6.497,46.178,28.700,0.770,1.189,1.189,4958.181,0.000,0.000,0.000,1.000,1.000,5893.002,0.955,1.142,1.163,0.250,60.000,51.000,0.400,4.000,33.020,29.443,18.313,638.079,18.313,638.079,146.995,60.334,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",5893.002,60.000,60.000,60.000,60.000,43.462,31.936,30.315,38.705,56.194,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5893.002,5893.002,0.000,46.178,46.178,0.000,1.189,1.189,0.000,1.163,1.163,period-based
5,bpr,3,1,1.000000,0.004000,0.002486,0.004000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,8558.585,-1.000,0.000,8558.585,8558.585,0.000,,,,0.000,8558.585,4.011,59.839,37.190,0.997,0.366,0.366,23403.473,0.000,0.000,0.000,1.000,1.000,8558.585,0.955,1.142,0.017,0.000,60.000,51.000,0.400,4.000,59.471,51.000,21.277,572.103,21.277,572.103,1.531,0.000,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",8558.585,60.000,60.000,60.000,60.000,59.910,59.641,56.731,59.821,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,8558.585,8558.585,0.000,59.839,59.839,0.000,0.366,0.366,0.000,0.017,0.017,period-based
6,bpr,3,4,1.000000,0.004000,0.002486,0.004000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,14805.618,-1.000,0.000,14805.618,14805.618,0.000,,,,0.000,14805.618,4.336,55.346,34.398,0.922,0.865,0.865,17110.524,0.000,0.000,0.000,1.000,1.000,14805.618,0.955,1.142,0.535,0.000,60.000,51.000,0.400,4.000,46.915,49.377,36.807,1070.042,36.807,1070.042,83.000,0.000,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",14805.618,60.000,60.000,60.000,60.000,56.772,55.452,51.981,56.702,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,14805.618,14805.618,0.000,55.346,55.346,0.000,0.865,0.865,0.000,0.535,0.535,period-based
7,bpr,3,12,1.000000,0.004000,0.002486,0.004000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,10734.491,-1.000,0.000,10734.491,10734.491,0.000,,,,0.000,10734.491,4.027,59.604,37.044,0.993,0.459,0.459,23403.473,0.000,0.000,0.000,1.000,1.000,10734.491,0.955,1.142,0.042,0.000,60.000,51.000,0.400,4.000,58.707,51.000,26.686,720.384,26.686,720.384,4.751,0.000,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",10734.491,60.000,60.000,60.000,60.000,59.775,59.100,56.325,59.550,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,10734.491,10734.491,0.000,59.604,59.604,0.000,0.459,0.459,0.000,0.042,0.042,period-based
8,bpr,4,3,1.000000,0.004000,0.002486,0.004000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,14821.540,-1.000,0.000,14821.540,14821.540,0.000,,,,0.000,14821.540,4.338,55.327,34.386,0.922,0.866,0.866,17110.524,0.000,0.000,0.000,1.000,1.000,14821.540,0.955,1.142,0.538,0.000,60.000,51.000,0.400,4.000,46.871,49.350,36.847,1071.550,36.847,1071.550,83.448,0.000,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",14821.540,60.000,60.000,60.000,60.000,56.756,55.412,51.940,56.677,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,14821.540,14821.540,0.000,55.327,55.327,0.000,0.866,0.866,0.000,0.538,0.538,period-based
9,bpr,4,5,1.000000,0.002000,0.001243,0.002000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,18682.168,-1.000,0.000,18682.168,18682.168,0.000,,,,0.000,18682.168,2.365,50.730,31.529,0.846,1.051,1.051,17782.794,0.000,0.000,0.000,1.000,1.000,18682.168,0.955,1.142,1.010,0.000,60.000,51.000,0.400,4.000,38.276,35.997,23.222,736.530,23.222,736.530,113.791,3.895,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",18682.168,60.000,60.000,60.000,60.000,48.309,38.700,36.963,45.048,56.997,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,18682.168,18682.168,0.000,50.730,50.730,0.000,1.051,1.051,0.000,1.010,1.010,period-based
10,bpr,4,11,1.000000,0.006000,0.003729,0.006000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700_0800,5232.014,-1.000,0.000,5232.014,5232.014,0.000,,,,0.000,5232.014,7.161,50.269,31.242,0.838,1.066,1.066,4908.827,0.000,0.000,0.000,1.000,1.000,5232.014,0.955,1.142,1.027,0.000,60.000,51.000,0.400,4.000,37.718,35.290,19.510,624.482,19.510,624.482,101.280,8.951,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",5232.014,60.000,60.000,60.000,60.000,47.935,37.990,36.252,44.456,56.980,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5232.014,5232.014,0.000,50.269,50.269,0.000,1.066,1.066,0.000,1.027,1.027,period-based
