node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,district_id,geometry
1,,-87.675591,42.01165,,,1,,POINT (-87.675591 42.011650)
2,,-87.699402,42.003548,,,2,,POINT (-87.699402 42.003548)
3,,-87.664871,41.977436,,,3,,POINT (-87.664871 41.977436)
4,,-87.689873,41.963932,,,4,,POINT (-87.689873 41.963932)
5,,-87.652962,41.932419,,,5,,POINT (-87.652962 41.932419)
6,,-87.743462,41.99004,,,6,,POINT (-87.743462 41.990040)
7,,-87.725601,41.960327,,,7,,POINT (-87.725601 41.960327)
8,,-87.799431,41.987339,,,8,,POINT (-87.799431 41.987339)
9,,-87.822052,41.948624,,,9,,POINT (-87.822052 41.948624)
10,,-87.763702,41.938721,,,10,,POINT (-87.763702 41.938721)
11,,-87.761322,41.896404,,,11,,POINT (-87.761322 41.896404)
12,,-87.725601,41.901806,,,12,,POINT (-87.725601 41.901806)
13,,-87.719643,41.872093,,,13,,POINT (-87.719643 41.872093)
14,,-87.713692,41.929718,,,14,,POINT (-87.713692 41.929718)
15,,-87.680351,41.903606,,,15,,POINT (-87.680351 41.903606)
16,,-87.668442,41.875694,,,16,,POINT (-87.668442 41.875694)
17,,-87.637482,41.901806,,,17,,POINT (-87.637482 41.901806)
18,,-87.630341,41.880196,,,18,,POINT (-87.630341 41.880196)
19,,-87.625572,41.858589,,,19,,POINT (-87.625572 41.858589)
20,,-87.717262,41.84058,,,20,,POINT (-87.717262 41.840580)
21,,-87.670822,41.854088,,,21,,POINT (-87.670822 41.854088)
22,,-87.622002,41.836079,,,22,,POINT (-87.622002 41.836079)
23,,-87.662491,41.823475,,,23,,POINT (-87.662491 41.823475)
24,,-87.713692,41.818974,,,24,,POINT (-87.713692 41.818974)
25,,-87.769661,41.789261,,,25,,POINT (-87.769661 41.789261)
26,,-87.710121,41.782059,,,26,,POINT (-87.710121 41.782059)
27,,-87.658913,41.778454,,,27,,POINT (-87.658913 41.778454)
28,,-87.613663,41.806366,,,28,,POINT (-87.613663 41.806366)
29,,-87.601761,41.76405,,,29,,POINT (-87.601761 41.764050)
30,,-87.711311,41.746941,,,30,,POINT (-87.711311 41.746941)
31,,-87.654152,41.735237,,,31,,POINT (-87.654152 41.735237)
32,,-87.677971,41.702824,,,32,,POINT (-87.677971 41.702824)
33,,-87.620811,41.674011,,,33,,POINT (-87.620811 41.674011)
34,,-87.619621,41.711826,,,34,,POINT (-87.619621 41.711826)
35,,-87.560081,41.741539,,,35,,POINT (-87.560081 41.741539)
36,,-87.556511,41.687519,,,36,,POINT (-87.556511 41.687519)
37,,-87.907791,41.981937,,,37,,POINT (-87.907791 41.981937)
38,,-88.17572,42.114288,,,38,,POINT (-88.175720 42.114288)
39,,-88.034012,42.134102,,,39,,POINT (-88.034012 42.134102)
40,,-88.093552,42.134102,,,40,,POINT (-88.093552 42.134102)
41,,-88.034012,42.090881,,,41,,POINT (-88.034012 42.090881)
