first_column,zone_id,x_coord,y_coord,super_zone_id,analysis_district_id,demand,subarea_significance_flag,inside_flag
,1,-87.675591,42.011650,0,6,5262.310000,1,3
,2,-87.699402,42.003548,1,6,7125.930000,1,3
,3,-87.664871,41.977436,2,2,11046.630000,1,3
,4,-87.689873,41.963932,3,2,10114.650000,1,3
,5,-87.652962,41.932419,4,2,19566.910000,1,3
,6,-87.743462,41.990040,5,1,6817.170000,1,3
,7,-87.725601,41.960327,6,1,10547.900000,1,3
,8,-87.799431,41.987339,7,8,9830.170000,1,3
,9,-87.822052,41.948624,8,8,7130.280000,1,3
,10,-87.763702,41.938721,9,1,15344.100000,1,3
,11,-87.761322,41.896404,10,1,11415.100000,1,3
,12,-87.725601,41.901806,11,2,7305.360000,1,3
,13,-87.719643,41.872093,12,2,10085.360000,1,3
,14,-87.713692,41.929718,13,2,16089.000000,1,3
,15,-87.680351,41.903606,14,2,9436.430000,1,3
,16,-87.668442,41.875694,15,3,11515.140000,1,3
,17,-87.637482,41.901806,16,3,10441.810000,1,3
,18,-87.630341,41.880196,17,3,10260.480000,1,3
,19,-87.625572,41.858589,18,3,2706.610000,1,3
,20,-87.717262,41.840580,19,3,8180.970000,1,3
,21,-87.670822,41.854088,20,3,4842.720000,1,3
,22,-87.622002,41.836079,21,3,3496.910000,1,3
,23,-87.662491,41.823475,22,3,14143.520000,1,3
,24,-87.713692,41.818974,23,9,6318.490000,1,3
,25,-87.769661,41.789261,24,9,6389.220000,1,3
,26,-87.710121,41.782059,25,9,14799.240000,1,3
,27,-87.658913,41.778454,26,4,8204.690000,1,3
,28,-87.613663,41.806366,27,4,9589.230000,1,3
,29,-87.601761,41.764050,28,4,17091.270000,1,3
,30,-87.711311,41.746941,29,11,5682.300000,1,3
,31,-87.654152,41.735237,30,4,8237.550000,1,3
,32,-87.677971,41.702824,31,11,5765.500000,1,2
,33,-87.620811,41.674011,32,11,2463.570000,1,2
,34,-87.619621,41.711826,33,4,6870.760000,1,3
,35,-87.560081,41.741539,34,4,5523.010000,1,3
,36,-87.556511,41.687519,35,4,3123.550000,1,2
,37,-87.907791,41.981937,36,7,1458.380000,1,3
,38,-88.175720,42.114288,-1,-100,258.380000,0,1
,39,-88.034012,42.134102,37,5,1099.810000,1,2
,40,-88.093552,42.134102,-1,-100,213.590000,0,1
,41,-88.034012,42.090881,38,5,2472.730000,1,2
,42,-88.092361,42.090881,39,5,409.860000,1,2
,43,-87.918510,42.133198,40,18,1591.560000,1,2
,44,-87.976860,42.134102,41,5,1636.010000,1,2
,45,-87.918510,42.090881,42,18,2410.930000,1,2
,46,-87.978050,42.089081,43,5,2260.960000,1,2
,47,-87.804192,42.134102,44,18,904.350000,1,2
,48,-87.861351,42.134102,45,18,1455.750000,1,2
,49,-87.805382,42.090881,46,6,1483.150000,1,2
,50,-87.861351,42.090881,47,18,1870.380000,1,2
,51,-87.755371,42.131397,48,6,499.680000,1,2
,52,-87.698212,42.080074,49,6,1066.430000,1,2
,53,-87.747032,42.089081,50,6,2132.590000,1,2
,54,-88.172150,42.050365,-1,-100,160.930000,0,1
,55,-88.231689,42.048565,-1,-100,174.250000,0,1
,56,-88.172150,42.011650,51,5,640.200000,1,2
,57,-88.231689,42.011650,-1,-100,176.150000,0,1
,58,-88.060211,42.053066,52,5,2130.370000,1,2
,59,-88.116180,42.051266,53,5,1045.250000,1,2
,60,-88.060211,42.016151,54,5,1879.030000,1,2
,61,-88.116180,42.014351,55,5,1294.550000,1,2
,62,-87.950661,42.053967,56,5,2802.810000,1,2
,63,-88.005440,42.053066,57,5,1870.510000,1,2
,64,-87.950661,42.017052,58,5,10354.760000,1,3
,65,-88.004242,42.016151,59,5,3618.820000,1,3
,66,-87.838722,42.054867,60,7,3555.820000,1,2
,67,-87.894691,42.054867,61,7,2178.380000,1,2
,68,-87.838722,42.020653,62,7,6947.780000,1,3
,69,-87.893501,42.019753,63,7,6781.790000,1,3
,70,-87.720840,42.053967,64,6,2864.960000,1,2
,71,-87.781570,42.055767,65,6,2426.390000,1,2
,72,-87.723221,42.026054,66,6,8075.780000,1,3
,73,-87.780373,42.026054,67,6,8500.240000,1,3
,74,-87.683922,42.054867,68,6,1756.970000,1,2
,75,-87.683922,42.034161,69,6,2757.050000,1,3
,76,-87.870880,41.976536,70,7,6241.290000,1,3
,77,-87.894691,41.932419,71,7,8828.230000,1,3
,78,-87.837532,41.927917,72,8,7478.600000,1,3
,79,-87.819672,41.964832,73,8,3991.120000,1,3
,80,-87.833961,41.888302,74,8,11408.140000,1,3
,81,-87.893501,41.887402,75,7,9066.860000,1,3
,82,-87.833961,41.845982,76,9,6214.940000,1,3
,83,-87.889931,41.843281,77,15,4504.890000,1,3
,84,-87.793472,41.889198,78,1,6829.570000,1,3
