od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,
1,1,2,0,1,6,6,p,AM,347.31,1,3.0632,4.9286,3.0632,0.000000,0.000000,0.000000,0.000000,0.000000,
2,1,3,0,2,6,2,p,AM,390.81,1,4.1075,6.6089,4.1075,0.000000,0.000000,0.000000,0.000000,0.000000,
3,1,4,0,3,6,2,p,AM,204.51,1,5.7912,9.3180,5.7912,0.000000,0.000000,0.000000,0.000000,0.000000,
4,1,5,0,4,6,2,p,AM,373.73,1,7.2179,11.6136,7.2179,0.000000,0.000000,0.000000,0.000000,0.000000,
5,1,6,0,5,6,1,p,AM,199.70,1,5.4986,8.8472,5.4986,0.000000,0.000000,0.000000,0.000000,0.000000,
6,1,7,0,6,6,1,p,AM,119.69,1,7.6374,12.2885,7.6374,0.000000,0.000000,0.000000,0.000000,0.000000,
7,1,8,0,7,6,8,p,AM,96.23,1,8.5689,13.7873,8.5689,0.000000,0.000000,0.000000,0.000000,0.000000,
8,1,9,0,8,6,8,p,AM,39.53,1,14.1076,22.6992,14.1076,0.000000,0.000000,0.000000,0.000000,0.000000,
9,1,10,0,9,6,1,p,AM,75.72,1,11.0442,17.7702,11.0442,0.000000,0.000000,0.000000,0.000000,0.000000,
10,1,11,0,10,6,1,p,AM,24.02,1,13.9138,22.3874,13.9138,0.000000,0.000000,0.000000,0.000000,0.000000,
11,1,12,0,11,6,2,p,AM,27.71,1,10.3976,16.7297,10.3976,0.000000,0.000000,0.000000,0.000000,0.000000,
12,1,13,0,12,6,2,p,AM,32.98,1,14.4485,23.2476,14.4485,0.000000,0.000000,0.000000,0.000000,0.000000,
13,1,14,0,13,6,2,p,AM,124.31,1,8.4106,13.5327,8.4106,0.000000,0.000000,0.000000,0.000000,0.000000,
14,1,15,0,14,6,2,p,AM,72.66,1,10.8696,17.4892,10.8696,0.000000,0.000000,0.000000,0.000000,0.000000,
15,1,16,0,15,6,3,p,AM,124.83,1,11.8142,19.0090,11.8142,0.000000,0.000000,0.000000,0.000000,0.000000,
16,1,17,0,16,6,3,p,AM,311.17,1,9.4383,15.1862,9.4383,0.000000,0.000000,0.000000,0.000000,0.000000,
17,1,18,0,17,6,3,p,AM,157.00,1,10.9474,17.6143,10.9474,0.000000,0.000000,0.000000,0.000000,0.000000,
18,1,19,0,18,6,3,p,AM,32.43,1,12.4316,20.0024,12.4316,0.000000,0.000000,0.000000,0.000000,0.000000,
19,1,20,0,19,6,3,p,AM,13.38,1,16.5870,26.6884,16.5870,0.000000,0.000000,0.000000,0.000000,0.000000,
20,1,21,0,20,6,3,p,AM,17.47,1,13.2832,21.3727,13.2832,0.000000,0.000000,0.000000,0.000000,0.000000,
21,1,22,0,21,6,3,p,AM,22.14,1,13.9675,22.4737,13.9675,0.000000,0.000000,0.000000,0.000000,0.000000,
22,1,23,0,22,6,3,p,AM,39.32,1,15.4705,24.8921,15.4706,0.000000,0.000000,0.000000,0.000000,0.000000,
23,1,24,0,23,6,9,p,AM,13.59,1,18.1112,29.1410,18.1112,0.000000,0.000000,0.000000,0.000000,0.000000,
