link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,MEU_vol_auto,mode_cap_auto,mode_VOC_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,547,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,4989.130,0.000,-4989.130,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
2,2,bpr,2,548,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,6719.410,0.000,-6719.410,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
3,3,bpr,3,549,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,10095.530,0.000,-10095.530,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
4,4,bpr,4,550,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,9444.620,0.000,-9444.620,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
5,5,bpr,5,551,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,17223.820,0.000,-17223.820,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
6,6,bpr,6,552,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,6446.030,0.000,-6446.030,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
7,7,bpr,7,553,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,9884.280,0.000,-9884.280,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
8,8,bpr,8,554,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,9252.300,0.000,-9252.300,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
9,9,bpr,9,555,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,6699.450,0.000,-6699.450,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
10,10,bpr,10,556,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,0.000,-1.000,0.000,13823.650,0.000,-13823.650,,,,0.000,0.000,1.388,60.000,37.290,1.000,0.000,0.000,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,0.000,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,0.000,0.000,0.000,0.000,0.000,-0.000,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)",0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,0.000,0.000,60.000,0.000,-60.000,0.000,0.000,0.000,0.000,0.000,0.000,period-based
