first_column,district_index,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,1,no_build,am,auto,213430,3.10916e+06,1.93236e+06,3.11106e+06,14.5676,9.05381,14.5765,3;4;5;7;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;78;79;80;84;85;,"POLYGON ((-87.8197 41.9648,-87.6649 41.9774,-87.6375 41.9018,-87.6256 41.8586,-87.6625 41.8235,-87.7137 41.819,-87.7732 41.846,-87.834 41.8883,-87.8375 41.9279,-87.8197 41.9648,))"
,2,no_build,am,auto,59527.7,957557,595126,957605,16.0859,9.99746,16.0867,22;27;28;29;31;34;35;36;,"POLYGON ((-87.622 41.8361,-87.5601 41.7415,-87.5565 41.6875,-87.6196 41.7118,-87.6542 41.7352,-87.6589 41.7785,-87.622 41.8361,))"
,3,no_build,am,auto,186249,3.32695e+06,2.06771e+06,3.32772e+06,17.8629,11.1019,17.8671,37;39;40;41;42;43;44;45;46;48;50;54;56;58;59;60;61;62;63;64;65;67;69;76;77;81;129;130;131;133;134;135;136;145;225;227;229;230;233;,"POLYGON ((-88.1722 42.0117,-88.1722 42.0504,-88.0936 42.1341,-88.034 42.1791,-87.9173 42.2214,-87.8614 42.1773,-87.8614 42.0909,-87.8709 41.9765,-87.8935 41.8874,-87.9507 41.8865,-88.0602 41.9288,-88.1162 41.9684,-88.1722 42.0117,))"
,4,no_build,am,auto,90095.3,1.37357e+06,853678,1.37386e+06,15.2457,9.47529,15.2489,1;2;6;8;47;49;51;52;53;66;68;70;71;72;73;74;75;221;231;232;,"POLYGON ((-87.8387 42.0207,-87.8542 42.2629,-87.6982 42.0801,-87.6839 42.0549,-87.6756 42.0117,-87.7435 41.99,-87.7994 41.9873,-87.8387 42.0207,))"
,5,no_build,am,auto,31065.1,592080,367980,592354,19.0593,11.8454,19.0681,82;83;86;87;88;89;94;96;103;,"POLYGON ((-87.834 41.846,-87.8304 41.8019,-87.8304 41.7577,-87.8804 41.6245,-87.8876 41.7559,-87.8899 41.8433,-87.834 41.846,))"
,6,no_build,am,auto,69148.9,1.18861e+06,738726,1.18868e+06,17.1891,10.6831,17.1902,25;26;30;90;91;93;95;97;98;100;102;104;107;,"POLYGON ((-87.7756 41.8136,-87.7101 41.7821,-87.7149 41.7226,-87.7673 41.6281,-87.8221 41.5822,-87.8256 41.6254,-87.828 41.7145,-87.7756 41.8136,))"
,7,no_build,am,auto,108634,2.11173e+06,1.31245e+06,2.11176e+06,19.439,12.0814,19.4392,32;33;99;101;106;108;109;110;111;112;113;114;115;116;118;120;121;122;123;124;304;305;308;356;357;359;,"POLYGON ((-87.7101 41.6632,-87.678 41.7028,-87.3624 41.5921,-87.4672 41.4804,-87.541 41.4336,-87.6434 41.4525,-87.703 41.4948,-87.7649 41.5822,-87.7101 41.6632,))"
,8,no_build,am,auto,48356.1,920543,572121,920796,19.0367,11.8314,19.042,127;132;137;139;141;142;143;144;149;151;153;154;156;263;,"POLYGON ((-88.1722 41.9252,-88.1162 41.9261,-88.0614 41.8838,-88.0602 41.7947,-88.115 41.7496,-88.1733 41.7055,-88.1757 41.8379,-88.1722 41.9252,))"
,9,no_build,am,auto,47790.8,867983,539455,869034,18.1621,11.2878,18.1841,146;147;148;155;157;158;159;160;161;,"POLYGON ((-88.0042 41.8838,-87.9471 41.8415,-87.9447 41.7559,-87.9745 41.7109,-88.059 41.7523,-88.0042 41.8838,))"
,10,no_build,am,auto,25131.9,590590,367054,590598,23.4996,14.6051,23.4999,55;162;163;164;165;166;167;170;171;248;249;255;256;257;259;261;,"POLYGON ((-88.5234 42.289,-88.4079 42.2881,-88.321 42.2205,-88.2638 42.1341,-88.2317 42.0486,-88.3448 42.0468,-88.521 42.1134,-88.6377 42.2034,-88.5234 42.289,))"
,11,no_build,am,auto,12589.9,351568,218501,351596,27.9245,17.3552,27.9267,168;169;172;173;174;175;177;179;180;181;186;367;380;,"POLYGON ((-88.5401 42.0288,-88.4294 42.0288,-88.29 42.0099,-88.3436 41.9198,-88.5401 41.7695,-88.7699 41.8955,-88.5401 42.0288,))"
,12,no_build,am,auto,37649.8,787570,489478,787672,20.9183,13.0008,20.921,57;125;126;128;138;140;150;152;176;178;182;183;184;185;187;188;189;190;191;264;,"POLYGON ((-88.2865 41.9648,-88.2317 42.0117,-88.1745 41.9693,-88.2305 41.7055,-88.427 41.7722,-88.2865 41.9648,))"
,13,no_build,am,auto,88396.4,2.16613e+06,1.34626e+06,2.16616e+06,24.5047,15.2298,24.5051,38;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;222;223;224;226;228;238;242;243;244;245;246;250;251;252;253;254;258;260;262;374;375;376;377;,"POLYGON ((-88.321 42.3943,-87.9566 42.6887,-87.8447 42.478,-87.8447 42.3952,-87.8614 42.3079,-87.9769 42.2223,-88.1757 42.1143,-88.2638 42.1764,-88.3222 42.262,-88.3234 42.307,-88.321 42.3943,))"
,14,no_build,am,auto,18010.6,413936,257263,413987,22.9829,14.284,22.9857,92;265;266;267;268;269;270;271;272;273;274;275;276;278;280;283;,"POLYGON ((-88.1162 41.7064,-88.0566 41.7091,-87.9697 41.6632,-87.9959 41.6236,-88.1662 41.5309,-88.2245 41.5741,-88.2293 41.6614,-88.1162 41.7064,))"
,15,no_build,am,auto,18910.5,441505,274397,441515,23.347,14.5103,23.3476,105;277;279;281;282;285;287;288;289;290;291;292;294;299;,"POLYGON ((-88.165 41.4885,-88.0531 41.5777,-87.9399 41.6245,-87.8816 41.5813,-87.9923 41.4921,-88.19 41.4246,-88.165 41.4885,))"
,16,no_build,am,auto,3729.71,104355,64857.2,104357,27.9795,17.3894,27.9799,293;300;301;309;310;311;316;317;339;,"POLYGON ((-88.0769 41.4282,-87.9352 41.493,-87.953 41.2517,-88.1841 41.2508,-88.1864 41.3382,-88.0769 41.4282,))"
,17,no_build,am,auto,7972.8,191397,118954,191399,24.0062,14.92,24.0065,117;119;295;296;297;298;302;303;312;,"POLYGON ((-87.7613 41.539,-87.728 41.4318,-87.8411 41.3463,-87.878 41.4948,-87.878 41.5381,-87.7613 41.539,))"
,18,no_build,am,auto,11320.2,315505,196087,315512,27.8709,17.3219,27.8715,284;286;318;319;320;321;322;323;324;325;326;328;329;331;332;335;,"POLYGON ((-88.4305 41.6857,-88.3139 41.6812,-88.2234 41.5291,-88.2234 41.4867,-88.2984 41.2454,-88.4127 41.3238,-88.5353 41.502,-88.5401 41.6776,-88.4305 41.6857,))"
,19,no_build,am,auto,2330.7,61738.1,38370.5,61738.1,26.4891,16.4631,26.4891,306;307;313;314;315;340;341;342;,"POLYGON ((-87.7244 41.3472,-87.6446 41.4102,-87.5863 41.4102,-87.541 41.349,-87.591 41.2562,-87.7196 41.2517,-87.8316 41.2517,-87.7244 41.3472,))"
,20,no_build,am,auto,5962.38,117985,73328.2,117985,19.7883,12.2985,19.7883,346;347;348;351;352;354;355;,"POLYGON ((-87.5887 41.1707,-87.5863 41.0663,-87.7113 41.0438,-87.8637 41.1095,-87.8673 41.1725,-87.5887 41.1707,))"
,21,no_build,am,auto,19962.6,899143,558821,899174,45.0413,27.9933,45.0428,358;360;361;362;363;364;365;366;385;386;387;,"POLYGON ((-87.266 41.5552,-87.2017 41.5903,-87.1421 41.4822,-87.2779 41.1464,-87.4696 41.2652,-87.4755 41.3967,-87.266 41.5552,))"
,22,no_build,am,auto,5902.26,297038,184611,297059,50.3262,31.2779,50.3297,234;239;247;368;369;370;379;,"POLYGON ((-88.7056 42.5447,-88.5913 42.5447,-88.6366 42.2899,-88.8795 42.2421,-88.7056 42.5447,))"
,23,no_build,am,auto,5646.64,162054,100717,162055,28.6992,17.8367,28.6993,235;236;237;240;241;371;372;373;378;,"POLYGON ((-88.5222 42.4591,-88.4782 42.5447,-88.2865 42.6653,-88.2424 42.5438,-88.2924 42.4582,-88.4091 42.3754,-88.5234 42.3754,-88.5222 42.4591,))"
,24,no_build,am,auto,4864.25,566343,351984,566365,116.43,72.3614,116.434,327;330;333;334;336;337;381;382;383;,"POLYGON ((-88.6913 41.3562,-88.533 41.4156,-88.4127 41.2391,-88.4139 41.1527,-88.5306 41.0501,-88.7485 41.1095,-88.6913 41.3562,))"
,25,no_build,am,auto,1846.4,49660.7,30864.3,49661,26.896,16.716,26.8962,338;343;344;345;349;350;353;384;,"POLYGON ((-88.19 41.0528,-88.296 41.1554,-88.1805 41.1581,-88.0662 41.1599,-87.953 41.1248,-87.9185 41.0402,-87.9209 40.9573,-88.19 41.0528,))"
