link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,MEU_vol_auto,mode_cap_auto,mode_VOC_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
1,bpr,1,547,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,4832.059,-1.000,0.000,4972.490,4832.059,-140.431,,,,0.000,4832.059,1.388,60.000,37.290,1.000,0.049,0.049,49500.000,0.000,0.000,0.000,1.000,2.000,2416.030,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,4168.472,111.785,4168.472,111.785,0.000,0.000,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)",4832.059,4832.059,0.049,0.049,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,4832.059,4832.059,0.000,60.000,60.000,0.000,0.049,0.049,0.000,0.000,0.000,period-based
2,bpr,2,548,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,6047.141,-1.000,0.000,6698.850,6047.141,-651.709,,,,0.000,6047.141,1.388,60.000,37.290,1.000,0.061,0.061,49500.000,0.000,0.000,0.000,1.000,2.000,3023.570,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,5216.687,139.894,5216.687,139.894,0.000,0.000,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)",6047.141,6047.141,0.061,0.061,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,6047.141,6047.141,0.000,60.000,60.000,0.000,0.061,0.061,0.000,0.000,0.000,period-based
3,bpr,3,549,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,9620.845,-1.000,0.000,10074.620,9620.845,-453.775,,,,0.000,9620.845,1.388,59.999,37.290,1.000,0.097,0.097,49500.000,0.000,0.000,0.000,1.000,2.000,4810.422,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.997,51.000,8299.614,222.571,8299.614,222.571,0.003,0.000,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)",9620.845,9620.845,0.097,0.097,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,9620.845,9620.845,0.000,59.999,59.999,0.000,0.097,0.097,0.000,0.000,0.000,period-based
4,bpr,4,550,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,7537.811,-1.000,0.000,9419.550,7537.811,-1881.739,,,,0.000,7537.811,1.388,60.000,37.290,1.000,0.076,0.076,49500.000,0.000,0.000,0.000,1.000,2.000,3768.905,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.999,51.000,6502.644,174.380,6502.644,174.380,0.001,0.000,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)",7537.811,7537.811,0.076,0.076,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,7537.811,7537.811,0.000,60.000,60.000,0.000,0.076,0.076,0.000,0.000,0.000,period-based
5,bpr,5,551,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,18576.273,-1.000,0.000,17154.690,18576.273,1421.583,,,,0.000,18576.273,1.388,59.989,37.283,1.000,0.188,0.188,49500.000,0.000,0.000,0.000,1.000,2.000,9288.137,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.963,51.000,16025.193,429.822,16025.193,429.822,0.080,0.000,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)",18576.273,18576.273,0.188,0.188,60.000,60.000,60.000,60.000,59.996,59.997,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,18576.273,18576.273,0.000,59.989,59.989,0.000,0.188,0.188,0.000,0.001,0.001,period-based
6,bpr,6,552,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,4697.428,-1.000,0.000,6414.160,4697.428,-1716.732,,,,0.000,4697.428,1.388,60.000,37.290,1.000,0.047,0.047,49500.000,0.000,0.000,0.000,1.000,2.000,2348.714,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,4052.330,108.670,4052.330,108.670,0.000,0.000,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)",4697.428,4697.428,0.047,0.047,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,4697.428,4697.428,0.000,60.000,60.000,0.000,0.047,0.047,0.000,0.000,0.000,period-based
7,bpr,7,553,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,8543.336,-1.000,0.000,9842.950,8543.336,-1299.614,,,,0.000,8543.336,1.388,60.000,37.290,1.000,0.086,0.086,49500.000,0.000,0.000,0.000,1.000,2.000,4271.668,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.998,51.000,7370.080,197.643,7370.080,197.643,0.002,0.000,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)",8543.336,8543.336,0.086,0.086,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,8543.336,8543.336,0.000,60.000,60.000,0.000,0.086,0.086,0.000,0.000,0.000,period-based
8,bpr,8,554,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,9777.912,-1.000,0.000,9216.740,9777.912,561.172,,,,0.000,9777.912,1.388,59.999,37.290,1.000,0.099,0.099,49500.000,0.000,0.000,0.000,1.000,2.000,4888.956,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.997,51.000,8435.111,226.205,8435.111,226.205,0.003,0.000,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)",9777.912,9777.912,0.099,0.099,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,9777.912,9777.912,0.000,59.999,59.999,0.000,0.099,0.099,0.000,0.000,0.000,period-based
9,bpr,9,555,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,5947.931,-1.000,0.000,6670.830,5947.931,-722.899,,,,0.000,5947.931,1.388,60.000,37.290,1.000,0.060,0.060,49500.000,0.000,0.000,0.000,1.000,2.000,2973.965,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,60.000,51.000,5131.102,137.599,5131.102,137.599,0.000,0.000,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)",5947.931,5947.931,0.060,0.060,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,5947.931,5947.931,0.000,60.000,60.000,0.000,0.060,0.060,0.000,0.000,0.000,period-based
10,bpr,10,556,2.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,12988.995,-1.000,0.000,13781.920,12988.995,-792.925,,,,0.000,12988.995,1.388,59.997,37.289,1.000,0.131,0.131,49500.000,0.000,0.000,0.000,1.000,2.000,6494.497,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.991,51.000,11205.217,300.500,11205.217,300.500,0.013,0.000,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)",12988.995,12988.995,0.131,0.131,60.000,60.000,60.000,60.000,59.999,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,0.000,12988.995,12988.995,0.000,59.997,59.997,0.000,0.131,0.131,0.000,0.000,0.000,period-based
