iteration,mode_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,auto,1,1,-1,1,-1,0.000170,0.000170,-87.675591,42.011650,"LINESTRING (-87.675591 42.011650,-87.675591 42.011650)"
1,auto,1,1,-1,1,-1,0.000170,0.000170,-87.675591,42.011650,"LINESTRING (-87.675591 42.011650,-87.675591 42.011650)"
0,auto,1,2,-1,1,548,4.946236,1.405462,-87.699402,42.003548,"LINESTRING (-87.699402 42.003548,-87.687499 42.012551)"
1,auto,1,2,-1,1,548,4.928810,1.388036,-87.699402,42.003548,"LINESTRING (-87.699402 42.003548,-87.687499 42.012551)"
0,auto,1,3,-1,1,549,6.650428,1.429375,-87.664871,41.977436,"LINESTRING (-87.664871 41.977436,-87.652966 41.986440)"
1,auto,1,3,-1,1,549,6.609089,1.388036,-87.664871,41.977436,"LINESTRING (-87.664871 41.977436,-87.652966 41.986440)"
0,auto,1,4,-1,1,550,9.191281,1.437292,-87.689873,41.963932,"LINESTRING (-87.689873 41.963932,-87.677973 41.972935)"
1,auto,1,4,-1,1,550,9.142025,1.388036,-87.689873,41.963932,"LINESTRING (-87.689873 41.963932,-87.677973 41.972935)"
0,auto,1,5,-1,1,551,11.658312,1.432626,-87.652962,41.932419,"LINESTRING (-87.652962 41.932419,-87.641058 41.941422)"
1,auto,1,5,-1,1,551,11.613723,1.388037,-87.652962,41.932419,"LINESTRING (-87.652962 41.932419,-87.641058 41.941422)"
0,auto,1,6,-1,1,552,8.876722,1.417357,-87.743462,41.990040,"LINESTRING (-87.743462 41.990040,-87.731559 41.999045)"
1,auto,1,6,-1,1,552,8.847401,1.388036,-87.743462,41.990040,"LINESTRING (-87.743462 41.990040,-87.731559 41.999045)"
0,auto,1,7,-1,1,553,12.178158,1.453650,-87.725601,41.960327,"LINESTRING (-87.725601 41.960327,-87.713697 41.969333)"
1,auto,1,7,-1,1,553,12.112545,1.388037,-87.725601,41.960327,"LINESTRING (-87.725601 41.960327,-87.713697 41.969333)"
0,auto,1,8,-1,1,554,13.873899,1.474422,-87.799431,41.987339,"LINESTRING (-87.799431 41.987339,-87.787527 41.996344)"
1,auto,1,8,-1,1,554,13.787514,1.388036,-87.799431,41.987339,"LINESTRING (-87.799431 41.987339,-87.787527 41.996344)"
0,auto,1,9,-1,1,555,18.627928,1.483606,-87.822052,41.948624,"LINESTRING (-87.822052 41.948624,-87.810152 41.957629)"
1,auto,1,9,-1,1,555,18.532358,1.388037,-87.822052,41.948624,"LINESTRING (-87.822052 41.948624,-87.810152 41.957629)"
0,auto,1,10,-1,1,556,16.141439,1.470585,-87.763702,41.938721,"LINESTRING (-87.763702 41.938721,-87.751803 41.947725)"
1,auto,1,10,-1,1,556,16.058891,1.388037,-87.763702,41.938721,"LINESTRING (-87.763702 41.938721,-87.751803 41.947725)"
0,auto,1,11,-1,1,557,19.736057,1.567591,-87.761322,41.896404,"LINESTRING (-87.761322 41.896404,-87.749421 41.905407)"
1,auto,1,11,-1,1,557,19.556503,1.388037,-87.761322,41.896404,"LINESTRING (-87.761322 41.896404,-87.749421 41.905407)"
0,auto,1,12,-1,1,558,16.721661,1.555974,-87.725601,41.901806,"LINESTRING (-87.725601 41.901806,-87.713697 41.910810)"
1,auto,1,12,-1,1,558,16.553722,1.388036,-87.725601,41.901806,"LINESTRING (-87.725601 41.901806,-87.713697 41.910810)"
0,auto,1,13,-1,1,559,21.716749,1.589245,-87.719643,41.872093,"LINESTRING (-87.719643 41.872093,-87.707743 41.881097)"
1,auto,1,13,-1,1,559,21.515541,1.388037,-87.719643,41.872093,"LINESTRING (-87.719643 41.872093,-87.707743 41.881097)"
0,auto,1,14,-1,1,560,13.433464,1.464780,-87.713692,41.929718,"LINESTRING (-87.713692 41.929718,-87.701789 41.938721)"
1,auto,1,14,-1,1,560,13.356720,1.388036,-87.713692,41.929718,"LINESTRING (-87.713692 41.929718,-87.701789 41.938721)"
0,auto,1,15,-1,1,561,17.394888,1.469689,-87.680351,41.903606,"LINESTRING (-87.680351 41.903606,-87.668447 41.912610)"
1,auto,1,15,-1,1,561,17.313234,1.388036,-87.680351,41.903606,"LINESTRING (-87.680351 41.903606,-87.668447 41.912610)"
