sensor_id,from_node_id,to_node_id,demand_period,count,upper_bound_flag,,scenario_index,activate
1,483,481,am,3000.975,1,,0,1
2,550,553,am,3012.533,1,,0,1
3,479,629,am,3015.195,1,,0,1
4,487,682,am,3018.077,1,,0,1
5,552,619,am,3030.237,1,,0,1
6,490,631,am,3053.734,1,,0,1
7,635,634,am,3057.301,1,,0,1
8,553,550,am,3057.861,1,,0,1
9,623,627,am,3105.867,1,,0,1
10,618,548,am,3113.615,1,,0,1
11,559,557,am,3116.907,1,,0,1
12,612,614,am,3134.295,1,,0,1
13,550,560,am,3153.763,1,,0,0
14,490,557,am,3173.211,1,,0,0
15,634,637,am,3206.335,1,,0,0
16,580,575,am,3211.439,1,,0,0
17,622,555,am,3214.332,1,,0,0
18,635,705,am,3222.971,1,,0,0
19,575,530,am,3226.951,1,,0,0
20,609,608,am,3227.155,1,,0,0
21,621,620,am,3236.866,1,,0,0
22,503,477,am,3256.041,1,,0,0
23,599,432,am,3260.515,1,,0,0
24,486,691,am,3265.392,1,,0,0
25,614,619,am,3272.715,1,,0,0
26,619,614,am,3274.603,1,,0,0
27,621,547,am,3302.645,1,,0,0
28,596,612,am,3305.8,1,,0,0
29,431,428,am,3309.411,1,,0,0
30,551,495,am,3314.216,1,,0,0
31,633,478,am,3318.191,1,,0,0
32,614,554,am,3323.351,1,,0,0
33,643,576,am,3347.134,1,,0,0
34,545,577,am,3347.171,1,,0,0
35,646,645,am,3381.031,1,,0,0
36,555,556,am,3394.714,1,,0,0
37,554,614,am,3400.061,1,,0,0
38,617,612,am,3401.984,1,,0,0
39,634,635,am,3448.014,1,,0,0
40,636,501,am,3461.05,1,,0,0
41,575,581,am,3462.076,1,,0,0
42,643,578,am,3493.136,1,,0,0
43,629,479,am,3495.626,1,,0,0
44,507,508,am,3505.478,1,,0,0
45,554,435,am,3520.763,1,,0,0
46,550,549,am,3537.133,1,,0,0
47,547,621,am,3573.59,1,,0,0
48,435,554,am,3576.289,1,,0,0
49,548,550,am,3577.394,1,,0,0
50,629,628,am,3580.067,1,,0,0
51,618,552,am,3582.218,1,,0,0
52,596,595,am,3585.323,1,,0,0
53,495,551,am,3592.759,1,,0,0
54,561,560,am,3615.554,1,,0,0
55,609,399,am,3621.577,1,,0,0
56,572,576,am,3643.615,1,,0,0
57,529,530,am,3651.43,1,,0,0
58,478,703,am,3654.473,1,,0,0
59,427,428,am,3657.608,1,,0,0
60,574,575,am,3660.097,1,,0,0
61,611,680,am,3672.726,1,,0,0
62,619,617,am,3678.438,1,,0,0
