first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,1,base,am7,auto,2700,81000,50341.8,287486,30,18.6451,106.476,1;,"POLYGON ((0 -0.1,))"
,1,base,am7,info,300,16935,10525.2,19649.9,56.4499,35.0839,65.4998,1;,"POLYGON ((0 -0.1,))"
,1,base,am8,auto,2700,81000,50341.8,88971.6,30,18.6451,32.9524,1;,"POLYGON ((0 -0.1,))"
,1,base,am8,info,300,9000,5593.54,9885.74,30,18.6451,32.9524,1;,"POLYGON ((0 -0.1,))"
,1,base,am9,auto,2700,81000,50341.8,88971.6,30,18.6451,32.9524,1;,"POLYGON ((0 -0.1,))"
,1,base,am9,info,300,9000,5593.54,9885.74,30,18.6451,32.9524,1;,"POLYGON ((0 -0.1,))"
,1,base,am10,auto,2700,81000,50341.8,88971.6,30,18.6451,32.9524,1;,"POLYGON ((0 -0.1,))"
,1,base,am10,info,300,9000,5593.54,9885.74,30,18.6451,32.9524,1;,"POLYGON ((0 -0.1,))"
,2,base,am7,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am7,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am8,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am8,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am9,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am9,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am10,auto,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
,2,base,am10,info,0,0,0,0,0,0,0,2;,"POLYGON ((40.3 0.1,))"
