first_column,link_type,link_type_name,name_ description,type_code,demand_period_id,traffic_flow_model,allowed_uses_p1,allowed_uses_p2,allowed_uses_p3,peak_load_factor_p1_d,peak_load_factor_p1_b,peak_load_factor_p1_w,peak_load_factor_p2_d,peak_load_factor_p2_b,peak_load_factor_p2_w,peak_load_factor_p3_d,peak_load_factor_p3_b,peak_load_factor_p3_w,free_speed_d,free_speed_b,free_speed_w,capacity_d,capacity_b,capacity_w,lanes_d,lanes_b,lanes_w,k_jam_km,meu_d_b,meu_d_w,meu_d_d,meu_b_b,meu_b_w,meu_b_d,meu_w_b,meu_w_w,meu_w_d,,,,
,1,highway,Highway/Expressway,f,,kw,,,,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,1.5,2,1,1,1.2,0.5,0.8,1,0.3,,,,
,2,arterial,Major arterial,a,,spatial_queue,,,,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2,2.5,1,1,1.5,0.4,0.7,1,0.2,,,,
,3,collector,Collector,a,,spatial_queue,,,,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,1.5,2,1,1,1.3,0.6,0.8,1,0.3,,,,
,99,closed,closed,a,,,,,,,,,,,,,,,,,,2000,600,1000,0,0,0,,,,,,,,,,,,,,
,10000,connector,connector,c,,point_queue,,,,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,1.2,1.5,1,1,1.2,0.7,0.9,1,0.4,,,,
,4,bikeonly,Bike only,b,,,b,b,b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,600,0.8,1,1,1,1.1,0.9,1,1,0.5,,,,
,5,walkonly,walk only,w,,,w,w,w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,1000,0.7,0.8,1,1,1,0.8,1,1,0.6,,,,
,200,y_n_n,driving,a,,,d,d,d,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,0.7,0.8,1,1,1,0.8,1,1,0.6,,,,
,202,y_n_bs,basic sidewalk,a,,,d;w,d;w,d;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,1000,2.5,1,1,1,1,0.4,1,1,1,,,,
,203,y_n_ws,wide sidewalk,a,,,d;w,d;w,d;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,1000,2.5,1,1,1,1,0.4,1,1,1,,,,
,204,y_n_cc,centroid connector,a,,,d;w,d;w,d;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,1000,2,1,1,1,1,0.5,1,1,1,,,,
,205,y_n_oth,other,a,,,d;w,d;w,d;w,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,1000,2,1,1,1,1,0.5,1,1,1,,,,
,220,y_bf_n,buffer,a,,,d;b,d;b,d;b,1,1,1,1,1,1,1,1,1,60,13.2,4.8,2000,600,1000,,1,1,400,2.5,1,1,1,1,0.4,1,1,1,,driving,bike,walk
