agent_type =, rt, real time info flag = 1
agent_type =, hist, real time info flag = 0
, number of activity nodes defined in node.csv=, 41
, number of boundary activity nodes defined in node.csv=, 0
Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,190
,# of links =,378
,# of zones =,41
,summary by multi-modal and demand types,demand_period,agent_type,# of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,AM,rt,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,,AM,hist,378,45.8893,73.8514,507.903,8.29724e+06,3526.78,1343.66,
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,,264,51.1907,82.3832,159.822,317242,731.523,605.385,
,,2,,0,0,0,0,0,0,0,
,,3,,0,0,0,0,0,0,0,
,,4,,0,0,0,0,0,0,0,
,,5,,0,0,0,0,0,0,0,
,,20,,0,0,0,0,0,0,0,
,,99,,114,33.6123,54.0936,348.081,7.98e+06,10000,3053.34,
[real_time_info] 
,info_updating_freq_in_min= 5 min
,visual_distance_in_cells= 5 cells
, # of demand side records in demand_side_scenario.csv=,0,
Step 2.1: read demand, defined in [demand_file_list] in settings.csv.
,o_zone_id,d_zone_id,inside_flag_from,inside_flag_to,volume
,file_sequence_no=,1,file_name =, demand.csv,demand_period =, AM,departure_time_profile_no=,0,cumulative demand =, 25286.2
,total demand =, 25286.2
,from_flag,to_flag,volume
,from_flag,to_flag,volume
,0=not related, 1=signficiantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,25286.2
,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,agent_type,departure_time,volume
,,1,3,11,3,3,rt,AM,271.181
,,2,3,41,3,3,rt,AM,268.533
,,3,3,24,3,3,rt,AM,204.031
,,4,3,9,3,3,rt,AM,203.196
,,5,1,11,3,3,rt,AM,179.586
,,6,1,41,3,3,rt,AM,177.832
,,7,3,14,3,3,rt,AM,168.779
,,8,3,21,3,3,rt,AM,155.715
,,9,3,13,3,3,rt,AM,137.576
,,10,3,34,3,3,rt,AM,137.349
,,11,17,11,3,3,rt,AM,136.33
,,12,1,24,3,3,rt,AM,135.117
,,13,17,41,3,3,rt,AM,134.999
,,14,1,9,3,3,rt,AM,134.564
,,15,2,11,3,3,rt,AM,134.481
,,16,2,41,3,3,rt,AM,133.168
,,17,6,11,3,3,rt,AM,124.314
,,18,6,41,3,3,rt,AM,123.101
,,19,1,14,3,3,rt,AM,111.771
,,20,1,21,3,3,rt,AM,103.12
,,21,17,24,3,3,rt,AM,102.572
,,22,34,11,3,3,rt,AM,102.409
,,23,17,9,3,3,rt,AM,102.152
,,24,34,41,3,3,rt,AM,101.409
,,25,2,24,3,3,rt,AM,101.181
,,26,2,9,3,3,rt,AM,100.767
,,27,31,11,3,3,rt,AM,95.477
,,28,31,41,3,3,rt,AM,94.5449
,,29,6,24,3,3,rt,AM,93.5317
,,30,5,11,3,3,rt,AM,93.2588
,,31,6,9,3,3,rt,AM,93.149
,,32,5,41,3,3,rt,AM,92.3483
,,33,37,11,3,3,rt,AM,91.9648
,,34,1,13,3,3,rt,AM,91.1077
,,35,37,41,3,3,rt,AM,91.0669
,,36,1,34,3,3,rt,AM,90.9574
,,37,41,11,3,3,rt,AM,87.5283
,,38,11,41,3,3,rt,AM,87.406
,,39,7,11,3,3,rt,AM,87.251
,,40,7,41,3,3,rt,AM,86.3992
,,41,17,14,3,3,rt,AM,84.8496
,,42,2,14,3,3,rt,AM,83.6991
