first_column,zone_id,x_coord,y_coord,super_zone_id,analysis_district_id,demand,subarea_significance_flag,inside_flag
,1,-96.770420,43.612828,0,1,8800.000000,1,3
,2,-96.711251,43.605813,1,2,4000.000000,1,3
,3,-96.774303,43.572962,2,0,2800.000000,1,3
,4,-96.747168,43.563654,3,0,11600.000000,1,3
,5,-96.731569,43.564034,4,0,6100.000000,1,3
,6,-96.711644,43.587586,5,0,7600.000000,1,3
,7,-96.693423,43.563844,6,0,12100.000000,1,3
,8,-96.711382,43.562324,7,0,16700.000000,1,3
,9,-96.731241,43.548596,8,0,16200.000000,1,3
,10,-96.731438,43.545271,9,0,45200.000000,1,3
,11,-96.746841,43.544131,10,0,22300.000000,1,3
,12,-96.780137,43.543941,11,0,13900.000000,1,3
,13,-96.793377,43.490707,12,0,14600.000000,1,3
,14,-96.751035,43.529306,13,0,14100.000000,1,3
,15,-96.731504,43.529401,14,0,21400.000000,1,3
,16,-96.711382,43.546744,15,0,26100.000000,1,3
,17,-96.711382,43.541280,16,0,23400.000000,1,3
,18,-96.694078,43.546744,17,0,4800.000000,1,3
,19,-96.711316,43.529591,18,0,12800.000000,1,3
,20,-96.711185,43.515333,19,0,18500.000000,1,3
,21,-96.730979,43.510485,20,0,11000.000000,1,3
,22,-96.731241,43.514858,21,0,24400.000000,1,3
,23,-96.750904,43.514858,22,0,14500.000000,1,3
,24,-96.749200,43.503164,23,0,7700.000000,1,3
