first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,1,25nb,am,auto,220923,3.26937e+06,2.03193e+06,3.58963e+06,14.7987,9.19744,16.2483,3;4;5;7;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;78;79;80;84;85;,"POLYGON ((-87.8197 41.9648,-87.6649 41.9774,-87.6375 41.9018,-87.6256 41.8586,-87.6625 41.8235,-87.7137 41.819,-87.7732 41.846,-87.834 41.8883,-87.8375 41.9279,-87.8197 41.9648,))"
,2,25nb,am,auto,59947.4,970688,603286,1.06123e+06,16.1923,10.0636,17.7027,22;27;28;29;31;34;35;36;,"POLYGON ((-87.622 41.8361,-87.5601 41.7415,-87.5565 41.6875,-87.6196 41.7118,-87.6542 41.7352,-87.6589 41.7785,-87.622 41.8361,))"
,3,25nb,am,auto,187205,3.34956e+06,2.08176e+06,3.75862e+06,17.8925,11.1203,20.0776,37;39;40;41;42;43;44;45;46;48;50;54;56;58;59;60;61;62;63;64;65;67;69;76;77;81;129;130;131;133;134;135;136;145;225;227;229;230;233;,"POLYGON ((-88.1722 42.0117,-88.1722 42.0504,-88.0936 42.1341,-88.034 42.1791,-87.9173 42.2214,-87.8614 42.1773,-87.8614 42.0909,-87.8709 41.9765,-87.8935 41.8874,-87.9507 41.8865,-88.0602 41.9288,-88.1162 41.9684,-88.1722 42.0117,))"
,4,25nb,am,auto,93198.6,1.43369e+06,891044,1.57098e+06,15.3832,9.5607,16.8562,1;2;6;8;47;49;51;52;53;66;68;70;71;72;73;74;75;221;231;232;,"POLYGON ((-87.8387 42.0207,-87.8542 42.2629,-87.6982 42.0801,-87.6839 42.0549,-87.6756 42.0117,-87.7435 41.99,-87.7994 41.9873,-87.8387 42.0207,))"
,5,25nb,am,auto,31082.1,591747,367773,645449,19.0382,11.8323,20.7659,82;83;86;87;88;89;94;96;103;,"POLYGON ((-87.834 41.846,-87.8304 41.8019,-87.8304 41.7577,-87.8804 41.6245,-87.8876 41.7559,-87.8899 41.8433,-87.834 41.846,))"
,6,25nb,am,auto,69502.7,1.19988e+06,745732,1.32846e+06,17.2638,10.7295,19.1137,25;26;30;90;91;93;95;97;98;100;102;104;107;,"POLYGON ((-87.7756 41.8136,-87.7101 41.7821,-87.7149 41.7226,-87.7673 41.6281,-87.8221 41.5822,-87.8256 41.6254,-87.828 41.7145,-87.7756 41.8136,))"
,7,25nb,am,auto,108729,2.11517e+06,1.31458e+06,2.25849e+06,19.4536,12.0905,20.7718,32;33;99;101;106;108;109;110;111;112;113;114;115;116;118;120;121;122;123;124;304;305;308;356;357;359;,"POLYGON ((-87.7101 41.6632,-87.678 41.7028,-87.3624 41.5921,-87.4672 41.4804,-87.541 41.4336,-87.6434 41.4525,-87.703 41.4948,-87.7649 41.5822,-87.7101 41.6632,))"
,8,25nb,am,auto,48382.6,921006,572409,1.00138e+06,19.0359,11.8309,20.6972,127;132;137;139;141;142;143;144;149;151;153;154;156;263;,"POLYGON ((-88.1722 41.9252,-88.1162 41.9261,-88.0614 41.8838,-88.0602 41.7947,-88.115 41.7496,-88.1733 41.7055,-88.1757 41.8379,-88.1722 41.9252,))"
,9,25nb,am,auto,47826.7,868495,539773,939606,18.1592,11.286,19.6461,146;147;148;155;157;158;159;160;161;,"POLYGON ((-88.0042 41.8838,-87.9471 41.8415,-87.9447 41.7559,-87.9745 41.7109,-88.059 41.7523,-88.0042 41.8838,))"
,10,25nb,am,auto,25145.5,590850,367216,633901,23.4973,14.6037,25.2094,55;162;163;164;165;166;167;170;171;248;249;255;256;257;259;261;,"POLYGON ((-88.5234 42.289,-88.4079 42.2881,-88.321 42.2205,-88.2638 42.1341,-88.2317 42.0486,-88.3448 42.0468,-88.521 42.1134,-88.6377 42.2034,-88.5234 42.289,))"
,11,25nb,am,auto,12593.8,351684,218573,363802,27.9253,17.3557,28.8875,168;169;172;173;174;175;177;179;180;181;186;367;380;,"POLYGON ((-88.5401 42.0288,-88.4294 42.0288,-88.29 42.0099,-88.3436 41.9198,-88.5401 41.7695,-88.7699 41.8955,-88.5401 42.0288,))"
,12,25nb,am,auto,37667.1,788186,489861,827630,20.9251,13.005,21.9722,57;125;126;128;138;140;150;152;176;178;182;183;184;185;187;188;189;190;191;264;,"POLYGON ((-88.2865 41.9648,-88.2317 42.0117,-88.1745 41.9693,-88.2305 41.7055,-88.427 41.7722,-88.2865 41.9648,))"
