name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,1,1,,,712475,1855780,
,2,2,,,713275,1850580,
,3,3,,,715275,1847980,
,4,4,,,713675,1844580,
,5,5,,,717675,1842680,
,6,6,,,713775,1839180,
,7,7,,,717975,1838980,
,8,8,,,716775,1831380,
,9,9,,,718175,1835380,
,10,10,,,716875,1827080,
,11,11,,,721075,1831480,
,12,12,,,711675,1819480,
,13,13,,,717075,1821580,
,14,14,,,714175,1816880,
,15,15,,,717075,1816880,
,16,16,,,717175,1813880,
,17,17,,,720686,1809584,
,18,18,,,715075,1806180,
,19,19,,,719975,1805580,
,20,20,,,715675,1800480,
,21,21,,,719975,1798480,
,22,22,,,717375,1797780,
,23,23,,,719975,1796780,
,24,24,,,717475,1790380,
,25,25,,,720175,1790380,
,26,26,,,712175,1785080,
,27,27,,,720175,1784880,
,28,28,,,717475,1777080,
,29,29,,,717675,1766680,
,30,30,,,717875,1759980,
,31,31,,,677075,1964780,
,32,32,,,677375,1959480,
,33,33,,,675775,1955880,
,34,34,,,678575,1950480,
,35,35,,,681311,1950840,
,36,36,,,677575,1945280,
,37,37,,,682775,1945480,
,38,38,,,675075,1939880,
,39,39,,,683075,1938080,
,40,40,,,677975,1934580,
,41,41,,,680875,1934680,
,42,42,,,678075,1929280,
,43,43,,,684775,1929480,
,44,44,,,686075,1929480,
,45,45,,,679575,1923980,
,46,46,,,684175,1924080,
,47,47,,,686675,1924280,
,48,48,,,678375,1918680,
,49,49,,,683675,1918780,
,50,50,,,689575,1918380,
,51,51,,,678575,1913380,
,52,52,,,685275,1911880,
,53,53,,,689775,1913180,
,54,54,,,686803,1905336,
,55,55,,,688174,1905393,
,56,56,,,690070,1905470,
,57,57,,,691286,1905460,
,58,58,,,693053,1905001,
,59,59,,,694259,1905001,
,60,60,,,696894,1903971,
,61,61,,,686775,1903780,
,62,62,,,688638,1903490,
,63,63,,,689694,1903387,
,64,64,,,690875,1903980,
,65,65,,,692975,1903980,
,66,66,,,694689,1903605,
,67,67,,,687820,1901811,
,68,68,,,688700,1902261,
,69,69,,,690117,1901879,
,70,70,,,691285,1901884,
,71,71,,,693075,1901880,
,72,72,,,694257,1902162,
,73,73,,,687875,1900780,
,74,74,,,688653,1900795,
,75,75,,,690185,1900884,
,76,76,,,691384,1900889,
,77,77,,,692586,1900868,
,78,78,,,694173,1900999,
,79,79,,,687892,1899462,
,80,80,,,689081,1899226,
,81,81,,,690186,1899723,
,82,82,,,691375,1899680,
,83,83,,,692675,1899180,
,84,84,,,694193,1898927,
,85,85,,,687871,1898309,
,86,86,,,688704,1898336,
,87,87,,,690584,1898425,
,88,88,,,691784,1898419,
,89,89,,,692732,1898210,
,90,90,,,687871,1896626,
,91,91,,,689186,1896977,
,92,92,,,690476,1897346,
,93,93,,,691571,1896623,
,94,94,,,693270,1897034,
,95,95,,,694280,1897014,
,96,96,,,688039,1895616,
,97,97,,,689175,1895600,
,98,98,,,691114,1895322,
,99,99,,,691984,1895833,
,100,100,,,693306,1895531,
,101,101,,,681511,1908244,
,102,102,,,686153,1908427,
,103,103,,,687988,1909296,
,104,104,,,689575,1908380,
,105,105,,,691904,1908458,
,106,106,,,681516,1905569,
,107,107,,,684375,1905880,
,108,108,,,688096,1908012,
,109,109,,,690780,1908105,
,110,110,,,692590,1906848,
,111,111,,,683400,1903727,
,112,112,,,684917,1905358,
,113,113,,,682814,1901662,
,114,114,,,684366,1901798,
,115,115,,,683890,1899449,
,116,116,,,685650,1899407,
,117,117,,,683994,1895532,
,118,118,,,685220,1895055,
,119,119,,,684035,1893442,
,120,120,,,686814,1892339,
,121,121,,,689275,1892380,
,122,122,,,692132,1892418,
,123,123,,,693784,1893702,
,124,124,,,695383,1889578,
,125,125,,,683161,1891180,
,126,126,,,686835,1891319,
,127,127,,,689286,1891119,
,128,128,,,691690,1890335,
,129,129,,,693784,1891261,
,130,130,,,678775,1906780,
,131,131,,,678975,1901480,
,132,132,,,679075,1897080,
,133,133,,,676575,1889380,
,134,134,,,679275,1888180,
,135,135,,,685175,1886380,
,136,136,,,689375,1888180,
,137,137,,,695175,1887280,
,138,138,,,679375,1881480,
,139,139,,,684775,1881680,
,140,140,,,688775,1881780,
,141,141,,,695375,1881880,
,142,142,,,679675,1873580,
,143,143,,,682275,1876280,
,144,144,,,688875,1876480,
,145,145,,,695475,1876580,
,146,146,,,700775,1875680,
,147,147,,,679775,1870880,
,148,148,,,685075,1871080,
,149,149,,,687775,1868380,
,150,150,,,695575,1871280,
,151,151,,,698875,1871380,
,152,152,,,679875,1865680,
,153,153,,,685175,1865780,
,154,154,,,689775,1865880,
,155,155,,,695675,1865980,
,156,156,,,700875,1867480,
,157,157,,,704375,1867880,
,158,158,,,679975,1860280,
,159,159,,,685275,1860480,
,160,160,,,689975,1860580,
,161,161,,,696575,1860680,
,162,162,,,701075,1861480,
,163,163,,,706475,1860980,
,164,164,,,680175,1854380,
,165,165,,,685475,1855780,
,166,166,,,691375,1854680,
,167,167,,,695975,1855380,
,168,168,,,701375,1855480,
,169,169,,,706575,1854980,
,170,170,,,680275,1849680,
,171,171,,,685575,1849780,
,172,172,,,689675,1849080,
,173,173,,,696175,1850080,
,174,174,,,698875,1847480,
,175,175,,,706775,1850380,
,176,176,,,677875,1841680,
,177,177,,,685775,1844480,
,178,178,,,688475,1844580,
,179,179,,,696475,1842080,
,180,180,,,704075,1847580,
,181,181,,,707075,1844480,
,182,182,,,681475,1839080,
,183,183,,,685875,1839680,
,184,184,,,690375,1836680,
,185,185,,,694875,1836780,
,186,186,,,699475,1842180,
,187,187,,,707075,1842380,
,188,188,,,680875,1833780,
,189,189,,,684375,1833880,
,190,190,,,688775,1833980,
,191,191,,,696775,1834180,
,192,192,,,698175,1834280,
,193,193,,,711475,1833280,
,194,194,,,681975,1828580,
,195,195,,,686375,1828680,
,196,196,,,692875,1828880,
,197,197,,,697375,1828880,
,198,198,,,705075,1822680,
,199,199,,,711575,1827480,
,200,200,,,680075,1823380,
,201,201,,,689075,1823380,
,202,202,,,694475,1820880,
,203,203,,,701075,1819480,
,204,204,,,705075,1821280,
,205,205,,,706275,1819480,
,206,206,,,680175,1816080,
,207,207,,,683875,1819080,
,208,208,,,695975,1814180,
,209,209,,,695875,1819280,
,210,210,,,701175,1816380,
,211,211,,,711775,1814180,
,212,212,,,682975,1812780,
,213,213,,,689375,1811980,
,214,214,,,694575,1811280,
,215,215,,,699275,1811280,
,216,216,,,701175,1811280,
,217,217,,,711875,1808780,
,218,218,,,683975,1805880,
,219,219,,,687975,1805980,
,220,220,,,694675,1805980,
,221,221,,,698675,1805980,
,222,222,,,702275,1806080,
,223,223,,,709475,1803580,
,224,224,,,681375,1800580,
,225,225,,,688575,1800580,
,226,226,,,691875,1800080,
,227,227,,,696075,1797980,
,228,228,,,701375,1798080,
,229,229,,,709275,1800880,
,230,230,,,684175,1792680,
,231,231,,,688175,1792680,
,232,232,,,694175,1795380,
,233,233,,,698875,1795180,
,234,234,,,705175,1795580,
,235,235,,,709475,1792880,
,236,236,,,684475,1789980,
,237,237,,,688175,1790080,
,238,238,,,696175,1791680,
,239,239,,,698875,1787580,
,240,240,,,706775,1789080,
,241,241,,,709475,1789380,
,242,242,,,682675,1784680,
,243,243,,,688275,1783480,
,244,244,,,690975,1784080,
