name,link_id,from_node_id,to_node_id,facility_type,link_type,length,lanes,free_speed,capacity,dir_flag,cost,VDF_alpha,VDF_beta,VDF_plf,ref_volume,ref_cost,allowed_uses
,1,1,10293,Highway,100,0.45,1,25,100000,1,0,0.15,4,1,1380.42,0.1125,
,2,2,10294,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,1271.61,0.125,
,3,3,10295,Highway,100,0.39,1,25,100000,1,0,0.15,4,1,154.18,0.0975,
,4,4,10296,Highway,100,0.58,1,25,100000,1,0,0.15,4,1,1223.55,0.145,
,5,5,10297,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,353.92,0.125,
,6,6,10298,Highway,100,0.58,1,25,100000,1,0,0.15,4,1,732.01,0.145,
,7,7,10299,Highway,100,0.45,1,25,100000,1,0,0.15,4,1,570.54,0.1125,
,8,8,10300,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,161.22,0.125,
,9,9,10301,Highway,100,0.44,1,25,100000,1,0,0.15,4,1,689.51,0.11,
,10,10,10302,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,209.47,0.125,
,11,11,10303,Highway,100,0.45,1,25,100000,1,0,0.15,4,1,195.67,0.1125,
,12,12,10304,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,210.27,0.125,
,13,13,10305,Highway,100,0.44,1,25,100000,1,0,0.15,4,1,106.56,0.11,
,14,14,10306,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,428.57,0.125,
,15,15,10307,Highway,100,0.44,1,25,100000,1,0,0.15,4,1,111.86,0.11,
,16,16,10308,Highway,100,0.51,1,25,100000,1,0,0.15,4,1,198.84,0.1275,
,17,17,10309,Highway,100,0.44,1,25,100000,1,0,0.15,4,1,0.03,0.11,
,18,18,10310,Highway,100,0.51,1,25,100000,1,0,0.15,4,1,540.23,0.1275,
,19,19,10311,Highway,100,0.43,1,25,100000,1,0,0.15,4,1,446.66,0.1075,
,20,20,10312,Highway,100,0.5,1,25,100000,1,0,0.15,4,1,141.04,0.125,
