first_column,file_sequence_no,scenario_index_vector,file_name,demand_period,mode_type,format_type,scale_factor,departure_time_profile_no,comment
0,1,0,demand.csv,am7,auto,column,0.9,1,
0,2,0,demand.csv,am8,auto,column,0.9,1,
0,3,0,demand.csv,am9,auto,column,0.9,1,
0,4,0,demand.csv,am10,auto,column,0.9,1,
0,5,0,demand.csv,am7,info,column,0.1,1,
0,6,0,demand.csv,am8,info,column,0.1,1,
0,7,0,demand.csv,am9,info,column,0.1,1,
0,8,0,demand.csv,am10,info,column,0.1,1,
0,9,1,demand.csv,am7,auto,column,0.5,1,
0,10,1,demand.csv,am8,auto,column,0.5,1,
0,11,1,demand.csv,am9,auto,column,0.5,1,
0,12,1,demand.csv,am10,auto,column,0.5,1,
0,13,1,demand.csv,am7,info,column,0.5,1,
0,14,1,demand.csv,am8,info,column,0.5,1,
0,15,1,demand.csv,am9,info,column,0.5,1,
0,16,1,demand.csv,am10,info,column,0.5,1,
