link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,lanes_s1,lanes_s2,link_type_s0,link_type_s1,link_type_s2,lanes_p1_s0_auto,lanes_p1_s1_auto,lanes_p1_s2_auto,VOL_p1_s0_auto,VOL_p1_s1_auto,VOL_p1_s2_auto,MEU_p1_s0_auto,MEU_p1_s1_auto,MEU_p1_s2_auto,CAP_p1_s0_auto,CAP_p1_s1_auto,CAP_p1_s2_auto,PEN_p1_s0_auto,PEN_p1_s1_auto,PEN_p1_s2_auto,DOC_p1_s0_auto,DOC_p1_s1_auto,DOC_p1_s2_auto,TT_p1_s0_auto,TT_p1_s1_auto,TT_p1_s2_auto,CO2_p1_s0_auto,CO2_p1_s1_auto,CO2_p1_s2_auto,NOX_p1_s0_auto,NOX_p1_s1_auto,NOX_p1_s2_auto,VOL_am_25nb_auto,MEU_am_25nb_auto,CAP_am_25nb_auto,PEN_am_25nb_auto,DOC_am_25nb_auto,TT_am_25nb_auto,CO2_am_25nb_auto,NOX_am_25nb_auto,VOL_am_2040_auto,MEU_am_2040_auto,CAP_am_2040_auto,PEN_am_2040_auto,DOC_am_2040_auto,TT_am_2040_auto,CO2_am_2040_auto,NOX_am_2040_auto,VOL_am_2050_auto,MEU_am_2050_auto,CAP_am_2050_auto,PEN_am_2050_auto,DOC_am_2050_auto,TT_am_2050_auto,CO2_am_2050_auto,NOX_am_2050_auto,
1,1,motorway,1,547,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,4989.1,7483.7,9978.3,4989.1,7483.7,9978.3,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.2,1.4,1.4,1.4,143944.5,215914.0,287875.7,38.3,57.5,76.6,4989.1,4989.1,49500.000,0.000,0.101,1.388,143944.487,38.331,7483.7,7483.7,49500.000,0.000,0.151,1.388,215914.035,57.494,9978.3,9978.3,49500.000,0.000,0.202,1.388,287875.652,76.650,
2,2,motorway,2,548,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,6719.4,10079.1,13438.8,6719.4,10079.1,13438.8,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.3,1.4,1.4,1.4,193864.5,290784.8,387670.2,51.6,77.4,103.2,6719.4,6719.4,49500.000,0.000,0.136,1.388,193864.507,51.623,10079.1,10079.1,49500.000,0.000,0.204,1.388,290784.773,77.424,13438.8,13438.8,49500.000,0.000,0.271,1.389,387670.187,103.192,
3,3,motorway,3,549,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,10095.5,15143.3,20191.1,10095.5,15143.3,20191.1,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,291258.3,436796.3,582075.2,77.5,116.2,154.7,10095.5,10095.5,49500.000,0.000,0.204,1.388,291258.253,77.550,15143.3,15143.3,49500.000,0.000,0.306,1.390,436796.257,116.239,20191.1,20191.1,49500.000,0.000,0.408,1.394,582075.244,154.682,
4,4,motorway,4,550,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,9444.6,14166.9,18889.2,9444.6,14166.9,18889.2,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,272482.6,408658.6,544647.2,72.6,108.8,144.8,9444.6,9444.6,49500.000,0.000,0.191,1.388,272482.647,72.553,14166.9,14166.9,49500.000,0.000,0.286,1.389,408658.558,108.768,18889.2,18889.2,49500.000,0.000,0.382,1.392,544647.198,144.806,
5,5,motorway,5,551,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,17223.8,25835.7,34447.6,17223.8,25835.7,34447.6,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.3,0.5,0.7,1.4,1.4,1.4,496721.3,743852.0,988194.5,132.1,197.0,258.7,17223.8,17223.8,49500.000,0.000,0.348,1.391,496721.343,132.128,25835.7,25835.7,49500.000,0.000,0.522,1.403,743852.044,196.990,34447.6,34447.6,49500.000,0.000,0.696,1.437,988194.544,258.654,
6,6,motorway,6,552,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,6446.0,9669.0,12892.1,6446.0,9669.0,12892.1,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.3,1.4,1.4,1.4,185977.4,278956.3,371907.0,49.5,74.3,99.0,6446.0,6446.0,49500.000,0.000,0.130,1.388,185977.399,49.523,9669.0,9669.0,49500.000,0.000,0.195,1.388,278956.342,74.276,12892.1,12892.1,49500.000,0.000,0.260,1.389,371906.967,99.002,
7,7,motorway,7,553,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,9884.3,14826.4,19768.6,9884.3,14826.4,19768.6,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,285164.8,427665.2,569931.9,75.9,113.8,151.5,9884.3,9884.3,49500.000,0.000,0.200,1.388,285164.839,75.928,14826.4,14826.4,49500.000,0.000,0.300,1.390,427665.218,113.815,19768.6,19768.6,49500.000,0.000,0.399,1.393,569931.871,151.480,
8,8,motorway,8,554,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,9252.3,13878.5,18504.6,9252.3,13878.5,18504.6,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.2,0.3,0.4,1.4,1.4,1.4,266934.9,400343.3,533582.4,71.1,106.6,141.9,9252.3,9252.3,49500.000,0.000,0.187,1.388,266934.932,71.076,13878.5,13878.5,49500.000,0.000,0.280,1.389,400343.348,106.559,18504.6,18504.6,49500.000,0.000,0.374,1.392,533582.420,141.882,
9,9,motorway,9,555,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,6699.5,10049.2,13398.9,6699.5,10049.2,13398.9,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.1,0.2,0.3,1.4,1.4,1.4,193288.7,289921.2,386519.4,51.5,77.2,102.9,6699.5,6699.5,49500.000,0.000,0.135,1.388,193288.657,51.470,10049.2,10049.2,49500.000,0.000,0.203,1.388,289921.161,77.194,13398.9,13398.9,49500.000,0.000,0.271,1.389,386519.353,102.886,
10,10,motorway,10,556,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)",1.388036,0.862670,1.388036,60.000000,-60.000000,49500.000000,47500.000000,-1,,network_wide,-1,0,-1,1,1.0,1.0,1.0,motorway,motorway,motorway,1.0,1.0,1.0,13823.7,20735.5,27647.3,13823.7,20735.5,27647.3,49500.0,49500.0,49500.0,0.0,0.0,0.0,0.3,0.4,0.6,1.4,1.4,1.4,398763.7,597716.9,795536.1,106.1,158.8,210.3,13823.7,13823.7,49500.000,0.000,0.279,1.389,398763.718,106.139,20735.5,20735.5,49500.000,0.000,0.419,1.394,597716.894,158.802,27647.3,27647.3,49500.000,0.000,0.559,1.408,795536.082,210.318,
