first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
,1,2050,am,auto,773230,1.16831e+07,7.26107e+06,1.91306e+07,15.1094,9.39057,24.7411,3;4;5;7;9;10;11;12;13;14;15;16;17;18;19;20;21;23;24;78;79;80;84;85;,"POLYGON ((-87.8197 41.9648,-87.6649 41.9774,-87.6375 41.9018,-87.6256 41.8586,-87.6625 41.8235,-87.7137 41.819,-87.7732 41.846,-87.834 41.8883,-87.8375 41.9279,-87.8197 41.9648,))"
,2,2050,am,auto,209816,3.4591e+06,2.14985e+06,6.26151e+06,16.4864,10.2463,29.8429,22;27;28;29;31;34;35;36;,"POLYGON ((-87.622 41.8361,-87.5601 41.7415,-87.5565 41.6875,-87.6196 41.7118,-87.6542 41.7352,-87.6589 41.7785,-87.622 41.8361,))"
,3,2050,am,auto,655216,1.20522e+07,7.49052e+06,2.24357e+07,18.3943,11.4321,34.2417,37;39;40;41;42;43;44;45;46;48;50;54;56;58;59;60;61;62;63;64;65;67;69;76;77;81;129;130;131;133;134;135;136;145;225;227;229;230;233;,"POLYGON ((-88.1722 42.0117,-88.1722 42.0504,-88.0936 42.1341,-88.034 42.1791,-87.9173 42.2214,-87.8614 42.1773,-87.8614 42.0909,-87.8709 41.9765,-87.8935 41.8874,-87.9507 41.8865,-88.0602 41.9288,-88.1162 41.9684,-88.1722 42.0117,))"
,4,2050,am,auto,326195,5.12504e+06,3.18523e+06,8.5976e+06,15.7116,9.76481,26.3572,1;2;6;8;47;49;51;52;53;66;68;70;71;72;73;74;75;221;231;232;,"POLYGON ((-87.8387 42.0207,-87.8542 42.2629,-87.6982 42.0801,-87.6839 42.0549,-87.6756 42.0117,-87.7435 41.99,-87.7994 41.9873,-87.8387 42.0207,))"
,5,2050,am,auto,108787,2.13147e+06,1.32471e+06,3.52141e+06,19.5929,12.1771,32.3696,82;83;86;87;88;89;94;96;103;,"POLYGON ((-87.834 41.846,-87.8304 41.8019,-87.8304 41.7577,-87.8804 41.6245,-87.8876 41.7559,-87.8899 41.8433,-87.834 41.846,))"
,6,2050,am,auto,243259,4.31691e+06,2.68298e+06,7.44218e+06,17.7461,11.0293,30.5936,25;26;30;90;91;93;95;97;98;100;102;104;107;,"POLYGON ((-87.7756 41.8136,-87.7101 41.7821,-87.7149 41.7226,-87.7673 41.6281,-87.8221 41.5822,-87.8256 41.6254,-87.828 41.7145,-87.7756 41.8136,))"
,7,2050,am,auto,380550,7.58841e+06,4.71623e+06,1.11054e+07,19.9406,12.3932,29.1825,32;33;99;101;106;108;109;110;111;112;113;114;115;116;118;120;121;122;123;124;304;305;308;356;357;359;,"POLYGON ((-87.7101 41.6632,-87.678 41.7028,-87.3624 41.5921,-87.4672 41.4804,-87.541 41.4336,-87.6434 41.4525,-87.703 41.4948,-87.7649 41.5822,-87.7101 41.6632,))"
,8,2050,am,auto,169339,3.31077e+06,2.05765e+06,5.70451e+06,19.5511,12.1511,33.6869,127;132;137;139;141;142;143;144;149;151;153;154;156;263;,"POLYGON ((-88.1722 41.9252,-88.1162 41.9261,-88.0614 41.8838,-88.0602 41.7947,-88.115 41.7496,-88.1733 41.7055,-88.1757 41.8379,-88.1722 41.9252,))"
,9,2050,am,auto,167393,3.11859e+06,1.93822e+06,5.17911e+06,18.6303,11.5788,30.9398,146;147;148;155;157;158;159;160;161;,"POLYGON ((-88.0042 41.8838,-87.9471 41.8415,-87.9447 41.7559,-87.9745 41.7109,-88.059 41.7523,-88.0042 41.8838,))"
,10,2050,am,auto,88009.1,2.13032e+06,1.324e+06,3.16367e+06,24.2057,15.0439,35.9471,55;162;163;164;165;166;167;170;171;248;249;255;256;257;259;261;,"POLYGON ((-88.5234 42.289,-88.4079 42.2881,-88.321 42.2205,-88.2638 42.1341,-88.2317 42.0486,-88.3448 42.0468,-88.521 42.1134,-88.6377 42.2034,-88.5234 42.289,))"
,11,2050,am,auto,44078.1,1.25154e+06,777835,1.62201e+06,28.3936,17.6467,36.7986,168;169;172;173;174;175;177;179;180;181;186;367;380;,"POLYGON ((-88.5401 42.0288,-88.4294 42.0288,-88.29 42.0099,-88.3436 41.9198,-88.5401 41.7695,-88.7699 41.8955,-88.5401 42.0288,))"
,12,2050,am,auto,131835,2.81159e+06,1.74742e+06,4.03094e+06,21.3266,13.2546,30.5757,57;125;126;128;138;140;150;152;176;178;182;183;184;185;187;188;189;190;191;264;,"POLYGON ((-88.2865 41.9648,-88.2317 42.0117,-88.1745 41.9693,-88.2305 41.7055,-88.427 41.7722,-88.2865 41.9648,))"
,13,2050,am,auto,310577,7.939e+06,4.93412e+06,1.46009e+07,25.5621,15.887,47.0123,38;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;222;223;224;226;228;238;242;243;244;245;246;250;251;252;253;254;258;260;262;374;375;376;377;,"POLYGON ((-88.321 42.3943,-87.9566 42.6887,-87.8447 42.478,-87.8447 42.3952,-87.8614 42.3079,-87.9769 42.2223,-88.1757 42.1143,-88.2638 42.1764,-88.3222 42.262,-88.3234 42.307,-88.321 42.3943,))"
,14,2050,am,auto,63074.7,1.47943e+06,919469,2.18994e+06,23.4551,14.5774,34.7198,92;265;266;267;268;269;270;271;272;273;274;275;276;278;280;283;,"POLYGON ((-88.1162 41.7064,-88.0566 41.7091,-87.9697 41.6632,-87.9959 41.6236,-88.1662 41.5309,-88.2245 41.5741,-88.2293 41.6614,-88.1162 41.7064,))"
,15,2050,am,auto,66199,1.56482e+06,972544,2.08152e+06,23.6382,14.6912,31.4433,105;277;279;281;282;285;287;288;289;290;291;292;294;299;,"POLYGON ((-88.165 41.4885,-88.0531 41.5777,-87.9399 41.6245,-87.8816 41.5813,-87.9923 41.4921,-88.19 41.4246,-88.165 41.4885,))"
,16,2050,am,auto,13055.5,368588,229079,415136,28.2323,17.5465,31.7977,293;300;301;309;310;311;316;317;339;,"POLYGON ((-88.0769 41.4282,-87.9352 41.493,-87.953 41.2517,-88.1841 41.2508,-88.1864 41.3382,-88.0769 41.4282,))"
,17,2050,am,auto,27906.1,680463,422910,856097,24.384,15.1548,30.6777,117;119;295;296;297;298;302;303;312;,"POLYGON ((-87.7613 41.539,-87.728 41.4318,-87.8411 41.3463,-87.878 41.4948,-87.878 41.5381,-87.7613 41.539,))"
,18,2050,am,auto,39629.2,1.11979e+06,695952,1.30874e+06,28.2566,17.5616,33.0245,284;286;318;319;320;321;322;323;324;325;326;328;329;331;332;335;,"POLYGON ((-88.4305 41.6857,-88.3139 41.6812,-88.2234 41.5291,-88.2234 41.4867,-88.2984 41.2454,-88.4127 41.3238,-88.5353 41.502,-88.5401 41.6776,-88.4305 41.6857,))"
