name,node_id,zone_id,control_type,control_type_name,cycle_length_in_second,x_coord,y_coord
,1,1,0,unknown_control,0,22.822867,31.146327
,2,2,0,unknown_control,0,23.053134,31.143735
,3,3,0,unknown_control,0,23.262883,31.144591
,4,4,0,unknown_control,0,23.467496,31.140311
,5,5,0,unknown_control,0,23.652417,31.140311
,6,6,0,unknown_control,0,23.81508,31.141167
,7,7,0,unknown_control,0,23.970893,31.141167
,8,8,0,unknown_control,0,24.143829,31.143735
,9,9,0,unknown_control,0,23.162718,31.273865
,10,10,0,unknown_control,0,23.380172,31.279002
,11,11,0,unknown_control,0,23.732036,31.280714
,12,12,0,unknown_control,0,24.047944,31.284139
,13,13,0,unknown_control,0,23.161861,31.413413
,14,14,0,unknown_control,0,23.373323,31.417693
,15,15,0,unknown_control,0,23.728612,31.414269
,16,16,0,unknown_control,0,24.040239,31.415125
,17,17,0,unknown_control,0,24.332147,31.141761
