link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_auto,MEU_vol_auto,mode_cap_auto,mode_VOC_auto,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,547,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,7483.695,4989.130,2494.565,,548:2746;549:2594;621:2142;,0.000,0.000,0.000,,,,0.000,7483.695,1.388,59.995,37.287,1.000,0.151,0.151,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,7483.695,0.955,1.142,0.000,0.000,60.000,51.000,0.400,4.000,59.984,51.000,6455.959,173.141,6455.959,173.141,0.014,0.000,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)",7483.695,7483.695,0.151,0.151,60.000,60.000,60.000,60.000,59.998,59.999,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7483.695,7483.695,0.000,59.995,0.000,-59.995,0.151,0.000,-0.151,0.000,0.000,-0.000,period-based
2,2,bpr,2,548,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,10079.115,6719.410,3359.705,,547:1058;550:3402;552:2238;618:3379;,0.000,0.000,0.000,,,,0.000,10079.115,1.388,59.985,37.281,1.000,0.204,0.204,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,10079.115,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.949,51.000,8694.950,233.230,8694.950,233.230,0.060,0.000,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)",10079.115,10079.115,0.204,0.204,60.000,60.000,60.000,60.000,59.994,59.996,59.997,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,10079.115,10079.115,0.000,59.985,0.000,-59.985,0.204,0.000,-0.204,0.002,0.000,-0.002,period-based
3,3,bpr,3,549,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,15143.295,10095.530,5047.765,,547:2684;550:4874;551:7584;,0.000,0.000,0.000,,,,0.000,15143.295,1.390,59.921,37.241,0.999,0.306,0.306,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,15143.295,0.955,1.142,0.008,0.000,60.000,51.000,0.400,4.000,59.740,51.000,13063.666,350.784,13063.666,350.784,0.460,0.000,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)",15143.295,15143.295,0.306,0.306,60.000,60.000,60.000,60.000,59.970,59.978,59.986,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,15143.295,15143.295,0.000,59.921,0.000,-59.921,0.306,0.000,-0.306,0.008,0.000,-0.008,period-based
4,4,bpr,4,550,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,14166.931,9444.620,4722.311,,548:2526;549:1362;551:4083;552:1044;553:2339;560:2810;,0.000,0.000,0.000,,,,0.000,14166.931,1.389,59.940,37.253,0.999,0.286,0.286,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,14166.930,0.955,1.142,0.006,0.000,60.000,51.000,0.400,4.000,59.800,51.000,12221.386,328.067,12221.386,328.067,0.330,0.000,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)",14166.930,14166.930,0.286,0.286,60.000,60.000,60.000,60.000,59.977,59.983,59.990,59.996,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14166.931,14166.931,0.000,59.940,0.000,-59.940,0.286,0.000,-0.286,0.006,0.000,-0.006,period-based
5,5,bpr,5,551,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,25835.730,17223.820,8611.910,,495:4624;549:2572;550:3645;563:14993;,0.000,0.000,0.000,,,,0.000,25835.730,1.403,59.339,36.880,0.989,0.522,0.522,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,25835.730,0.955,1.142,0.071,0.000,60.000,51.000,0.400,4.000,57.864,50.999,22287.709,604.335,22287.709,604.335,6.653,0.000,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)",25835.730,25835.730,0.522,0.522,60.000,60.000,60.000,60.000,59.754,59.821,59.888,59.955,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,25835.730,25835.730,0.000,59.339,0.000,-59.339,0.522,0.000,-0.522,0.071,0.000,-0.071,period-based
6,6,bpr,6,552,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,9669.045,6446.030,3223.015,,435:1784;548:753;550:997;553:2523;618:1340;619:2269;,0.000,0.000,0.000,,,,0.000,9669.045,1.388,59.987,37.282,1.000,0.195,0.195,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,9669.045,0.955,1.142,0.001,0.000,60.000,51.000,0.400,4.000,59.957,51.000,8341.195,223.732,8341.195,223.732,0.049,0.000,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)",9669.045,9669.045,0.195,0.195,60.000,60.000,60.000,60.000,59.995,59.996,59.998,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9669.045,9669.045,0.000,59.987,0.000,-59.987,0.195,0.000,-0.195,0.001,0.000,-0.001,period-based
7,7,bpr,7,553,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,14826.420,9884.280,4942.140,,496:3329;550:2557;552:4105;560:4834;,0.000,0.000,0.000,,,,0.000,14826.420,1.390,59.928,37.245,0.999,0.300,0.300,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,14826.420,0.955,1.142,0.008,0.000,60.000,51.000,0.400,4.000,59.761,51.000,12790.308,343.408,12790.308,343.408,0.414,0.000,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)",14826.420,14826.420,0.300,0.300,60.000,60.000,60.000,60.000,59.973,59.980,59.988,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,14826.420,14826.420,0.000,59.928,0.000,-59.928,0.300,0.000,-0.300,0.008,0.000,-0.008,period-based
8,8,bpr,8,554,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,13878.450,9252.300,4626.150,,435:2777;437:3143;614:2519;619:1746;622:1239;625:2452;,0.000,0.000,0.000,,,,0.000,13878.450,1.389,59.944,37.256,0.999,0.280,0.280,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,13878.450,0.955,1.142,0.006,0.000,60.000,51.000,0.400,4.000,59.816,51.000,11972.522,321.361,11972.522,321.361,0.298,0.000,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)",13878.450,13878.450,0.280,0.280,60.000,60.000,60.000,60.000,59.979,59.985,59.990,59.996,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,13878.450,13878.450,0.000,59.944,0.000,-59.944,0.280,0.000,-0.280,0.006,0.000,-0.006,period-based
9,9,bpr,9,555,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,10049.175,6699.450,3349.725,,556:2602;622:1547;624:2790;625:3109;,0.000,0.000,0.000,,,,0.000,10049.175,1.388,59.985,37.281,1.000,0.203,0.203,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,10049.175,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.949,51.000,8669.122,232.536,8669.122,232.536,0.059,0.000,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)",10049.175,10049.175,0.203,0.203,60.000,60.000,60.000,60.000,59.994,59.996,59.997,59.999,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,10049.175,10049.175,0.000,59.985,0.000,-59.985,0.203,0.000,-0.203,0.002,0.000,-0.002,period-based
10,10,bpr,10,556,1.000000,1.388036,0.862670,1.388036,-1,0,,network_wide,-1,0,-1,1,1,,,0700_0800,20735.475,13823.650,6911.825,,437:2001;496:6368;555:2970;557:4637;560:3955;624:801;,0.000,0.000,0.000,,,,0.000,20735.475,1.394,59.724,37.119,0.995,0.419,0.419,49500.000,49500.000,0.000,0.000,0.000,1.000,1.000,20735.476,0.955,1.142,0.029,0.000,60.000,51.000,0.400,4.000,59.095,51.000,17887.871,481.909,17887.871,481.909,2.216,0.000,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)",20735.476,20735.476,0.419,0.419,60.000,60.000,60.000,60.000,59.896,59.924,59.953,59.981,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,20735.475,20735.475,0.000,59.724,0.000,-59.724,0.419,0.000,-0.419,0.029,0.000,-0.029,period-based
