name,node_id,node_type,control_type,x_coord,y_coord,geometry
,1,,,-87.675591,42.01165,
,2,,,-87.699402,42.003548,
,3,,,-87.664871,41.977436,
,4,,,-87.689873,41.963932,
,5,,,-87.652962,41.932419,
,6,,,-87.743462,41.99004,
,7,,,-87.725601,41.960327,
,8,,,-87.799431,41.987339,
,9,,,-87.822052,41.948624,
,10,,,-87.763702,41.938721,
,11,,,-87.761322,41.896404,
,12,,,-87.725601,41.901806,
,13,,,-87.719643,41.872093,
,14,,,-87.713692,41.929718,
,15,,,-87.680351,41.903606,
,16,,,-87.668442,41.875694,
,17,,,-87.637482,41.901806,
,18,,,-87.630341,41.880196,
,19,,,-87.625572,41.858589,
,20,,,-87.717262,41.84058,
,21,,,-87.670822,41.854088,
,22,,,-87.622002,41.836079,
,23,,,-87.662491,41.823475,
,24,,,-87.713692,41.818974,
,25,,,-87.769661,41.789261,
,26,,,-87.710121,41.782059,
,27,,,-87.658913,41.778454,
,28,,,-87.613663,41.806366,
,29,,,-87.601761,41.76405,
,30,,,-87.711311,41.746941,
,31,,,-87.654152,41.735237,
,32,,,-87.677971,41.702824,
,33,,,-87.620811,41.674011,
,34,,,-87.619621,41.711826,
,35,,,-87.560081,41.741539,
,36,,,-87.556511,41.687519,
,37,,,-87.907791,41.981937,
,38,,,-88.17572,42.114288,
,39,,,-88.034012,42.134102,
,40,,,-88.093552,42.134102,
,41,,,-88.034012,42.090881,
,42,,,-88.092361,42.090881,
,43,,,-87.91851,42.133198,
,44,,,-87.97686,42.134102,
,45,,,-87.91851,42.090881,
,46,,,-87.97805,42.089081,
,47,,,-87.804192,42.134102,
,48,,,-87.861351,42.134102,
,49,,,-87.805382,42.090881,
,50,,,-87.861351,42.090881,
,51,,,-87.755371,42.131397,
,52,,,-87.698212,42.080074,
,53,,,-87.747032,42.089081,
,54,,,-88.17215,42.050365,
,55,,,-88.231689,42.048565,
,56,,,-88.17215,42.01165,
,57,,,-88.231689,42.01165,
,58,,,-88.060211,42.053066,
,59,,,-88.11618,42.051266,
,60,,,-88.060211,42.016151,
,61,,,-88.11618,42.014351,
,62,,,-87.950661,42.053967,
,63,,,-88.00544,42.053066,
,64,,,-87.950661,42.017052,
,65,,,-88.004242,42.016151,
,66,,,-87.838722,42.054867,
,67,,,-87.894691,42.054867,
,68,,,-87.838722,42.020653,
,69,,,-87.893501,42.019753,
,70,,,-87.72084,42.053967,
,71,,,-87.78157,42.055767,
,72,,,-87.723221,42.026054,
,73,,,-87.780373,42.026054,
,74,,,-87.683922,42.054867,
,75,,,-87.683922,42.034161,
,76,,,-87.87088,41.976536,
,77,,,-87.894691,41.932419,
,78,,,-87.837532,41.927917,
,79,,,-87.819672,41.964832,
,80,,,-87.833961,41.888302,
,81,,,-87.893501,41.887402,
,82,,,-87.833961,41.845982,
,83,,,-87.889931,41.843281,
,84,,,-87.793472,41.889198,
,85,,,-87.773232,41.845982,
