Unix Timestamp (local time),StationID,Total Flow_per_obs_interval,Avg Density,Avg Speed
03/19/2010 00:00,400009,27,0.0072,70.7
03/19/2010 00:00,400126,23,0.0079,70.9
03/19/2010 00:00,400176,64,0.0195,71.3
03/19/2010 00:00,400367,50,0.0165,70.8
03/19/2010 00:00,400432,67,0.0188,70.8
03/19/2010 00:00,400679,63,0.0195,70.9
03/19/2010 00:00,400691,27,0.0095,71.5
03/19/2010 00:00,400728,33,0.0094,71.1
03/19/2010 00:00,400803,33,0.0114,71.4
03/19/2010 00:00,400808,58,0.0209,70.1
03/19/2010 00:00,401198,63,0.0217,71.2
03/19/2010 00:00,401242,28,0.0083,71.2
03/19/2010 00:05,400009,42,0.01,71.3
03/19/2010 00:05,400126,44,0.0138,70.5
03/19/2010 00:05,400176,48,0.0153,70.3
03/19/2010 00:05,400367,52,0.017,69.9
03/19/2010 00:05,400432,54,0.0152,70.1
03/19/2010 00:05,400679,57,0.0186,69
03/19/2010 00:05,400691,40,0.0114,71.2
03/19/2010 00:05,400728,36,0.0096,71.6
03/19/2010 00:05,400803,42,0.0133,67.5
03/19/2010 00:05,400808,51,0.0179,66.3
03/19/2010 00:05,401198,56,0.0181,69.5
03/19/2010 00:05,401242,39,0.012,70.6
03/19/2010 00:10,400009,34,0.009,70
03/19/2010 00:10,400126,36,0.0122,69.1
03/19/2010 00:10,400176,47,0.0124,69.9
03/19/2010 00:10,400367,49,0.0148,67.9
03/19/2010 00:10,400432,54,0.0138,69.3
03/19/2010 00:10,400679,47,0.0149,67.3
03/19/2010 00:10,400691,35,0.0097,70.3
03/19/2010 00:10,400728,28,0.0085,70.3
03/19/2010 00:10,400803,36,0.0108,64.6
03/19/2010 00:10,400808,51,0.0159,61.5
03/19/2010 00:10,401198,24,0.0072,69
03/19/2010 00:10,401242,16,0.0055,69.1
03/19/2010 00:15,400009,26,0.0068,69.5
03/19/2010 00:15,400126,29,0.0103,66.8
03/19/2010 00:15,400176,52,0.0144,69.3
03/19/2010 00:15,400367,60,0.0186,67.6
03/19/2010 00:15,400432,56,0.0162,68.5
03/19/2010 00:15,400679,68,0.0212,66.8
03/19/2010 00:15,400691,27,0.0092,69.2
03/19/2010 00:15,400728,25,0.007,70.1
03/19/2010 00:15,400803,30,0.0099,61.8
03/19/2010 00:15,400808,57,0.0199,57.9
03/19/2010 00:15,401198,63,0.0194,68.2
03/19/2010 00:15,401242,27,0.0097,67.8
03/19/2010 00:20,400009,24,0.0065,70.1
03/19/2010 00:20,400126,27,0.0086,67
03/19/2010 00:20,400176,64,0.0176,68.6
03/19/2010 00:20,400367,61,0.0187,65.7
03/19/2010 00:20,400432,71,0.0179,68.3
03/19/2010 00:20,400679,65,0.0208,64
03/19/2010 00:20,400691,21,0.0059,68.8
03/19/2010 00:20,400728,23,0.0064,69.6
03/19/2010 00:20,400803,20,0.006,59.8
03/19/2010 00:20,400808,63,0.0202,54.1
03/19/2010 00:20,401198,67,0.0208,66.4
03/19/2010 00:20,401242,23,0.0071,67.7
03/19/2010 00:25,400009,26,0.0077,68.8
03/19/2010 00:25,400126,29,0.0097,65.9
03/19/2010 00:25,400176,54,0.0158,67.3
03/19/2010 00:25,400367,57,0.0175,64.6
03/19/2010 00:25,400432,58,0.0155,68
03/19/2010 00:25,400679,61,0.0191,63.7
03/19/2010 00:25,400691,28,0.0081,68.4
03/19/2010 00:25,400728,22,0.0059,70.5
03/19/2010 00:25,400803,29,0.0095,58.5
03/19/2010 00:25,400808,56,0.0175,50.9
03/19/2010 00:25,401198,58,0.0189,64.4
03/19/2010 00:25,401242,29,0.0089,66.8
03/19/2010 00:30,400009,21,0.0066,67.2
03/19/2010 00:30,400126,22,0.0085,65.5
03/19/2010 00:30,400176,49,0.0123,68
03/19/2010 00:30,400367,40,0.0115,64.4
03/19/2010 00:30,400432,51,0.0128,68.2
03/19/2010 00:30,400679,51,0.0141,62.6
03/19/2010 00:30,400691,21,0.0061,68.9
03/19/2010 00:30,400728,19,0.0059,69.6
03/19/2010 00:30,400803,23,0.0072,55.8
03/19/2010 00:30,400808,40,0.0131,49.3
03/19/2010 00:30,401198,51,0.014,64.8
03/19/2010 00:30,401242,21,0.0064,67.2
03/19/2010 00:35,400009,20,0.0062,66.9
03/19/2010 00:35,400126,22,0.0091,63.5
03/19/2010 00:35,400176,35,0.008,68.3
03/19/2010 00:35,400367,39,0.0116,63.7
03/19/2010 00:35,400432,40,0.0092,68.2
03/19/2010 00:35,400679,41,0.0119,62.8
03/19/2010 00:35,400691,23,0.0083,67.6
03/19/2010 00:35,400728,17,0.0056,67.9
03/19/2010 00:35,400803,19,0.0079,53.6
03/19/2010 00:35,400808,43,0.013,47.5
03/19/2010 00:35,401198,40,0.0107,64.4
03/19/2010 00:35,401242,22,0.008,66.3
03/19/2010 00:40,400009,24,0.0058,67.5
03/19/2010 00:40,400126,25,0.0072,64.1
03/19/2010 00:40,400176,46,0.0129,68.7
03/19/2010 00:40,400367,51,0.015,65.2
03/19/2010 00:40,400432,52,0.0137,68.9
03/19/2010 00:40,400679,52,0.0171,63.5
03/19/2010 00:40,400691,21,0.0058,67
03/19/2010 00:40,400728,21,0.005,68.7
03/19/2010 00:40,400803,26,0.0077,52.9
03/19/2010 00:40,400808,47,0.0161,46.5
03/19/2010 00:40,401198,47,0.0162,64.4
03/19/2010 00:40,401242,25,0.0072,66.1
03/19/2010 00:45,400009,19,0.0057,66.2
03/19/2010 00:45,400126,23,0.0063,63.8
03/19/2010 00:45,400176,47,0.0135,67.8
03/19/2010 00:45,400367,44,0.0136,65.4
03/19/2010 00:45,400432,51,0.0135,68.5
03/19/2010 00:45,400679,49,0.0159,63
03/19/2010 00:45,400691,23,0.005,68.4
03/19/2010 00:45,400728,22,0.0052,67.8
03/19/2010 00:45,400803,20,0.0057,51.5
03/19/2010 00:45,400808,45,0.0144,44.4
03/19/2010 00:45,401198,47,0.0155,64.3
03/19/2010 00:45,401242,22,0.0059,66.1
03/19/2010 00:50,400009,23,0.0062,66.2
03/19/2010 00:50,400126,24,0.0088,63.4
03/19/2010 00:50,400176,30,0.0093,67.5
03/19/2010 00:50,400367,42,0.0121,63.7
03/19/2010 00:50,400432,34,0.0104,67.1
03/19/2010 00:50,400679,44,0.0136,61.4
03/19/2010 00:50,400691,23,0.0063,68
03/19/2010 00:50,400728,23,0.006,69.1
