first_column,zone_id,x_coord,y_coord,super_zone_id,analysis_district_id,demand,subarea_significance_flag,inside_flag
0,1,-96.770420,43.612828,0,1,0.000000,1,3
0,2,-96.711251,43.605813,1,2,0.000000,1,3
0,3,-96.774303,43.572962,2,0,0.000000,1,3
0,4,-96.747168,43.563654,3,0,0.000000,1,3
0,5,-96.731569,43.564034,4,0,0.000000,1,3
0,6,-96.711644,43.587586,5,0,0.000000,1,3
0,7,-96.693423,43.563844,6,0,0.000000,1,3
0,8,-96.711382,43.562324,7,0,0.000000,1,3
0,9,-96.731241,43.548596,8,0,0.000000,1,3
0,10,-96.731438,43.545271,9,0,0.000000,1,3
0,11,-96.746841,43.544131,10,0,0.000000,1,3
0,12,-96.780137,43.543941,11,0,0.000000,1,3
0,13,-96.793377,43.490707,12,0,0.000000,1,3
0,14,-96.751035,43.529306,13,0,0.000000,1,3
0,15,-96.731504,43.529401,14,0,0.000000,1,3
0,16,-96.711382,43.546744,15,0,0.000000,1,3
0,17,-96.711382,43.541280,16,0,0.000000,1,3
0,18,-96.694078,43.546744,17,0,0.000000,1,3
0,19,-96.711316,43.529591,18,0,0.000000,1,3
0,20,-96.711185,43.515333,19,0,0.000000,1,3
0,21,-96.730979,43.510485,20,0,0.000000,1,3
0,22,-96.731241,43.514858,21,0,0.000000,1,3
0,23,-96.750904,43.514858,22,0,0.000000,1,3
0,24,-96.749200,43.503164,23,0,0.000000,1,3
