first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
0,0,25nb,am,auto,347800,3.42314e+06,2.1275e+06,1.16962e+07,9.84227,6.11701,33.6292,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,walk,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,bike,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,bus,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,truck,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,cav,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,ev,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,0,25nb,am,hov,0,0,0,0,0,0,0,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;,"POLYGON ((-96.7743 43.573,-96.7116 43.5876,-96.6934 43.5638,-96.6941 43.5467,-96.7112 43.5153,-96.7934 43.4907,-96.7743 43.573,))"
0,1,25nb,am,auto,8800,150172,93332.5,510000,17.065,10.606,57.9545,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,walk,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,bike,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,bus,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,truck,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,cav,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,ev,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,1,25nb,am,hov,0,0,0,0,0,0,0,1;,"POLYGON ((-96.7704 43.6128,))"
0,2,25nb,am,auto,4000,53674,33358.6,192000,13.4185,8.33965,48,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,walk,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,bike,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,bus,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,truck,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,cav,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,ev,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
0,2,25nb,am,hov,0,0,0,0,0,0,0,2;,"POLYGON ((-96.7113 43.6058,))"
