first_column,route_seq_id,o_zone_id,d_zone_id,o_super_zone_index,d_super_zone_index,od_pair_key,information_type,mode_type,demand_period,volume,distance_km,distance_mile,travel_time,FFTT,co2,nox,UE_OD_based_relative_gap_compared_to_least_time_path_travel_time,UE_path_based_gap,preload_volume_from_route_input_file,ODME_volume_before,ODME_volume_after,ODME_volume_diff,SIMU_volume,SIMU_travel_time,toll,number_of_nodes,node_sequence,link_id_sequence,geometry,link_special_flag_sequence,sequential_link_delay,sequential_link_FFTT,DTM_OD_impact,DTM_path_impact,DTM_#_of_lane_closure_links,lane_closure_link_vector,DTM_new_path_generated,DTM_volume_before,DTM_volume_after,DTM_volume_diff, DTM_TT_0,DTM_Vol_0,
0,1,1,2,0,1,1->2,0,auto,am,100.0000,6.0000,3.7290,15.0000,6.0000,2.695717,0.000457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,15.0000,0.0000,2,1;2;,1;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813)",,9.000;,6.000;,0,,,,,,,,,-1.000000,0.000000,
0,2,1,3,0,2,1->3,0,auto,am,100.0000,4.0000,2.4860,15.0000,4.0000,2.340688,0.000330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,15.0000,0.0000,2,1;3;,2;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962)",,11.000;,4.000;,0,,,,,,,,,-1.000000,0.000000,
0,3,1,4,0,3,1->4,0,auto,am,500.0000,8.0000,4.9720,30.0000,8.0000,4.681376,0.000661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,30.0000,0.0000,3,1;3;4;,2;6;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",,11.000;11.000;,4.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,4,1,5,0,4,1->5,0,auto,am,2.0000,10.0000,6.2150,45.0000,10.0000,6.715910,0.000883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,45.0000,0.0000,4,1;3;4;5;,2;6;9;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",,11.000;11.000;13.000;,4.000;4.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,5,1,5,0,4,1->5,0,auto,am,198.0000,15.0000,9.3226,45.0000,15.0000,7.548166,0.001179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,45.0000,0.0000,4,1;2;6;5;,1;4;15;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034)",,9.000;10.000;11.000;,6.000;5.000;4.000;,0,,,,,,,,,-1.000000,0.000000,
0,6,1,6,0,5,1->6,0,auto,am,300.0000,11.0000,6.8365,30.0000,11.0000,5.207478,0.000849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,30.0000,0.0000,3,1;2;6;,1;4;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",,9.000;10.000;,6.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,7,1,7,0,6,1->7,0,auto,am,500.0000,16.0000,9.9441,60.0000,16.0000,9.423815,0.001345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,60.0000,0.0000,5,1;2;6;8;7;,1;4;16;20;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,9.000;10.000;13.000;12.000;,6.000;5.000;2.000;3.000;,0,,,,,,,,,-1.000000,0.000000,
0,8,1,8,0,7,1->8,0,auto,am,800.0000,13.0000,8.0796,45.0000,13.0000,7.242012,0.001071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,45.0000,0.0000,4,1;2;6;8;,1;4;16;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",,9.000;10.000;13.000;,6.000;5.000;2.000;,0,,,,,,,,,-1.000000,0.000000,
0,9,1,9,0,8,1->9,0,auto,am,5.0000,15.0000,9.3226,60.0000,15.0000,9.227671,0.001275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,60.0000,0.0000,5,1;3;4;5;9;,2;6;9;13;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",,11.000;11.000;13.000;10.000;,4.000;4.000;2.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
0,10,1,9,0,8,1->9,0,auto,am,495.0000,20.0000,12.4301,60.0000,20.0000,10.059927,0.001570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,60.0000,0.0000,5,1;2;6;5;9;,1;4;15;13;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.731569 43.564034, -96.731241 43.548596)",,9.000;10.000;11.000;10.000;,6.000;5.000;4.000;5.000;,0,,,,,,,,,-1.000000,0.000000,
