link_seq_id,link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,restricted_turn_nodes,auto_turn_volume,ODME_volume_before,ODME_volume_after,ODME_volume_diff,ODME_obs_count,ODME_upperbound_capacity_type,ODME_obs_count_dev,preload_volume,mode_type_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,lane_capacity,link_capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,plf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,moving_agent_vol_auto,moving_agent_vol_walk,moving_agent_vol_bike,moving_agent_vol_bus,moving_agent_vol_truck,moving_agent_vol_cav,moving_agent_vol_ev,moving_agent_vol_hov,MEU_vol_auto,MEU_vol_walk,MEU_vol_bike,MEU_vol_bus,MEU_vol_truck,MEU_vol_cav,MEU_vol_ev,MEU_vol_hov,mode_link_cap_auto,mode_link_cap_walk,mode_link_cap_bike,mode_link_cap_bus,mode_link_cap_truck,mode_link_cap_cav,mode_link_cap_ev,mode_link_cap_hov,mode_DOC_auto,mode_DOC_walk,mode_DOC_bike,mode_DOC_bus,mode_DOC_truck,mode_DOC_cav,mode_DOC_ev,mode_DOC_hov,mode_TT_auto,mode_TT_walk,mode_TT_bike,mode_TT_bus,mode_TT_truck,mode_TT_cav,mode_TT_ev,mode_TT_hov,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,DTM_type,DTM_volume_before,DTM_volume_after,DTM_volume_diff,DTM_speed_before,DTM_speed_after,DTM_speed_diff,DTM_DoC_before,DTM_DoC_after,DTM_Doc_diff,DTM_P_before,DTM_P_after,DTM_P_diff,notes
1,1,bpr,1,2,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,5940.000,-1.000,0.000,,6:4845;,0.000,0.000,0.000,,,,0.000,5940.000,15.000,24.000,14.916,0.400,2.293,2.293,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,59400.000,0.955,1.142,2.463,0.083,60.000,51.000,0.400,4.000,5.965,3.243,22150.404,1485.000,22150.404,1485.000,891.000,786.176,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)",5940.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5940.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25900.201,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,2.293419,0.000000,0.000000,0.000000,2.293419,2.293419,2.293419,2.293419,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,5940.000,5940.000,0.000,24.000,24.000,0.000,2.293,2.293,0.000,2.463,2.463,0.000,period-based
2,2,bpr,1,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,7028.000,-1.000,0.000,,4:3834;12:2400;,0.000,0.000,0.000,,,,0.000,7028.000,15.000,16.000,9.944,0.267,3.003,3.003,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,70280.000,0.955,1.142,3.351,0.083,60.000,51.000,0.400,4.000,2.199,0.992,17471.721,1757.000,17471.721,1757.000,1288.467,1205.784,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)",7028.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7028.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23403.473,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,3.002973,0.000000,0.000000,0.000000,3.002973,3.002973,3.002973,3.002973,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7028.000,7028.000,0.000,16.000,16.000,0.000,3.003,3.003,0.000,3.351,3.351,0.000,period-based
3,3,bpr,2,1,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,4667.000,-1.000,0.000,,3:2084;,0.000,0.000,0.000,,,,0.000,4667.000,15.000,24.000,14.916,0.400,1.802,1.802,25900.201,25900.201,0.000,0.000,0.000,1.000,1.000,46670.000,0.955,1.142,1.870,0.083,60.000,51.000,0.400,4.000,13.155,8.650,17403.355,1166.750,17403.355,1166.750,700.050,617.691,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)",4667.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4667.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25900.201,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,1.801917,0.000000,0.000000,0.000000,1.801917,1.801917,1.801917,1.801917,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4667.000,4667.000,0.000,24.000,24.000,0.000,1.802,1.802,0.000,1.870,1.870,0.000,period-based
4,4,bpr,2,6,1.000000,5.000000,3.107520,5.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,7750.000,-1.000,0.000,,5:1791;8:4467;,0.000,0.000,0.000,,,,0.000,7750.000,15.000,20.000,12.430,0.333,9.990,9.990,4958.181,4958.181,0.000,0.000,0.000,1.000,1.000,77500.000,0.955,1.142,13.215,0.083,60.000,51.000,0.400,4.000,0.019,0.004,24083.281,1937.500,24083.281,1937.500,1291.667,1177.696,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)",7750.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7750.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4958.181,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,9.990000,0.000000,0.000000,0.000000,9.990000,9.990000,9.990000,9.990000,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7750.000,7750.000,0.000,20.000,20.000,0.000,9.990,9.990,0.000,13.215,13.215,0.000,period-based
5,5,bpr,3,1,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,8301.000,-1.000,0.000,,2:2084;,0.000,0.000,0.000,,,,0.000,8301.000,15.000,16.000,9.944,0.267,3.547,3.547,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,83010.000,0.955,1.142,4.052,0.083,60.000,51.000,0.400,4.000,1.154,0.468,20636.420,2075.250,20636.420,2075.250,1521.850,1424.191,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)",8301.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8301.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23403.473,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,3.546909,0.000000,0.000000,0.000000,3.546909,3.546909,3.546909,3.546909,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8301.000,8301.000,0.000,16.000,16.000,0.000,3.547,3.547,0.000,4.052,4.052,0.000,period-based
6,6,bpr,3,4,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,7205.000,-1.000,0.000,,5:617;11:4258;,0.000,0.000,0.000,,,,0.000,7205.000,15.000,16.000,9.944,0.267,4.211,4.211,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,72050.000,0.955,1.142,4.929,0.083,60.000,51.000,0.400,4.000,0.588,0.215,17911.746,1801.250,17911.746,1801.250,1320.917,1236.152,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)",7205.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7205.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17110.524,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,4.210859,0.000000,0.000000,0.000000,4.210859,4.210859,4.210859,4.210859,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,7205.000,7205.000,0.000,16.000,16.000,0.000,4.211,4.211,0.000,4.929,4.929,0.000,period-based
7,7,bpr,3,12,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,4875.000,-1.000,0.000,,11:728;13:2647;,0.000,0.000,0.000,,,,0.000,4875.000,15.000,16.000,9.944,0.267,2.083,2.083,23403.473,23403.473,0.000,0.000,0.000,1.000,1.000,48750.000,0.955,1.142,2.207,0.083,60.000,51.000,0.400,4.000,8.310,4.861,12119.329,1218.750,12119.329,1218.750,893.750,836.397,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)",4875.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4875.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23403.473,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,2.083024,0.000000,0.000000,0.000000,2.083024,2.083024,2.083024,2.083024,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4875.000,4875.000,0.000,16.000,16.000,0.000,2.083,2.083,0.000,2.207,2.207,0.000,period-based
8,8,bpr,4,3,1.000000,4.000000,2.486016,4.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,8528.000,-1.000,0.000,,1:5015;12:2004;,0.000,0.000,0.000,,,,0.000,8528.000,15.000,16.000,9.944,0.267,4.984,4.984,17110.524,17110.524,0.000,0.000,0.000,1.000,1.000,85280.000,0.955,1.142,5.975,0.083,60.000,51.000,0.400,4.000,0.301,0.100,21200.746,2132.000,21200.746,2132.000,1563.467,1463.137,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)",8528.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8528.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17110.524,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,4.984067,0.000000,0.000000,0.000000,4.984067,4.984067,4.984067,4.984067,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8528.000,8528.000,0.000,16.000,16.000,0.000,4.984,4.984,0.000,5.975,5.975,0.000,period-based
9,9,bpr,4,5,1.000000,2.000000,1.243008,2.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,4622.000,-1.000,0.000,,6:2115;9:805;,0.000,0.000,0.000,,,,0.000,4622.000,15.000,8.000,4.972,0.133,2.599,2.599,17782.794,17782.794,0.000,0.000,0.000,1.000,1.000,46220.000,0.955,1.142,2.841,0.083,60.000,51.000,0.400,4.000,3.791,1.883,5745.183,1155.500,5745.183,1155.500,1001.433,974.245,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)",4622.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4622.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17782.794,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,2.599142,0.000000,0.000000,0.000000,2.599142,2.599142,2.599142,2.599142,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,4622.000,4622.000,0.000,8.000,8.000,0.000,2.599,2.599,0.000,2.841,2.841,0.000,period-based
10,10,bpr,4,11,1.000000,6.000000,3.729024,6.000000,-1,0,,network_wide,-1,0,-1,-1,1,,,0700-0800,11961.000,-1.000,0.000,,10:6597;14:2194;,0.000,0.000,0.000,,,,0.000,11961.000,15.000,24.000,14.916,0.400,9.990,9.990,4908.827,4908.827,0.000,0.000,0.000,1.000,1.000,119610.000,0.955,1.142,13.215,0.083,60.000,51.000,0.400,4.000,0.019,0.004,44602.859,2990.250,44602.859,2990.250,1794.150,1583.073,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)",11961.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11961.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4908.827,1999.000,1999.000,1999.000,2000.000,2000.000,2000.000,2000.000,9.990000,0.000000,0.000000,0.000000,9.990000,9.990000,9.990000,9.990000,15.000,999900.000,999900.000,999900.000,15.000,15.000,15.000,15.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,11961.000,11961.000,0.000,24.000,24.000,0.000,9.990,9.990,0.000,13.215,13.215,0.000,period-based
