[PROCESS INFO] Step 0: reading section scenarios
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[PROCESS INFO] Step 1.1: Reading section demand_period ...
,demand_period= 1, am,time_period=0700_0800, 0-> 0
[PROCESS INFO] Step 1.2: Reading section mode_type...
mode_type =, auto, real time info flag = 0
mode_type =, walk, real time info flag = 0
mode_type =, bike, real time info flag = 0
mode_type =, bus, real time info flag = 0
mode_type =, truck, real time info flag = 0
mode_type =, cav, real time info flag = 1
mode_type =, ev, real time info flag = 0
mode_type =, hov, real time info flag = 0
link_type =, 1, link_type_name = motorway
,mode_type= auto,cap= 1999,free_speed=60
,mode_type= walk,cap= 1999,free_speed=60
,mode_type= bike,cap= 1999,free_speed=60
,mode_type= bus,cap= 1999,free_speed=60
,mode_type= truck,cap= 2000,free_speed=60
,mode_type= cav,cap= 2000,free_speed=60
,mode_type= ev,cap= 2000,free_speed=60
,mode_type= hov,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 24
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,motorway,76,60,96.5604,314,778788,10247.2,4131.58,
,,-1,,,,1,motorway,[PROCESS INFO] Step 2.1: read demand, defined in demand_files section.
[STATUS INFO] reading demand file for scenario index = 0
,summary by multi-modal and demand types,demand_period,mode_type,total demmand volume in scenario 0, # of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,360600,76,60,96.5604,314,778788,10247.2,4131.58,
,,am,walk,0,0,0,0,0,0,0,0,
,,am,bike,0,0,0,0,0,0,0,0,
,,am,bus,0,0,0,0,0,0,0,0,
,,am,truck,0,0,0,0,0,0,0,0,
,,am,cav,0,0,0,0,0,0,0,0,
,,am,ev,0,0,0,0,0,0,0,0,
,,am,hov,0,0,0,0,0,0,0,0,
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,360600
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,16,10,3,3,auto,am,4400
,,2,10,16,3,3,auto,am,4400
,,3,10,15,3,3,auto,am,4000
,,4,10,11,3,3,auto,am,4000
,,5,15,10,3,3,auto,am,4000
,,6,11,10,3,3,auto,am,3900
,,7,17,10,3,3,auto,am,3900
,,8,10,17,3,3,auto,am,3900
,,9,16,17,3,3,auto,am,2800
,,10,17,16,3,3,auto,am,2800
,,11,9,10,3,3,auto,am,2800
,,12,10,9,3,3,auto,am,2800
,,13,22,10,3,3,auto,am,2600
,,14,10,22,3,3,auto,am,2600
,,15,22,15,3,3,auto,am,2600
,,16,15,22,3,3,auto,am,2600
,,17,10,20,3,3,auto,am,2500
,,18,20,10,3,3,auto,am,2500
,,19,22,20,3,3,auto,am,2400
,,20,20,22,3,3,auto,am,2400
,,21,16,8,3,3,auto,am,2200
,,22,8,16,3,3,auto,am,2200
,,23,23,22,3,3,auto,am,2100
,,24,10,14,3,3,auto,am,2100
,,25,22,23,3,3,auto,am,2100
,,26,14,10,3,3,auto,am,2100
,,27,10,12,3,3,auto,am,2000
,,28,12,10,3,3,auto,am,2000
,,29,10,7,3,3,auto,am,1900
,,30,7,10,3,3,auto,am,1900
,,31,10,13,3,3,auto,am,1900
,,32,13,10,3,3,auto,am,1900
,,33,10,19,3,3,auto,am,1800
,,34,10,23,3,3,auto,am,1800
,,35,23,10,3,3,auto,am,1800
,,36,22,21,3,3,auto,am,1800
,,37,19,10,3,3,auto,am,1800
,,38,21,22,3,3,auto,am,1800
,,39,20,17,3,3,auto,am,1700
,,40,17,22,3,3,auto,am,1700
,,41,22,17,3,3,auto,am,1700
,,42,17,20,3,3,auto,am,1700
,,43,17,19,3,3,auto,am,1700
,,44,19,17,3,3,auto,am,1700
,,45,20,16,3,3,auto,am,1600
,,46,8,10,3,3,auto,am,1600
,,47,11,14,3,3,auto,am,1600
,,48,10,8,3,3,auto,am,1600
,,49,16,20,3,3,auto,am,1600
,,50,14,11,3,3,auto,am,1600
,,51,11,4,3,3,auto,am,1500
,,52,17,15,3,3,auto,am,1500
,,53,15,17,3,3,auto,am,1500
,,54,11,12,3,3,auto,am,1400
,,55,12,11,3,3,auto,am,1400
,,56,8,17,3,3,auto,am,1400
,,57,11,15,3,3,auto,am,1400
,,58,11,16,3,3,auto,am,1400
,,59,16,9,3,3,auto,am,1400
,,60,16,11,3,3,auto,am,1400
,,61,16,7,3,3,auto,am,1400
,,62,7,16,3,3,auto,am,1400
,,63,17,8,3,3,auto,am,1400
,,64,15,11,3,3,auto,am,1400
,,65,11,9,3,3,auto,am,1400
,,66,9,16,3,3,auto,am,1400
,,67,4,11,3,3,auto,am,1400
,,68,9,11,3,3,auto,am,1400
,,69,22,13,3,3,auto,am,1300
,,70,14,15,3,3,auto,am,1300
,,71,23,11,3,3,auto,am,1300
,,72,13,12,3,3,auto,am,1300
,,73,13,22,3,3,auto,am,1300
,,74,11,23,3,3,auto,am,1300
,,75,15,14,3,3,auto,am,1300
,,76,10,1,3,3,auto,am,1300
,,77,1,10,3,3,auto,am,1300
,,78,12,13,3,3,auto,am,1300
,,79,16,19,3,3,auto,am,1300
,,80,19,16,3,3,auto,am,1300
,,81,4,10,3,3,auto,am,1200
,,82,22,14,3,3,auto,am,1200
,,83,22,16,3,3,auto,am,1200
,,84,14,22,3,3,auto,am,1200
,,85,21,10,3,3,auto,am,1200
,,86,22,19,3,3,auto,am,1200
,,87,20,21,3,3,auto,am,1200
,,88,20,19,3,3,auto,am,1200
,,89,19,22,3,3,auto,am,1200
,,90,19,20,3,3,auto,am,1200
,,91,10,21,3,3,auto,am,1200
,,92,16,15,3,3,auto,am,1200
,,93,10,4,3,3,auto,am,1200
,,94,15,16,3,3,auto,am,1200
,,95,16,22,3,3,auto,am,1200
,,96,21,20,3,3,auto,am,1200
,,97,24,22,3,3,auto,am,1100
,,98,22,11,3,3,auto,am,1100
,,99,20,15,3,3,auto,am,1100
,,100,23,14,3,3,auto,am,1100
[PROCESS INFO]Step 4: Column Generation for Traffic Assignment
,Total number of column generation iterations =, 20
,Total number of column generation iterations =, 20
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0.001,360600,0,0
1,0.004,360600,36.6869,316.539
2,0.002,360600,35.5854,6.36641
3,0,360600,35.1858,2.33537
4,0.001,360600,34.9537,1.65595
5,0.002,360600,34.8652,1.59938
6,0.001,360600,34.7851,1.16542
7,0.002,360600,34.7278,0.998929
8,0.001,360600,34.6849,0.874062
9,0.002,360600,34.6515,0.776945
10,0.001,360600,34.6197,0.684416
11,0.001,360600,34.6029,0.666792
12,0.003,360600,34.5816,0.573582
13,0.002,360600,34.5693,0.55694
14,0.003,360600,34.5561,0.499466
15,0.005,360600,34.5446,0.466168
16,0.001,360600,34.5346,0.437031
17,0.001,360600,34.5193,0.392522
18,0.001,360600,34.5179,0.427908
19,0.002,360600,34.5109,0.368028
[PROCESS INFO] Step 5: column pool-based flow updating for traffic assignment 
,# of flow updating iterations=,40
column updating
[DATA INFO] column updating: iteration = 0, avg travel time = 34.7841(min), optimization obj = 44179.3, Relative_gap = 0.376998 %
[DATA INFO] column updating: iteration = 1, avg travel time = 34.2864(min), optimization obj = 461.702, Relative_gap = 0.0040068 %
[PROCESS INFO] Step 7: perform sensitivity analysis if section dynamic_traffic_management is provided for dtm_type = lane_closure or dms. 
Sensitivity analysis stage
,Iteration,Avg Travel Time(min)
0,34.3835,
column updating
[PROCESS INFO] Step 8: Executing Traffic Simulation. Proceeds only if simulation_output is set to 1 in settings.yml. 
[PROCESS INFO] Step 9: Collecting statistics, Generating Zonal Hierarchy Mapping (e.g., Zone to Super-Zone and Zone to District Mapping) 
Output Link Performance:
,ref_link_vol_count=,0,MAPE=,0%
,VMT=,2.24713e+06,VKT=,3.61564e+06
,VHT=,206645
,network vehicle speed (MPH) =,10.8744,,network vehicle speed (KPH) =,17.4969
,PMT=,2.24713e+06,PKT=,3.61564e+06
,PHT=,206645
,network person speed (MPH) =,10.8744,,network person speed (KPH) =,17.4969
,simple avg link volume=,10876.3
,simple avg link speed=,16.5272
,simple avg link speed ratio=,0.275453
     Check OD connectivity and accessibility in od_performance_summary.csv
, # of connected OD pairs =, 0
, # of OD/mode_type/demand_type columns without paths =, 528
Output Link Performance Summary
Output 2 Way Link Performance Summary
